Genus	Species	Subspecies	Name.Clem	Notes	Localities
Anoplops	bicolor	bicolor	Gymnopithys bicolor		Alto Bonito-3
Anoplops	bicolor	daguae	Gymnopithys bicolor		Bagado-1; Baudo-1; La Vieja-1; Noanama-1; Novita-4
Anthocephala	floriceps	berlepschi	Anthocephala floriceps		Rio Toche-3
Anthoscenus	longirostris	stewartae	Heliomaster longirostris		Cali-3; El Consuelo-1; San Agustin-1
Anthracothorax	nigricollis	nigricollis	Anthracothorax nigricollis		Cali-3; Honda-1; Villavicencio-2
Anthus	bogotensis		Anthus bogotensis		Subia-2
Anthus			Anthus bogotensis		Choachi-2; Subia-1
Antrostomus	rosenbergi		Nyctiphrynus rosenbergi		Barbacoas-2
Anurolimnas	hauxwelli		Anurolimnas fasciatus		La Morelia-2
Ara	aeruginosus		Eupsittula pertinax	"Unclear, the species name seems to refer to Circus aeruginosus"	La Playa-3
Ara	ararauna		Ara ararauna		Malena-1
Ara	chloropterus		Ara chloropterus		Puerto Valdivia-1
Ara	severus		Ara severus		Barrigon-5; Cali-2; El Roble-2; La Morelia-2; Malena-1; Palmira-3; Rio Frio-3
Ara			Ara		Alban-1; Cisneros-1; La Morelia-3; Magdalena River-4
Aramides	cajaneus	cajaneus	Aramides cajaneus		Villavicencio-1
Aramides			Aramides		Buena Vista-1; Florencia-2; Honda-2; Rio Frio-2
Ardea	alba		Ardea alba		La Morelia-1
Ardea	cocoi		Ardea cocoi		Malena-1; Villavicencio-1
Ardea			Ardea		Cali-1
Arremon	assimilis		Arremon assimilis		Almaguer-3; Coast Range-13; Laguneta-8; Paramo Santa Isabel-1; Penon-1
Arremon	aurantiirostris	erythrorhynchus	Arremon aurantiirostris		Chicoral-2; Puerto Valdivia-1
Arremon	aurantiirostris	occidentalis	Arremon aurantiirostris		Alto Bonito-4; Bagado-1; Barbacoas-3; Buenaventura-1; Buenavista-1; Cerro Munchique-2; Chicoral-1; Cocal-1; Dabeiba-4; San Jose-5
Arremon	axillaris		Arremon taciturnus		Villavicencio-2
Arremon	brunneinucha		Arremon brunneinucha		Aguadita-2; Andalucia-4; Buena Vista-2; Cerro Munchique-5; Choachi-1; El Eden-3; El Roble-2; Fusugasuga-1; Gallera-2; La Candela-3; La Florida-4; La Sierra-2; Lomitas-2; Ricaurte-4; Salento-7; San Antonio-10; Santa Elena-3
Arremon	castaneiceps		Arremon castaneiceps		Cocal-1; Gallera-2
Arremon			Arremon		Cerro Munchique-1; El Roble-1
Arremonops	conirostris	chrysoma	Arremonops conirostris		Barbacoas-4; Buenavista-2; Tumaco-3
Arremonops	conirostris	conirostris	Arremonops conirostris		Anolaima-1; Barbacoas-1; Buena Vista-7; Chicoral-4; Honda-6; Magdalena River-1; Malena-4; Puerto Berrio-2; Villavicencio-3
Arremonops	conirostris	inexpectatus	Arremonops conirostris		Andalucia-13
Arundinicola	leucocephala		Arundinicola leucocephala		Calamar-1; Turbaco-2
Asio	flammeus	bogotensis	Asio flammeus		Bogota-1
Asio	stygius		Asio stygius		Laguneta-1; Santa Elena-2
Asthenes	flammulata	quindiana	Asthenes flammulata		Paramo Santa Isabel-17
Asthenes	fuliginosa		Asthenes fuliginosa		Almaguer-1; Choachi-1; Paramo Santa Isabel-4; Penon-1; Tocaimito-2
Astragalinus	psaltira	columbianus	Spinus psaltria		Caldas-1; San Antonio-2
Astragalinus	psaltira		Spinus psaltria		Caldas-2
Astragalinus	psalttria	columbianus	Spinus psaltria		Chicoral-1; El Eden-3; Rio Toche-1
Atalotriccus	pilaris	pilaris	Atalotriccus pilaris		Chicoral-1; Honda-2; La Playa-1
Athene	cunicularia	carrikeri	Athene cunicularia		Villavicencio-1
Atlapetes	albinucha		Atlapetes albinucha		Aguadita-5; Andalucia-4; Anolaima-1; El Eden-1; El Roble-1; La Candela-3; La Palma-1; La Sierra-2; Rio Toche-1; San Agustin-1; San Antonio-1; Santa Elena-1
Atlapetes	albofrenatus		Atlapetes albofrenatus		Aguadita-1; Anolaima-3; El Roble-2
Atlapetes	flaviceps		Atlapetes flaviceps		Rio Toche-2
Atlapetes	fusco		Atlapetes fuscoolivaceus		La Palma-2; San Agustin-1
Atlapetes	fuscoolivaceus		Atlapetes fuscoolivaceus		La Palma-1; San Agustin-3
Atlapetes	gutturalis	gutturalis	Atlapetes albinucha		Anolaima-2; Cerro Munchique-4; La Frijolera-1; Lomitas-1; Miraflores-1; Peque-1; San Antonio-7; Subia-1
Atlapetes	latinuchus	elaeoprorus	Atlapetes latinuchus		Santa Elena-2
Atlapetes	latinuchus	papallactae	Atlapetes latinuchus		Paramo Santa Isabel-3
Atlapetes	latinuchus		Atlapetes latinuchus		Cerro Munchique-11
Atlapetes	pallidinucha	pallidinucha	Atlapetes pallidinucha		Anolaima-1; Chipaque-1; Choachi-3; Penon-3
Atlapetes	pallidinucha	papallactae	Atlapetes pallidinucha		Almaguer-3; Laguneta-2; Paramo Santa Isabel-4; Valle de las Papas-1
Atlapetes	schistaceus		Atlapetes schistaceus		Almaguer-1; Chipaque-1; Choachi-2; Coast Range-18; Fomeque-1; Laguneta-12; Paramillo-2; Penon-5; Salento-2; Valle de las Papas-2
Atlapetes	semirufus		Atlapetes semirufus		Choachi-6; Quetame-1
Atlapetes	tricolor	crassus	Atlapetes tricolor	Buenavista record likely corresponds to another species	Buenavista-1; Ricaurte-5
Atticora	fasciata		Atticora fasciata		La Morelia-4
Atticora	tibialis		Atticora tibialis		Juntas de Tamana-1; San Jose-3
Attila	spadiceus	citreopyga	Attila spadiceus		Puerto Berrio-1
Attila	spadiceus	parambae	Attila spadiceus		Gallera-3
Aulacorhamphus	albivitta	phaeolaemus	Aulacorhynchus albivitta		Cerro Munchique-1; Cocal-1; La Florida-1; San Antonio-3
Aulacorhamphus	haematopygius		Aulacorhynchus haematopygus		San Antonio-6
Aulacorhamphus	haemotopygius		Aulacorhynchus haematopygus		Gallera-3
Aulacorhynchus	albivitta	grisiegularis	Aulacorhynchus albivitta		Paramillo-1; Santa Elena-4
Aulacorhynchus	haematopygus		Aulacorhynchus haematopygus		Alban-1; Andalucia-3; Buena Vista-3; Buenavista-1; La Frijolera-4; Ricaurte-2; Salento-1; San Antonio-3
Aulacorhynchus	prasinus	albivitta	Aulacorhynchus prasinus		Aguadita-4; Andalucia-2; Anolaima-1; El Eden-1; La Palma-3; Subia-10
Aulacorhynchus	prasinus	griseigularis	Aulacorhynchus prasinus		El Roble-1; Miraflores-2; Salento-2
Aulacorhynchus	prasinus	phaeolaemus	Aulacorhynchus prasinus		San Antonio-1
Automolua	nigricauda	saturatus	Clibanornis rubiginosus		Alto Bonito-1
