Genus	Species	Subspecies	Name.Clem	Notes	Localities
Chloroceryle	inda		Chloroceryle inda		Barbacoas-1; Noanama-1; Tumaco-1
Chlorochrysa	calliparaea	bourcierci	Chlorochrysa calliparaea		La Candela-1; San Agustin-2
Chlorochrysa	nitidissima		Chlorochrysa nitidissima		El Roble-2; Gallera-1; Lomitas-4; San Antonio-2
Chlorochrysa	phoenicotis		Chlorochrysa phoenicotis		Cerro Munchique-1; Gallera-7
Chloronerpes	xanthochlorus		Piculus chrysochloros		Magdalena River-1
Chloronerpes			Piculus		Cocal-1; San Antonio-1
Chlorophanes	spiza	caerulescens	Chlorophanes spiza		Aguadita-4; Anolaima-3; Florencia-3; Honda-1; La Frijolera-2; La Morelia-1; La Palma-1; Lomitas-1; Miraflores-3; San Antonio-1
Chlorophanes	spiza	exsul	Chlorophanes spiza		Barbacoas-1; Buenaventura-1; Cocal-1; San Jose-1
Chlorophonia	preteri		Chlorophonia pyrrhophrys		Paramo Santa Isabel-1
Chlorophonia	pyrrhophrys		Chlorophonia pyrrhophrys		Cerro Munchique-1; Santa Elena-3
Chlorophonia			Chlorophonia		Villavicencio-1
Chloropipo	flavicapilla		Chloropipo flavicapilla		Anolaima-1; San Antonio-1
Chlorospingus	canigularis		Chlorospingus canigularis		Aguadita-8; Cerro Munchique-3; El Roble-2; Fusugasuga-2; Gallera-1; La Candela-3; La Florida-2; Miraflores-4; Salento-2; San Agustin-1; San Antonio-2; Subia-2
Chlorospingus	flavigularis	flavigularis	Chlorospingus flavigularis		Buena Vista-1; La Frijolera-2; Quetame-1
Chlorospingus	flavigularis	marginatus	Chlorospingus flavigularis		Andalucia-1; Buenavista-6; Cocal-1; Ricaurte-1
Chlorospingus	flavigularis		Chlorospingus flavigularis		La Palma-2
Chlorospingus	flavopectus	nigriceps	Chlorospingus flavopectus		Andalucia-1; El Eden-2; La Candela-1; Miraflores-1; Rio Toche-4; Salento-1; Santa Elena-9
Chlorospingus	flavopectus		Chlorospingus flavopectus		El Roble-3; Subia-1
Chlorospingus	semifuscus		Chlorospingus semifuscus		Cocal-8
Chlorospingus			Chlorospingus		Miraflores-1
Chlorostilbon	gibsoni		Chlorostilbon gibsoni		Buena Vista-1; Chicoral-3; Quetame-2; Rio Toche-3; San Agustin-6
Chlorostilbon	haeberlini		Chlorostilbon gibsoni		La Playa-1
Chlorostilbon	melanorhynchus		Chlorostilbon melanorhynchus		Barro Blanco-1; Caldas-5; Cali-3; Cerro Munchique-2; Dabeiba-5; La Florida-1; La Sierra-4; Lomitas-5; Miraflores-6; Popayan-1; Ricaurte-4; San Antonio-3; Santa Elena-1
Chlorothraupis			Chlorothraupis		Buenavista-1; Ricaurte-1
Chordeiles	acutipennis	acutipennis	Chordeiles acutipennis		Calamar-1; Magdalena River-1; Turbaco-1
Chordeiles	acutipennis	texensis	Chordeiles acutipennis		Noanama-2
Chordeiles	nacunda	coryi	Chordeiles nacunda		Villavicencio-1
Chrysolampis	mosquitus		Chrysolampis mosquitus		Dabeiba-2; La Playa-1
Chrysomus	icterocephalus	bogotensis	Chrysomus icterocephalus		Bogota-5
Chrysomus	icterocephalus	icterocephalus	Chrysomus icterocephalus		Cali-4; Palmira-3
Chrysothlypis	salmoni		Chrysothlypis salmoni		San Jose-4
Chrysotrogon	caligatus	columbianus	Trogon caligatus		Opon-2; Puerto Valdivia-1
Chrysuronia	oenone	oenone	Chrysuronia oenone		Villavicencio-1
Ciccaba	albitarsis		Ciccaba albitarsis		Santa Elena-2
Ciccaba	virgata	[virgata]	Ciccaba virgata		Villavicencio-1
Ciccaba	virgata	virgata	Ciccaba virgata		La Frijolera-1; San Antonio-1
Ciccaba			Ciccaba		Anolaima-1; Rio Frio-3
Cinclodes	excelsior	columbianus	Cinclodes excelsior		Paramo Santa Isabel-22
Cinclus	leuconotus		Cinclus leucocephalus		Choachi-1; El Roble-1; Juntas de Tamana-1; Rio Toche-2; Salento-2; San Agustin-2
Cinnicerthia	unibrunnea		Cinnycerthia unirufa		Laguneta-2; Paramo Santa Isabel-5
Cinnycerthia	olivascens		Cinnycerthia olivascens		Andalucia-2; Coast Range-2; Cocal-5; El Roble-1; Laguneta-2; Salento-3
Cinnycerthia	unirufa		Cinnycerthia unirufa		Anolaima-1; Penon-6; Subia-1
Circus			Circus		Anolaima-1; Rio Frio-2
Cissopis	leverianus	major	Cissopis leverianus		Buena Vista-1; Villavicencio-1
Cissopis	leverianus		Cissopis leverianus		Andalucia-1; Buena Vista-3; Florencia-11; La Morelia-2
Cisthothorus	aequatorialis		Cistothorus platensis		Choachi-3
Cistothorus	aequatorialis		Cistothorus platensis		Chipaque-1; Choachi-2; Paramo Santa Isabel-15; Valle de las Papas-3
Cistothorus	apolinari		Cistothorus apolinari		Subia-3
Claravis	pretiosa		Claravis pretiosa		Dabeiba-1; Puerto Valdivia-3; Ricaurte-2; Villavicencio-1
Claravis			Claravis pretiosa		Cisneros-2; Florencia-1; Noanama-1; Villavicencio-3
Clibanornis	rubiginosus	saturatus	Clibanornis rubiginosus		Alto Bonito-6
Clytoctantes	alixii		Clytoctantes alixii		Puerto Valdivia-2
Cnemathraupis	eximia	chloronota	Cnemathraupis eximia		Paramillo-4; Paramo Santa Isabel-7
Cnemathraupis	eximia	eximia	Cnemathraupis eximia		Penon-1; Subia-1
Cnemathraupis	eximia	zimmeri	Cnemathraupis eximia		Almaguer-2
Cnemathraupis	eximia		Cnemathraupis eximia		Aguadita-1
Cniparchus			Campephilus haematogaster		Alto Bonito-2
Cnipodectes	minor		Cnipodectes subbrunneus		La Morelia-2
Coccycua	minuta		Coccycua minuta		Rio Frio-1
Coccyzus	americanus	americanus	Coccyzus americanus		Choachi-2; Villavicencio-1
Coccyzus	melacoryphus		Coccyzus melacoryphus		Caldas-2; Cali-3; Dabeiba-3; Florencia-1; La Morelia-1
Coeligena	bonapartei		Coeligena bonapartei		Penon-2
Coeligena	coeligena	ferruginea	Coeligena coeligena		Cerro Munchique-3; Miraflores-2; Rio Toche-8; Salento-2; San Antonio-11
Coeligena	helianthea		Coeligena helianthea		Quetame-1
Coeligena	lutetiae	lutetiae	Coeligena lutetiae		Almaguer-1; Laguneta-5; Paramo Santa Isabel-1
Coeligena	torquata		Coeligena torquata		Cerro Munchique-2; Coast Range-3; Cocal-1; El Eden-3; El Roble-6; La Florida-2; Penon-2; Rio Toche-1; Salento-2; Santa Elena-6; Subia-1
Coeligena			Coeligena		Cerro Munchique-1; Miraflores-1; San Antonio-3
Coereba	flaveola	caucae	Coereba flaveola		Cali-6; Lomitas-2; Miraflores-1; Rio Frio-1; San Antonio-1
Coereba	flaveola	columbiana	Coereba flaveola		Alto Bonito-1; Andalucia-2; Buena Vista-2; Buenavista-1; Chicoral-1; Dabeiba-7; Honda-4; La Candela-1; Peque-2; Ricaurte-5; San Agustin-3; Tumaco-6; Villavicencio-3
Coereba	luteola	luteola	Coereba flaveola		La Playa-3; Sinu River-1
Colaptes	punctigula	guttatus	Colaptes punctigula		La Morelia-1
Colaptes	punctigula	punctipectus	Colaptes punctigula		Barrigon-1; Buena Vista-2; Villavicencio-1
Colaptes	punctigula	striatigularis	Colaptes punctigula		Cali-3; Puerto Berrio-2; Rio Frio-1
Colaptes	punctigula	ujhelyii	Colaptes punctigula		Calamar-1; La Playa-1
Colaptes	rivolii	brevirostris	Colaptes rivolii		El Eden-1; Laguneta-1; Paramo Santa Isabel-1
Colaptes	rivolii	rivolii	Colaptes rivolii		Anolaima-1; Penon-3; Subia-1
Colaptes	rubiginosus	buenavistae	Colaptes rubiginosus		Buena Vista-4
Colaptes	rubiginosus	gularis	Colaptes rubiginosus		Barro Blanco-2; Cali-2; Cerro Munchique-1; Coast Range-1; La Candela-1; La Frijolera-2; Miraflores-1; Salento-2; San Antonio-5; Santa Elena-1
Colaptes			Colaptes		Noanama-1
Colibri	coruscans		Colibri coruscans		Almaguer-3; Barro Blanco-1; Buena Vista-1; Cerro Munchique-1; La Florida-1; Popayan-1; Santa Elena-1; Subia-2
Colibri	cyanotis		Colibri cyanotus		Santa Elena-1
Colibri	delphinae		Colibri delphinae		Buenavista-1
Colibri	thalassinus	cyanotus	Colibri cyanotus		Salento-2; Santa Elena-1
Colibri	thalassinus		Colibri cyanotus		Cerro Munchique-1; Rio Toche-2
Colinus	cristatus	parvicristatus	Colinus cristatus		Choachi-1; Villavicencio-1
Colonia	colonus		Colonia colonus		Alto Bonito-3; Barbacoas-4; Buenavista-1; Cerro Munchique-2; Cisneros-3; Honda-2; Noanama-1; Novita-2; Puerto Berrio-1; Puerto Valdivia-1; San Jose-4
Columba	albilinea		Patagioenas fasciata		Anolaima-1; Barro Blanco-2; Cerro Munchique-1; Laguneta-2; Ricaurte-1; Rio Toche-1; Salento-1; San Antonio-1; Santa Elena-2
Columba	albilmia		Patagioenas fasciata		San Agustin-1
Columba	rufina	andersoni	Patagioenas cayennensis		Villavicencio-1
Columba			Columba		Almaguer-1; Bagado-2; Barbacoas-3; Barro Blanco-1; Buena Vista-2; Buenaventura-2; Cerro Munchique-1; La Candela-6; La Florida-2; La Frijolera-2; La Morelia-1; La Sierra-1; Magdalena River-1; Paramillo-2; Ricaurte-5; San Antonio-8; Santa Elena-3; Valle de las Papas-1; Villavicencio-2
Columbina	minuta		Columbina minuta		Dabeiba-1
Columbina	passerina		Columbina passerina		Caldas-2; La Playa-6; Palmira-1
Columbina	talpacoti	rufipennis	Columbina talpacoti		Dabeiba-1; Malena-1; Miraflores-1; Villavicencio-2
Columbina			Columbina		Calamar-1; Cali-2; Chicoral-5; Honda-3; Miraflores-3; Palmira-1; Quetame-1; Rio Frio-1
Colymbus			Tachybaptus dominicus		Cali-1; Popayan-1
Compsocoma	somptuosa	antioquiae	Anisognathus somptuosus		Barro Blanco-2; El Eden-2; Paramillo-2; Rio Toche-1; Santa Elena-12
Compsocoma	somptuosa	victorini	Anisognathus somptuosus		Anolaima-1; La Candela-4; La Palma-3; San Agustin-3; Subia-17
Compsocoma	sumptuosa	cyanoptera	Anisognathus somptuosus		La Sierra-2; Miraflores-7; San Antonio-10
Compsocoma	sumptuosa	victorinii	Anisognathus somptuosus		El Roble-2
Compsocoma	sumptuosa		Anisognathus somptuosus		La Sierra-1
Compsothlypis	pitiayrimi	elegans	Setophaga pitiayumi		Quetame-4
Conirostrum	albifrons		Conirostrum albifrons		Almaguer-3; Anolaima-1; Cerro Munchique-1; El Roble-6; Laguneta-1; Paramo Santa Isabel-1; Salento-6; Santa Elena-1; Subia-2
Conirostrum	atrocyaneum	popayanum	Conirostrum albifrons		Cerro Munchique-1
Conirostrum	cinereum	fraseri	Conirostrum cinereum		Valle de las Papas-4
Conirostrum	leucogenys		Conirostrum leucogenys		Honda-2; Magdalena River-2
Conirostrum	rufum		Conirostrum rufum		Bogota-1; Chipaque-6; Choachi-2; Subia-1
Conirostrum	sitticolor		Conirostrum sitticolor		Almaguer-3; Chipaque-1; Coast Range-1; Laguneta-7; Paramo Santa Isabel-2; Penon-3; Valle de las Papas-2
Conopias	cinchoneti		Conopias cinchoneti		Aguadita-1; La Frijolera-3; Miraflores-1
Conopophaga	aurita		Conopophaga aurita		Florencia-1; La Morelia-2
Conopophaga	castaneiceps	castaneiceps	Conopophaga castaneiceps		Andalucia-4; Buena Vista-4; La Candela-5; La Frijolera-1
Conopophaga	castaneiceps	chocoensis	Conopophaga castaneiceps		Baudo-1
Conopophaga			Conopophaga castaneiceps		La Frijolera-1
Contopus	cinereus		Contopus cinereus		El Consuelo-1
Contopus	fumigatus	cineraceus	Contopus fumigatus		Andalucia-8; Caldas-1; Cisneros-2; Quetame-7; Rio Toche-4; Salento-2; San Agustin-1; San Jose-1
Contopus	sordidulus		Contopus sordidulus		Buena Vista-2; Buenavista-1; Cali-1; San Agustin-1
Contopus	virens		Contopus virens		Dabeiba-1; La Palma-1; Villavicencio-1
Conurus	(Aratinga)	aeruginosus	Eupsittula pertinax		Magdalena River-1
Conurus					Alto Bonito-1; Cali-1; Chicoral-2; Cisneros-1; La Sierra-1; Palmira-2; San Antonio-5
Copurus	colonus	fuscicapillus	Colonia colonus		Buena Vista-3; Villavicencio-2
Coragyps	atratus		Coragyps atratus		Puerto Valdivia-1
Corapipo	altera	altera	Corapipo altera		Baudo-2
Corapipo	leucorrhoa		Corapipo leucorrhoa		Honda-1; San Antonio-1
Corcomacra	berlepschi		Sipia berlepschi		Bagado-1; Quibdo-1
Cotinga	nattererii		Cotinga nattererii		Barbacoas-3; Noanama-4; Puerto Valdivia-1
Cranioleuca	curtata		Cranioleuca curtata		El Roble-1; La Candela-1
Craspedoprion	aequinoctialis		Rhynchocyclus olivaceus		Florencia-1; La Morelia-3
Craspedoprion	fulvipectus		Rhynchocyclus pacificus		Aguadita-1; Andalucia-1; Cerro Munchique-1; La Candela-1; Ricaurte-3
Craspedoprion	pacificus		Rhynchocyclus pacificus		Alto Bonito-2; Barbacoas-2; Juntas de Tamana-1; Novita-1
Crax			Crax		Bagado-1; Baudo-1; Buena Vista-1
Creciscus	oenops		Laterallus melanophaius		La Morelia-1
Creurgops	verticalis		Creurgops verticalis		El Eden-1; El Roble-1; La Candela-4; La Palma-2; San Antonio-3; Santa Elena-3
Crotophaga	ani		Crotophaga ani		Anolaima-1; Barbacoas-2; Barro Blanco-1; Buena Vista-1; Caldas-2; Cali-1; Chipaque-1; Dabeiba-2; El Roble-2; La Candela-1; La Frijolera-1; La Morelia-2; La Playa-1; La Tigrerra-1; Miraflores-1; Noanama-1; Palmira-1; Puerto Valdivia-1; Quibdo-2; Ricaurte-2; Salento-2; Santa Elena-1; Sinu River-1
Crotophaga	major		Crotophaga major		Dabeiba-1; Honda-1; Magdalena River-1; Malena-2; Noanama-2
Crotophaga	sulcirostris		Crotophaga sulcirostris		Chicoral-1; Tumaco-1; Turbaco-1
Cryptoleucopteryx	plumbea		Cryptoleucopteryx plumbea		Bagado-1; Barbacoas-1
Cryptopipo	holochlora	holochlora	Cryptopipo holochlora		Florencia-1; Villavicencio-1
Cryptopipo	holochlora	litae	Cryptopipo holochlora		Barbacoas-2; Baudo-1
Crypturellus	berlepschi		Crypturellus berlepschi		Villavicencio-1
Crypturellus	cinereus		Crypturellus cinereus		Barrigon-1
Crypturellus			Crypturellus		Baudo-2; Coast Range-1; Dabeiba-1; Florencia-2; La Morelia-4; Lomitas-2; Malena-1; Puerto Valdivia-1; Rio Frio-3; San Antonio-1; Villavicencio-2
Crypturus	berlepschi		Crypturellus berlepschi		Barbacoas-1; Novita-1
Curucujis	melanurus	melanurus			Florencia-2
Cyanerpes	caeruleus	carmictorhynca	Cyanerpes caeruleus		Noanama-3
Cyanerpes	caeruleus	microrhynchus	Cyanerpes caeruleus		Barbacoas-6; Juntas de Tamana-1; Noanama-4; Quibdo-1; Villavicencio-1
Cyanerpes	caeruleus		Cyanerpes caeruleus		Buena Vista-1
Cyanerpes	cyaneus	pacificus	Cyanerpes cyaneus		Barbacoas-7; Buenaventura-2; Cisneros-2; Tumaco-2
Cyanerpes	cyaneus		Cyanerpes cyaneus		Barbacoas-7; Buenavista-1; Tumaco-1
Cyanerpes	spiza	caerulescens	Chlorophanes spiza		San Antonio-1
Cyanocorax	affinis	affinis	Cyanocorax affinis		Alto Bonito-3; Bagado-1; Chicoral-3; Dabeiba-2; La Frijolera-2; Peque-1; Puerto Valdivia-2; Turbaco-3
Cyanocorax	violaceus		Cyanocorax violaceus		Barrigon-3; Buena Vista-1; La Morelia-6; Villavicencio-5
Cyanocorax	yncas	cyanodorsalis	Cyanocorax yncas		Quetame-5
Cyanocorax	yncas	galeatus	Cyanocorax yncas		Aguadita-2; Andalucia-5; Anolaima-1; El Eden-4; El Roble-1; La Candela-3; La Frijolera-3; La Palma-1; Salento-11; Santa Elena-7; Subia-1
Cyanolesbia	emmae		Aglaiocercus kingii		Cerro Munchique-9; El Eden-1; Salento-2; San Antonio-6; Santa Elena-3
Cyanolesbia	kingi	kingi	Aglaiocercus kingii		Santa Elena-1
Cyanolesbia	kingii	kingii	Aglaiocercus kingii		El Roble-4
Cyanolesbia	kingii	mocoa	Aglaiocercus kingii		La Candela-18; La Palma-2; San Agustin-2
Cyanoloxia	brissonii	caucae	Cyanoloxia brissonii		Caldas-5; Palmira-2
Cyanoloxia	cyanoides		Cyanoloxia cyanoides		Buenavista-3; Cocal-1
Cyanolyca	armillata	armillata	Cyanolyca armillata		Anolaima-1; Choachi-1
Cyanolyca	armillata	quindiuna	Cyanolyca armillata		Laguneta-8; Paramo Santa Isabel-1; Valle de las Papas-5
Cychlarhis			Cyclarhis gujanensis		Anolaima-1
Cyckargus	nigrirostris		Cyclarhis nigrirostris		Ricaurte-1
Cyclarhis	gujanensis	cantica	Cyclarhis gujanensis		Chicoral-2
Cyclarhis	nigrirostris		Cyclarhis nigrirostris		Aguadita-1; Alban-1; Cerro Munchique-3; Cocal-2; Gallera-1; La Palma-1; Rio Toche-1; Salento-1; San Antonio-1; Santa Elena-2; Subia-1; Villavicencio-1
Cyclarhis			Cyclarhis gujanensis		Buena Vista-2; Villavicencio-1
Cymbilaimus	lineatus	fasciatus	Cymbilaimus lineatus		Barbacoas-6
Cymbilaimus	lineatus	lineatus	Cymbilaimus lineatus		Florencia-1; La Morelia-1
Cymbilaimus	lineatus		Cymbilaimus lineatus		Noanama-1; Novita-1
Cypseloides	brunneitorgues		Streptoprocne rutila		Aguadita-1; Buena Vista-3; Quetame-2
Dacnis	cayana	caerebicolor	Dacnis cayana		Barbacoas-4; Buenavista-1; Juntas de Tamana-1; Novita-1; Puerto Valdivia-5; Quibdo-1; San Jose-4
Dacnis	cayana	cayana	Dacnis cayana		Andalucia-1; Florencia-4; La Morelia-1; Villavicencio-1
Dacnis	lineata	egregia	Dacnis lineata		Chicoral-1; Honda-1
Dacnis	lineata	lineata	Dacnis lineata		Villavicencio-1
Dacnis	lineata		Dacnis lineata		Florencia-1; La Morelia-4
Dacnis	venusta	fuliginata	Dacnis venusta		Bagado-1; Barbacoas-2; Noanama-2; Puerto Valdivia-1
Dendrocincla	fuliginosa	phaeochroa	Dendrocincla fuliginosa		Villavicencio-1
Dendrocincla	lafresnayei	lafresnayei	Dendrocincla fuliginosa		Barbacoas-1; Barrigon-1; Baudo-1; Honda-1; Novita-2; Puerto Valdivia-1; Rio Frio-2
Dendrocincla	lafresnayei	phaeochroa	Dendrocincla fuliginosa		Villavicencio-3
Dendrocincla	tyrannina	tyrannina	Dendrocincla tyrannina		Almaguer-1; Coast Range-1; Laguneta-3; Salento-1
Dendrocincla	tyrannina		Dendrocincla tyrannina		Choachi-1
Dendrocolaptes	picumnus	validus	Dendrocolaptes picumnus		Villavicencio-1
Dendrocolaptes	sancti-thomae	radiolatus	Dendrocolaptes sanctithomae		Florencia-1
Dendrocolaptes	sanctithomae	sanctithomae	Dendrocolaptes sanctithomae		Puerto Valdivia-2
Dendrocolaptes	validus	validus	Dendrocolaptes picumnus		Aguadita-1; Cerro Munchique-1; Florencia-1; La Candela-3; Miraflores-1; Salento-2; Villavicencio-1
Dendrocygna			Dendrocygna		Cali-4
Dendroplex	picus	picirostris	Dendroplex picus		Chicoral-2; Honda-2; La Playa-1; Magdalena River-3; Puerto Berrio-1; Turbaco-1
Dendroplex	picus	picus	Dendroplex picus		Villavicencio-3
Dichrozona	cincta		Dichrozona cincta		Florencia-2; La Morelia-1
Diglossa	albilatera		Diglossa albilatera		Aguadita-1; Almaguer-4; Barro Blanco-1; Buena Vista-1; Cerro Munchique-4; Choachi-1; Coast Range-1; El Eden-5; El Roble-10; Fomeque-3; Fusugasuga-2; Gallera-1; Laguneta-1; Miraflores-1; Paramillo-1; Penon-1; Rio Toche-4; Salento-1; San Antonio-1; Santa Elena-5; Subia-1
Diglossa	atterrima		Diglossa humeralis		Laguneta-2; Paramo Santa Isabel-1
Diglossa	brunneiventris		Diglossa brunneiventris		Paramillo-19
Diglossa	caerulescens	caerulescens	Diglossa caerulescens		Almaguer-1; Cerro Munchique-1; Coast Range-2
Diglossa	caerulescens		Diglossa caerulescens		Penon-1
Diglossa	cryptorhis		Diglossa indigotica		Gallera-1
Diglossa	cyanea		Diglossa cyanea		Aguadita-1; Almaguer-7; Anolaima-3; Cerro Munchique-11; Chipaque-1; Coast Range-11; El Eden-2; El Roble-8; Fusugasuga-1; Laguneta-8; Paramo Santa Isabel-2; Penon-2; Rio Toche-1; San Antonio-2; Santa Elena-14; Subia-4
Diglossa	gloriosissima		Diglossa gloriosissima		Coast Range-7; Paramillo-15
Diglossa	humeralis	aterrima	Diglossa humeralis		Almaguer-2; Chipaque-1
Diglossa	humeralis		Diglossa humeralis		Chipaque-4; Subia-2
Diglossa	lafresnayii		Diglossa lafresnayii		Almaguer-2; Chipaque-2; Choachi-5; Laguneta-1; Paramo Santa Isabel-1
Diglossa	sittoides		Diglossa sittoides		Cerro Munchique-1; El Roble-1; La Candela-1; Miraflores-1; Quetame-2; Rio Toche-1; San Agustin-2; San Antonio-4
Diglossa			Diglossa		Cerro Munchique-1; Coast Range-1
Diglossa+Dylosopis			Diglossa		
Diglossopes	caerulescens	caerulescens	Diglossa caerulescens		El Eden-1
Discosura	conversii		Discosura conversii		Barbacoas-6; Noanama-1
Discosura	popelairii		Discosura popelairii		Barbacoas-1
Donacobius	atricapilla	albovittatus	Donacobius atricapilla		Honda-1; La Morelia-6; Magdalena River-1; Malena-2; Puerto Berrio-2; Villavicencio-3
Donacobius	atricapilla	atricapilla	Donacobius atricapilla		Villavicencio-1
Doryfera	ludovicae	ludovicae	Doryfera ludovicae		Buena Vista-1; Miraflores-1; Salento-2
Drymophila	caudata		Drymophila caudata		Cocal-3; El Eden-1; El Roble-1; Gallera-2; Salento-1; Santa Elena-4
Drymotoxeres	pucheranii		Drymotoxeres pucheranii		Cocal-1
Dryocopus	lineatus	lineatus	Dryocopus lineatus		Alto Bonito-1; Barrigon-1; Cali-3; La Frijolera-1; Miraflores-1; Palmira-1; Puerto Berrio-1; Villavicencio-1
Dryocopus	lineatus		Dryocopus lineatus		Alto Bonito-1
Dubusia	taeniata		Dubusia taeniata		Coast Range-2; Penon-1; Subia-1
Dysithamnus	capitalis	capitalis	Thamnophilus schistaceus		La Morelia-2
Dysithamnus	leucostictus		Dysithamnus leucostictus		Buena Vista-1
Dysithamnus	mentalis	semicinereus	Dysithamnus mentalis		La Frijolera-2; Miraflores-7; Villavicencio-1
Dysithamnus	mentalis		Dysithamnus mentalis		Honda-2
Dysithamnus	p.	flemmingi	Dysithamnus puncticeps		Barbacoas-2
Dysithamnus	puncticeps	unticeps	Dysithamnus puncticeps		Alto Bonito-1
Dysithamnus	puncticeps		Dysithamnus puncticeps		Alto Bonito-5; Barbacoas-6; La Vieja-1; Novita-1; Puerto Valdivia-1
Dysithamnus	semicinereus	extremus	Dysithamnus mentalis		Alban-3; Lomitas-6; Rio Frio-4; Salento-2; San Antonio-7
Dysithamnus	semicinereus	semicinereus	Dysithamnus mentalis		Andalucia-1; Buena Vista-8; La Candela-5
Dysithamnus					Baudo-1
Egretta	caerulea		Egretta caerulea		Malena-1; Noanama-1
Egretta	tricolor		Egretta tricolor		Sinu River-1
Elaenea	chiriquensis	chiriquensis	Elaenia chiriquensis		La Florida-1
Elaenea	flavogaster	flavogaster	Elaenia flavogaster		Chicoral-1; Popayan-1; Rio Frio-1
Elaenea	pudica	brachyptera	Elaenia frantzii		Cerro Munchique-6; Coast Range-1; La Florida-1
Elaenea	pudica	pudica	Elaenia frantzii		Laguneta-1; Rio Frio-1; Rio Toche-1; Salento-1
Elaenia	brachyptera		Elaenia brachyptera		Ricaurte-2
Elaenia	chiriquensis	albivertex	Elaenia chiriquensis		Villavicencio-1
Elaenia	chiriquensis	chiriquensis	Elaenia chiriquensis		Andalucia-1; Fusugasuga-1; La Candela-1; Miraflores-1; San Agustin-11; San Antonio-2
Elaenia	flavogaster	flavogaster	Elaenia flavogaster		Andalucia-2; Barbacoas-2; Bocas de Chimi-1; Calamar-1; Cali-3; Choachi-1; Cisneros-1; El Consuelo-1; Honda-2; La Palma-1; Lomitas-2; Magdalena River-1; Miraflores-1; Quetame-7; San Antonio-1; Villavicencio-2
Elaenia	flavogaster	subpagana	Elaenia flavogaster		Cali-1
Elaenia	gigas		Elaenia gigas		La Morelia-1; Villavicencio-3
Elaenia	obscura	pudica	Elaenia frantzii		Choachi-1; Rio Frio-1
Elaenia	pagana		Elaenia flavogaster		Caldas-1
Elaenia	parvirostris		Elaenia parvirostris		Florencia-5
Elaenia	pudica	brachyptera	Elaenia chiriquensis-frantzii		La Sierra-2
Elaenia	pudica	pudica	Elaenia frantzii		Barro Blanco-4; Choachi-4; Fusugasuga-3; Rio Toche-1; Santa Elena-10
Elaenia	pudica		Elaenia frantzii		Subia-1
Elaenia					Andalucia-1
Elanoides	forficatus	yetapa	Elanoides forficatus		Andalucia-1; Florencia-1; San Antonio-1
Elanus	forficatus	yetapa	Elanoides forficatus		Laguneta-1; Noanama-1
Electron	platyrhynchum	minus	Electron platyrhynchum		Puerto Valdivia-4
Electron	platyrhynchum	platyrhynchum	Electron platyrhynchum		Alto Bonito-2
Electron			Electron platyrhynchum		Florencia-1
Emberizoides	sphenurus		Emberizoides herbicola		Palmira-2
Empidochanes	cabanasi		Cnemotriccus fuscatus		Bocas de Chimi-1
Empidonax	alnorum		Empidonax alnorum		Calamar-2; Dabeiba-1; Honda-4; Puerto Berrio-1; Turbaco-1
Empidonax	virescens		Empidonax virescens		Cisneros-1; Juntas de Tamana-2; Lomitas-3; Puerto Valdivia-1; Rio Frio-1; San Antonio-2
Ensifera	ensifera		Ensifera ensifera		Almaguer-2; Cerro Munchique-1; Choachi-1; El Roble-1; Laguneta-2
Eremophila	alpestris	peregrina	Eremophila alpestris		Bogota-12; Subia-1
Eriocnemis	aureliae	aureliae	Haplophaedia aureliae		El Roble-1; Penon-1
Eriocnemis	aureliae	caucensis	Haplophaedia aureliae		San Antonio-9
Eriocnemis	paramillo		Haplophaedia aureliae		Paramillo-1
Eriocnemis	vestita		Eriocnemis vestita		Chipaque-8; Penon-4; Tocaimito-2
Eriocnemis					San Antonio-3
Erionotus	punctatis	atrinucha	Thamnophilus atrinucha		Alto Bonito-2; Bagado-3; Baudo-2; Dabeiba-6; Malena-1; Puerto Valdivia-15
Erionotus	punctatus	atrinuchus	Thamnophilus atrinucha		Juntas de Tamana-1; Noanama-1; Novita-2
Erionotus	punctatus	punctatus	Thamnophilus punctatus		Barrigon-2
Erionotus	punctatus		Thamnophilus atrinucha		Chicoral-1
Erionotus	unicolor		Thamnophilus unicolor		Barro Blanco-2; San Antonio-10
Erythrolypis	salmoni		Chrysothlypis salmoni		Buenavista-3
Eubucco	bourcierii	occidentalis	Eubucco bourcierii		La Frijolera-5; San Antonio-1
Eubucco	richardsoni	granadensis	Eubucco richardsoni		Buena Vista-3; Villavicencio-1
Eubucco			Eubucco bourcierii		La Frijolera-1
Euchlornis	arcuatus		Pipreola arcuata		Laguneta-1
Euchlornis	jucunda		Pipreola jucunda		Buenavista-1
Euchlornis	lubomirksi		Pipreola lubomirskii		La Candela-1
Euchlornis	riefferii		Pipreola riefferii		Santa Elena-1; Subia-1
Euchrepomis	callinota		Euchrepomis callinota		Aguadita-2
Eucinetus	pulcher		Nephelomyias pulcher		Noanama-1
Eucinetus	pulchra		Nephelomyias pulcher		Barbacoas-3
Eucometis	cristata	cristata	Eucometis penicillata		El Consuelo-2
Euphonia	aurea	pileata	?Nemosia pileata?		Buena Vista-1
Euphonia	chrysopasta		Euphonia chrysopasta		Buena Vista-1; Villavicencio-3
Euphonia	concinna		Euphonia concinna		Honda-1
