Institution,CatalogNumberPrefix,Kind of Object,Order,Family,ScientificName,Common Name (Name : Language),Date Collected,Country,ProvinceStateTerritory,PreciseLocation.Verbatim,Elevation.m,Collector,FieldNumber,Sex.Stage,Preparation.Remarks
NMNH,256179,Specimen/Lot,Passeriformes,Furnariidae,Premnoplex brunnescens brunnescens,Spotted Barbtail,27-May-11,Colombia,Cauca,"Cerro Munchique, Coast Range W of Popayan",2537 m,"Richardson, W. B.",AMNH 109680,Male,Skin: Whole
NMNH,256098,Specimen/Lot,Passeriformes,Rhinocryptidae,Scytalopus unicolor latrans,Blackish Tapaculo (Blackish); Blackish Tapaculo,28-May-11,Colombia,Cauca,"Cerro Munchique, Popayan, Coast Range W",2537 m,"Richardson, W. B.",,Male,Skin: Whole
NMNH,255955,Specimen/Lot,Apodiformes,Trochilidae,Adelomyia melanogenys cervina,Speckled Hummingbird,29-May-11,Colombia,Cauca,"Cerro Munchique, Coast Range, W of Popayan",2537 m,"Richardson, W. B.",AMNH 109479,unknown,Skin: Whole
NMNH,256436,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes brunneinucha frontalis,Chestnut-capped Brushfinch (Plain-breasted); Chestnut-capped Brushfinch,29-May-11,Colombia,Cauca,"Cerro Munchique, Coast Range W of Popayan",2537 m,"Richardson, W. B.",110062,Female/Adult,Skin: Whole
NMNH,256072,Specimen/Lot,Passeriformes,Cotingidae,Pipreola riefferii occidentalis,Green-and-black Fruiteater,29-May-11,Colombia,Cauca,"Cerro Munchique, Coast Range W of Popayan",2537 m,"Richardson, W. B.",AMNH 109870,Female,Skin: Whole
NMNH,256243,Specimen/Lot,Passeriformes,Hirundinidae,Pygochelidon cyanoleuca cyanoleuca,Blue-and-white Swallow; Blue-and-white Swallow (cyanoleuca),29-May-11,Colombia,Cauca,"Cerro Munchique, Coast Range, W of Popayan",2537 m,"Richardson, W. B.",AMNH 109881,unknown,Skin: Whole
NMNH,256375,Specimen/Lot,Passeriformes,Emberizidae,Tangara ruficervix ruficervix,Rufous-cheeked Tanager; Golden-naped Tanager,29-May-11,Colombia,Cauca,"Cerro Munchique, Coast Range W of Popayan",2537 m,"Richardson, W. B.",110177,Female,Skin: Whole
NMNH,256177,Specimen/Lot,Passeriformes,Furnariidae,Margarornis squamiger perlatus,Pearled Treerunner,30-May-11,Colombia,Cauca,"Cerro Munchique, Coast Range W of Popayan",2537 m,"Richardson, W. B.",AMNH 109675,Male,Skin: Whole
NMNH,256158,Specimen/Lot,Passeriformes,Furnariidae,Synallaxis elegantior media,Azara's Spinetail,30-May-11,Colombia,Cauca,"Cerro Munchique, W of Popayan, Coast Range",2537 m,"Richardson, W. B.",AMNH 109646,Female,Skin: Whole
NMNH,256232,Specimen/Lot,Passeriformes,Troglodytidae,Henicorhina leucophrys leucophrys,Gray-breasted Wood-Wren; Gray-breasted Wood-Wren (hilaris); Grey-breasted Wood Wren,31-May-11,Colombia,Cauca,"Cerro Munchique, W of Popayan, Coast Range",2537 m,"Richardson, W. B.",AMNH 109909,Male,Skin: Whole
