Institution,CatalogNumberPrefix,Kind of Object,Order,Family,ScientificName,Common Name (Name : Language),Date Collected,Country,ProvinceStateTerritory,PreciseLocation.Verbatim,Elevation.m,Collector,FieldNumber,Sex.Stage,Preparation.Remarks
NMNH,256283,Specimen/Lot,Passeriformes,Emberizidae,Diglossa cyanea cyanea,Masked Flowerpiercer,30-Aug-11,Colombia,Cauca,"La Guneta, W. Quindio, Andes",3139 m,"Miller, L. E.; Allen, A. A.",AMNH 112878; 878,Male,Skin: Whole
NMNH,256348,Specimen/Lot,Passeriformes,Emberizidae,Chlorornis riefferii riefferii,Grass-green Tanager,31-Aug-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",100,Female,Skin: Whole
NMNH,255908,Specimen/Lot,Apodiformes,Trochilidae,Heliangelus exortis,Tourmaline Sunangel,31-Aug-11,Colombia,Cauca,"La Gumeta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",64; AMNH 111667,Male,Skin: Whole
NMNH,255905,Specimen/Lot,Apodiformes,Trochilidae,Heliangelus exortis,Tourmaline Sunangel,31-Aug-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",66; AMNH 111666,Female,Skin: Whole
NMNH,256195,Specimen/Lot,Passeriformes,Dendrocolaptidae,Lepidocolaptes affinis sneiderni,Spot-crowned Woodcreeper; Montane Woodcreeper,31-Aug-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",79; AMNH 112142,Female,Skin: Whole
NMNH,256034,Specimen/Lot,Passeriformes,Tyrannidae,Ochthoeca rufipectoralis obfuscata,Rufous-breasted Chat-Tyrant,31-Aug-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",77; AMNH 112184,Female,Skin: Whole
NMNH,256388,Specimen/Lot,Passeriformes,Emberizidae,Tangara labradorides labradorides,Metallic-green Tanager,2-Sep-11,Colombia,Valle del Cauca,San Antonio,2134 m,"Richardson, W. B.",AMNH108582,Male,Skin: Whole
NMNH,256035,Specimen/Lot,Passeriformes,Tyrannidae,Ochthoeca rufipectoralis obfuscata,Rufous-breasted Chat-Tyrant,4-Sep-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",169; AMNH 112175,unknown,Skin: Whole
NMNH,256165,Specimen/Lot,Passeriformes,Furnariidae,Pseudocolaptes boissonneautii boissonneautii,Streaked Tuftedcheek,4-Sep-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",1165; AMNH 112078,Male,Skin: Whole
NMNH,256157,Specimen/Lot,Passeriformes,Furnariidae,Synallaxis elegantior media,Azara's Spinetail,4-Sep-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",175; AMNH 112053,Male,Skin: Whole
NMNH,255906,Specimen/Lot,Apodiformes,Trochilidae,Heliangelus exortis,Tourmaline Sunangel,5-Sep-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",197; AMNH 111674,Male,Skin: Whole
NMNH,256432,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes schistaceus schistaceus,Slaty Brushfinch,6-Sep-11,Colombia,Cauca,"Andes, La Guneta, W. Quindio",3139 m,"Allen, A. A.; Miller, L. E.",112834; 244; 834,Male,Skin: Whole
NMNH,256303,Specimen/Lot,Passeriformes,Icteridae,Cacicus leucoramphus leucoramphus,Scarlet-rumped Cacique (Subtropical); Northern Mountain Cacique,6-Sep-11,Colombia,Cauca,"Andes, La Guneta, W. Quindio",3139 m,"Allen, A. A.; Miller, L. E.",249; AMNH 113197,Female,Skin: Whole
NMNH,256262,Specimen/Lot,Passeriformes,Corvidae,Cyanolyca viridicyana quindiuna,Black-collared Jay (Quindio); Black-collared Jay,7-Sep-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",273; AMNH 113235,Male,Skin: Whole
NMNH,255847,Specimen/Lot,Caprimulgiformes,Caprimulgidae,Caprimulgus longirostris ruficervix,Band-winged Nightjar (Rufous-naped); Band-winged Nightjar,8-Sep-11,Colombia,Cauca,"La Guneta, W Quindio",3139 m,"Allen, A. A.; Miller, L. E.",111514; 284,Male,Skin: Whole
NMNH,255887,Specimen/Lot,Trogoniformes,Trogonidae,Trogon personatus temperatus,Masked Trogon,8-Sep-11,Colombia,Cauca,"W. Quindio Andes, La Guneta",3139 m,"Allen, A. A.; Miller, L. E.",302,Male,Skin: Whole
NMNH,256213,Specimen/Lot,Passeriformes,Troglodytidae,Troglodytes solstitialis solitarius,Mountain Wren,9-Sep-11,Colombia,Quindio,"Laguneta, W Quindio Andes",3139 m,"Allen, A. A.; Miller, L. E.",309; AMNH 112528; 528,Male,Skin: Whole
NMNH,256164,Specimen/Lot,Passeriformes,Furnariidae,Asthenes flammulata quindiana,Many-striped Canastero,14-Sep-11,Colombia,,"Santa Isabel, Quindio Andes",3871 m,"Allen, A. A.; Miller, L. E.",353; AMNH 112066,Female/Juvenile,Skin: Whole
NMNH,256175,Specimen/Lot,Passeriformes,Furnariidae,Margarornis squamiger perlatus,Pearled Treerunner,14-Sep-11,Colombia,,"Santa Isabel, Quindio Andes",3871 m,"Allen, A. A.; Miller, L. E.",349; AMNH 112100,Male,Skin: Whole
NMNH,256426,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes pallidinucha papallactae,Pale-naped Brushfinch,15-Sep-11,Colombia,Quindio,"Santa Isabel, Andes",3871 m,"Allen, A. A.; Miller, L. E.",368; 112819,Male,Skin: Whole
NMNH,256153,Specimen/Lot,Passeriformes,Furnariidae,Cinclodes excelsior columbiana,Stout-billed Cinclodes,15-Sep-11,Colombia,Quindio,"Santa Isabel, Par Val",3871 m,"Allen, A. A.; Miller, L. E.",379; AMNH 112024,Female,Skin: Whole
NMNH,256212,Specimen/Lot,Passeriformes,Troglodytidae,Cistothorus platensis aequatorialis,Sedge Wren; Sedge Wren (Paramo); Grass Wren,15-Sep-11,Colombia,Quindio,"Santa Isabel, Andes",3871 m,"Allen, A. A.; Miller, L. E.",393; AMNH 112503,Male,Skin: Whole
NMNH,256211,Specimen/Lot,Passeriformes,Troglodytidae,Cistothorus platensis aequatorialis,Sedge Wren; Sedge Wren (Paramo); Grass Wren,16-Sep-11,Colombia,Quindio,"Santa Isabel, Andes",3871 m,"Allen, A. A.; Miller, L. E.",420; AMNH 112513,Female,Skin: Whole
NMNH,255804,Specimen/Lot,Charadriiformes,Scolopacidae,Gallinago jamesoni,Jameson's Snipe; Fuegian Snipe,16-Sep-11,Colombia,Quindio,"Santa Isabel, Andes",3871 m,"Allen, A. A.; Miller, L. E.",398,Male,Skin: Whole
NMNH,256005,Specimen/Lot,Passeriformes,Tyrannidae,Mecocerculus leucophrys setophagoides,White-throated Tyrannulet,16-Sep-11,Colombia,Quindio,"Santa Isabel, Andes",3871 m,"Allen, A. A.; Miller, L. E.",422; AMNH 112260,Female,Skin: Whole
NMNH,256152,Specimen/Lot,Passeriformes,Furnariidae,Cinclodes excelsior columbiana,Stout-billed Cinclodes,20-Sep-11,Colombia,Quindio,"Santa Isabel, Par Val",3871 m,"Allen, A. A.; Miller, L. E.",521; AMNH 110215,Male,Skin: Whole
NMNH,256293,Specimen/Lot,Passeriformes,Parulidae,Basileuterus nigrocristatus,Black-crested Warbler,21-Sep-11,Colombia,Cauca,San Isabel,3658 m,"Allen, A. A.; Miller, L. E.",537; AMNH 113258-BIS,Female,Skin: Whole
NMNH,256263,Specimen/Lot,Passeriformes,Corvidae,Cyanolyca viridicyana quindiuna,Black-collared Jay (Quindio); Black-collared Jay,23-Sep-11,Colombia,Quindio,"Santa Isabel, Andes",3658 m,"Allen, A. A.; Miller, L. E.",566?; 232; AMNH 113232,unknown,Skin: Whole
NMNH,256176,Specimen/Lot,Passeriformes,Furnariidae,Margarornis squamiger perlatus,Pearled Treerunner,23-Sep-11,Colombia,,"Santa Isabel, Quindio Andes",3658 m,"Allen, A. A.; Miller, L. E.",588; AMNH 112098,Male,Skin: Whole
NMNH,256006,Specimen/Lot,Passeriformes,Tyrannidae,Mecocerculus leucophrys setophagoides,White-throated Tyrannulet,23-Sep-11,Colombia,Quindio,"Santa Isabel, Andes",3658 m,"Allen, A. A.; Miller, L. E.",593; AMNH 112272,Male,Skin: Whole
NMNH,255893,Specimen/Lot,Apodiformes,Trochilidae,Metallura tyrianthina tyrianthina,Tyrian Metaltail (Merida); Tyrian Metaltail,23-Sep-11,Colombia,Risaralda,"Santa Isabel, Quindio Andes",3658 m,"Allen, A. A.; Miller, L. E.",579; AMNH 111705,Male,Skin: Whole
NMNH,256214,Specimen/Lot,Passeriformes,Troglodytidae,Troglodytes solstitialis solitarius,Mountain Wren,23-Sep-11,Colombia,Risaralda,"Santa Isabel, Quindio Andes",3658 m,"Allen, A. A.; Miller, L. E.",572; AMNH 112538; 538,Female,Skin: Whole
NMNH,256199,Specimen/Lot,Passeriformes,Turdidae,Turdus fuscater quindio,Great Thrush,23-Sep-11,Colombia,Quindio,"Santa Isabel, Andes",3658 m,"Allen, A. A.; Miller, L. E.",599; 595; AMNH 112595,Male,Skin: Whole
NMNH,256259,Specimen/Lot,Passeriformes,Corvidae,Cyanocorax yncas galeatus,Green Jay; Inca Jay,26-Sep-11,Colombia,Quindio,"Salento, W Quindio Andes",2134 m,"Allen, A. A.; Miller, L. E.",632; AMNH 113220,Female,Skin: Whole
NMNH,323032,Specimen/Lot,Cuculiformes,Cuculidae,Piaya cayana nigricrissa,Squirrel Cuckoo; Squirrel Cuckoo (nigricrissa),26-Sep-11,Colombia,Quindio,"Salento, W Quindio Andes",2134 m,"Allen, A. A.; Miller, L. E.",620,Male,Skin: Whole
NMNH,256170,Specimen/Lot,Passeriformes,Furnariidae,Anabacerthia striaticollis striaticollis,Montane Foliage-gleaner,30-Sep-11,Colombia,Quindio,"Salento, W Quindio Andes",2134 m,"Allen, A. A.; Miller, L. E.",681; AMNH 112088,Female,Skin: Whole
NMNH,256413,Specimen/Lot,Passeriformes,Emberizidae,Hemispingus frontalis,Oleaginous Hemispingus,30-Sep-11,Colombia,Quindio,"Salento, W Quindio Andes",2134 m,"Allen, A. A.; Miller, L. E.",678,Male,Skin: Whole
NMNH,255848,Specimen/Lot,Coraciiformes,Momotidae,Momotus momota aequatorialis,Blue-crowned Motmot; Andean Motmot,30-Sep-11,Colombia,Quindio,"Salento, W. Quindio",2134 m,"Allen, A. A.; Miller, L. E.",,Male,Skin: Whole
NMNH,256458,Specimen/Lot,Passeriformes,Emberizidae,Arremonops conirostris conirostris,Black-striped Sparrow,8-Oct-11,Colombia,Tolima,"Coello River, Chicoral",549 m,"Allen, A. A.; Miller, L. E.",785; AMNH 112791,unknown,Skin: Whole
NMNH,255842,Specimen/Lot,Psittaciformes,Psittacidae,Forpus conspicillatus conspicillatus,Spectacled Parrotlet,8-Oct-11,Colombia,Tolima,"Chicoral, Coello River",549 m,"Allen, A. A.; Miller, L. E.",753; AMNH 111455,Male,Skin: Whole
NMNH,255890,Specimen/Lot,Apodiformes,Apodidae,Streptoprocne zonaris albicincta,White-collared Swift,9-Oct-11,Colombia,Tolima,"Coello River, Chicoral",549 m,"Allen, A. A.; Miller, L. E.",762,Male,Skin: Whole
NMNH,256120,Specimen/Lot,Passeriformes,Formicariidae,Thamnophilus punctatus subcinereus,Black-crowned Antshrike,9-Oct-11,Colombia,Tolima,"Chicoral, Coello River",549 m,"Allen, A. A.; Miller, L. E.",776,Male,Skin: Whole
NMNH,256024,Specimen/Lot,Passeriformes,Tyrannidae,Todirostrum cinereum cinereum,Common Tody-Flycatcher; Common Tody-Flycatcher (sclateri),9-Oct-11,Colombia,Tolima,"Chicoral, Coello River",549 m,"Allen, A. A.; Miller, L. E.",800; AMNH 112213,Male,Skin: Whole
NMNH,255844,Specimen/Lot,Psittaciformes,Psittacidae,Forpus conspicillatus conspicillatus,Spectacled Parrotlet,10-Oct-11,Colombia,Tolima,"Chicoral, Coello River",549 m,"Allen, A. A.; Miller, L. E.",816; AMNH 111453,Female,Skin: Whole
NMNH,256142,Specimen/Lot,Passeriformes,Formicariidae,Cercomacra nigricans,Jet Antbird,11-Oct-11,Colombia,Tolima,"Chicoral, Coello River",549 m,"Allen, A. A.; Miller, L. E.",856,Male/Immature,Skin: Whole
NMNH,256196,Specimen/Lot,Passeriformes,Dendrocolaptidae,Xiphorhynchus picus saturatior,Straight-billed Woodcreeper,11-Oct-11,Colombia,Tolima,"Chicoral, Coello River",549 m,"Allen, A. A.; Miller, L. E.",835; AMNH 112134,Male,Skin: Whole
NMNH,256249,Specimen/Lot,Passeriformes,Vireonidae,Hylophilus flavipes flavipes,Scrub Greenlet,11-Oct-11,Colombia,Tolima,"Coello River, Chicoral",,"Allen, A. A.; Miller, L. E.",847; AMNH 112620,Male,Skin: Whole
NMNH,255885,Specimen/Lot,Piciformes,Picidae,Picumnus olivaceus olivaceus,Olivaceous Piculet,12-Oct-11,Colombia,Tolima,"Chicoral, Coello River",549 m,"Allen, A. A.; Miller, L. E.",880,Male,Skin: Whole
NMNH,255954,Specimen/Lot,Apodiformes,Trochilidae,Adelomyia melanogenys cervina,Speckled Hummingbird,17-Oct-11,Colombia,,"El Eden, E Quindio Andes",2530 m,"Allen, A. A.; Miller, L. E.",916; AMNH 111654,Male,Skin: Whole
NMNH,256302,Specimen/Lot,Passeriformes,Icteridae,Cacicus leucoramphus leucoramphus,Scarlet-rumped Cacique (Subtropical); Northern Mountain Cacique,17-Oct-11,Colombia,Quindio,"El Eden, Andes",2530 m,"Allen, A. A.; Miller, L. E.",936; AMNH 113189,Male,Skin: Whole
NMNH,256261,Specimen/Lot,Passeriformes,Corvidae,Cyanocorax yncas galeatus,Green Jay; Inca Jay,17-Oct-11,Colombia,,"El Eden, E Quindio Andes",2530 m,"Allen, A. A.; Miller, L. E.",915; AMNH 113225,Female,Skin: Whole
NMNH,255970,Specimen/Lot,Passeriformes,Tyrannidae,Myiarchus cephalotes cephalotes,Pale-edged Flycatcher,17-Oct-11,Colombia,Tolima,"El Eden, E Quindio Andes",2530 m,"Allen, A. A.; Miller, L. E.",926; AMNH 112367,Male,Skin: Whole
NMNH,255972,Specimen/Lot,Passeriformes,Tyrannidae,Myiophobus flavicans flavicans,Flavescent Flycatcher,17-Oct-11,Colombia,Quindio,"El Eden, Andes",2530 m,"Allen, A. A.; Miller, L. E.",919; AMNH 112340,Male,Skin: Whole
NMNH,255884,Specimen/Lot,Piciformes,Picidae,Picumnus olivaceus olivaceus,Olivaceous Piculet,17-Oct-11,Colombia,Tolima,"El Eden, East Quindio Andes",2530 m,"Allen, A. A.; Miller, L. E.",929,Female,Skin: Whole
NMNH,255976,Specimen/Lot,Passeriformes,Tyrannidae,Poecilotriccus ruficeps rufigenis,Rufous-crowned Tody-Flycatcher,17-Oct-11,Colombia,Quindio,"El Eden, E Quindio Andes",2530 m,"Allen, A. A.; Miller, L. E.",927; AMNH 112218,Female,Skin: Whole
NMNH,256423,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes albinucha gutturalis,White-naped Brush-Finch; White-naped Brushfinch (White-naped); White-naped Brushfinch,18-Oct-11,Colombia,Quindio,"El Eden, Andes, E Quindio",2530 m,"Allen, A. A.; Miller, L. E.",962; 112825,Female,Skin: Whole
NMNH,255924,Specimen/Lot,Apodiformes,Trochilidae,Coeligena torquata torquata,Collared Inca (Green); Collared Inca,18-Oct-11,Colombia,,"El Eden, E. Quindio Andes",2530 m,"Allen, A. A.; Miller, L. E.",940,Male,Skin: Whole
NMNH,256229,Specimen/Lot,Passeriformes,Troglodytidae,Henicorhina leucophrys leucophrys,Gray-breasted Wood-Wren; Gray-breasted Wood-Wren (hilaris); Grey-breasted Wood Wren,19-Oct-11,Colombia,Quindio,"El Eden, Andes",2530 m,"Allen, A. A.; Miller, L. E.",978; AMNH 112550,Male,Skin: Whole
NMNH,256252,Specimen/Lot,Passeriformes,Vireonidae,Vireo gilvus leucophrys,Brown-capped Vireo; Warbling Vireo,19-Oct-11,Colombia,Quindio,"El Eden, Andes",2530 m,"Allen, A. A.; Miller, L. E.",988; 312; AMNH112612,Female,Skin: Whole
NMNH,256285,Specimen/Lot,Passeriformes,Emberizidae,Diglossa cyanea cyanea,Masked Flowerpiercer,19-Oct-11,Colombia,Quindio,El Eden,,"Allen, A. A.; Miller, L. E.",986; AMNH 112889,Female,Skin: Whole
NMNH,256442,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes brunneinucha frontalis,Chestnut-capped Brushfinch (Plain-breasted); Chestnut-capped Brushfinch,20-Oct-11,Colombia,,"El Eden, E Quindio Andes",2530 m,"Allen, A. A.; Miller, L. E.",1004; 112847,Male/Adult,Skin: Whole
NMNH,256414,Specimen/Lot,Passeriformes,Emberizidae,Hemispingus frontalis,Oleaginous Hemispingus,20-Oct-11,Colombia,Quindio,"Andes, El Eden",2530 m,"Allen, A. A.; Miller, L. E.",1020,unknown,Skin: Whole
NMNH,256381,Specimen/Lot,Passeriformes,Emberizidae,Tangara nigroviridis cyanescens,Beryl-spangled Tanager,20-Oct-11,Colombia,Quindio,El Eden,2530 m,"Allen, A. A.; Miller, L. E.",1002,Male,Skin: Whole
NMNH,256354,Specimen/Lot,Passeriformes,Emberizidae,Thraupis cyanocephala annectens,Blue-capped Tanager,20-Oct-11,Colombia,Quindio,"Andes, El Eden",2530 m,"Allen, A. A.; Miller, L. E.",,Female,Skin: Whole
NMNH,255828,Specimen/Lot,Psittaciformes,Psittacidae,Ognorhynchus icterotis,Yellow-eared Parrot,21-Oct-11,Colombia,Tolima,"Rio Toche, E Quindio Andes",2073 m,"Allen, A. A.; Miller, L. E.",1171; AMNH 111451,Female,Skin: Whole
NMNH,255826,Specimen/Lot,Psittaciformes,Psittacidae,Ognorhynchus icterotis,Yellow-eared Parrot,21-Oct-11,Colombia,Tolima,"Rio Toche, E Quindio Andes",2073 m,"Allen, A. A.; Miller, L. E.",1172; AMNH 111442,Female,Skin: Whole
NMNH,256292,Specimen/Lot,Passeriformes,Parulidae,Parula pitiayumi elegans,Tropical Parula; Tropical Parula (Coiba I.),21-Oct-11,Colombia,Quindio,"El Eden, E Quindio",2530 m,"Allen, A. A.; Miller, L. E.",637; 1045; 112637,Male,Skin: Whole
NMNH,256242,Specimen/Lot,Passeriformes,Hirundinidae,Pygochelidon cyanoleuca cyanoleuca,Blue-and-white Swallow; Blue-and-white Swallow (cyanoleuca),21-Oct-11,Colombia,Quindio,"El Eden, E Quindio",2530 m,"Allen, A. A.; Miller, L. E.",1041; AMNH 112466,Male,Skin: Whole
NMNH,256415,Specimen/Lot,Passeriformes,Emberizidae,Chlorospingus ophthalmicus nigriceps,Common Bush-Tanager; Common Chlorospingus (Central Panama); Common Bush Tanager,23-Oct-11,Colombia,Tolima,"Rio Toche, E Quindio Andes",2073 m,"Allen, A. A.; Miller, L. E.",1070,Female,Skin: Whole
NMNH,255962,Specimen/Lot,Apodiformes,Trochilidae,Coeligena coeligena ferruginea,Bronzy Inca,23-Oct-11,Colombia,Tolima,"Rio Toche, E. Quindio",2073 m,"Allen, A. A.; Miller, L. E.",1066,Male,Skin: Whole
NMNH,256014,Specimen/Lot,Passeriformes,Tyrannidae,Serpophaga cinerea cinerea,Torrent Tyrannulet,23-Oct-11,Colombia,Tolima,"Rio Toche, E Quindio Andes",2073 m,"Allen, A. A.; Miller, L. E.",1063; AMNH 112251,Male,Skin: Whole
NMNH,255923,Specimen/Lot,Apodiformes,Trochilidae,Coeligena torquata torquata,Collared Inca (Green); Collared Inca,26-Oct-11,Colombia,Tolima,"Rio Toche, E. Quindio Andes",2073 m,"Allen, A. A.; Miller, L. E.",1135,Male,Skin: Whole
NMNH,256228,Specimen/Lot,Passeriformes,Troglodytidae,Henicorhina leucophrys leucophrys,Gray-breasted Wood-Wren; Gray-breasted Wood-Wren (hilaris); Grey-breasted Wood Wren,26-Oct-11,Colombia,Tolima,"Rio Toche, E. Quindio Andes",2073 m,"Allen, A. A.; Miller, L. E.",1130; AMNH 112548,Male,Skin: Whole
NMNH,255827,Specimen/Lot,Psittaciformes,Psittacidae,Ognorhynchus icterotis,Yellow-eared Parrot,27-Oct-11,Colombia,Tolima,"Rio Toche, E Quindio Andes",2073 m,"Allen, A. A.; Miller, L. E.",1173; AMNH 111446,Male,Skin: Whole
NMNH,255961,Specimen/Lot,Apodiformes,Trochilidae,Coeligena coeligena ferruginea,Bronzy Inca,31-Oct-11,Colombia,Quindio,"Salento, W. Quindio",2134 m,"Allen, A. A.; Miller, L. E.",1195,Male,Skin: Whole
NMNH,255883,Specimen/Lot,Piciformes,Picidae,Piculus rubiginosus gularis,Golden-olive Woodpecker,31-Oct-11,Colombia,Quindio,Salento,2134 m,"Allen, A. A.; Miller, L. E.",1183,Female,Skin: Whole
NMNH,255814,Specimen/Lot,Columbiformes,Columbidae,Columba subvinacea anolaimae,Ruddy Pigeon,1-Nov-11,Colombia,Quindio,"Salento, Andes, W Quindio",2134 m,"Allen, A. A.; Miller, L. E.",1205,Male,Skin: Whole
NMNH,256104,Specimen/Lot,Passeriformes,Formicariidae,Grallaria ruficapilla ruficapilla,Chestnut-crowned Antpitta,1-Nov-11,Colombia,Quindio,"Salento, Andes, W Quindio",2134 m,"Allen, A. A.; Miller, L. E.",1208,Male,Skin: Whole
NMNH,256324,Specimen/Lot,Passeriformes,Icteridae,Psarocolius angustifrons salmoni,Russet-backed Oropendola,3-Nov-11,Colombia,Quindio,"El Roble, Andes",2195 m,"Allen, A. A.; Miller, L. E.",1215; AMNH 113184,Female,Skin: Whole
NMNH,255810,Specimen/Lot,Columbiformes,Columbidae,Columba fasciata albilinea,Band-tailed Pigeon; Band-tailed Pigeon (Viosca's),3-Nov-11,Colombia,Quindio,"Salento, Above, W Quindio Andes",2743 m,"Allen, A. A.; Miller, L. E.",1220; AMNH 111282,Female,Skin: Whole
NMNH,255877,Specimen/Lot,Piciformes,Picidae,Melanerpes formicivorus flavigula,Acorn Woodpecker; Acorn Woodpecker (Narrow-fronted),3-Nov-11,Colombia,Quindio,"Salento, Above, W Quindio Andes",2743 m,"Allen, A. A.; Miller, L. E.",,Female,Skin: Whole
NMNH,256431,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes schistaceus schistaceus,Slaty Brushfinch,4-Nov-11,Colombia,Quindio,"Salento, W Quindio Andes, Above Salento",2743 m,"Allen, A. A.; Miller, L. E.",112826; 826,Male,Skin: Whole
NMNH,256156,Specimen/Lot,Passeriformes,Furnariidae,Synallaxis elegantior media,Azara's Spinetail,4-Nov-11,Colombia,Quindio,"Salento, Above, W Quindio Andes",2743 m,"Allen, A. A.; Miller, L. E.",1249; AMNH 112054,Male,Skin: Whole
NMNH,256347,Specimen/Lot,Passeriformes,Emberizidae,Chlorornis riefferii riefferii,Grass-green Tanager,5-Nov-11,Colombia,Quindio,"Salento, Above, W Quindio Andes",2743 m,"Allen, A. A.; Miller, L. E.",1262,Female,Skin: Whole
NMNH,255922,Specimen/Lot,Apodiformes,Trochilidae,Coeligena torquata torquata,Collared Inca (Green); Collared Inca,5-Nov-11,Colombia,Quindio,"Salento, Above, W. Quindio Andes",2743 m,"Allen, A. A.; Miller, L. E.",1264,Male,Skin: Whole
NMNH,256173,Specimen/Lot,Passeriformes,Furnariidae,Margarornis squamiger perlatus,Pearled Treerunner,5-Nov-11,Colombia,Quindio,"Salento, Above, W Quindio Andes",2743 m,"Allen, A. A.; Miller, L. E.",1265; AMNH 112103,Male,Skin: Whole
NMNH,255870,Specimen/Lot,Piciformes,Picidae,Campephilus pollens pollens,Powerful Woodpecker,6-Nov-11,Colombia,Quindio,"Salento, Above, W Quindio Andes",2743 m,"Allen, A. A.; Miller, L. E.",111836,Female,Skin: Whole
NMNH,256288,Specimen/Lot,Passeriformes,Parulidae,Conirostrum albifrons,Capped Conebill,6-Nov-11,Colombia,Quindio,"Salento, Above, W Quindio Andes",2743 m,"Allen, A. A.; Miller, L. E.",1281; AMNH 112897,Female,Skin: Whole
NMNH,256260,Specimen/Lot,Passeriformes,Corvidae,Cyanocorax yncas galeatus,Green Jay; Inca Jay,8-Nov-11,Colombia,Quindio,El Roble,2195 m,"Allen, A. A.; Miller, L. E.",1315; AMNH 113230,Male,Skin: Whole
NMNH,255917,Specimen/Lot,Apodiformes,Trochilidae,Haplophaedia aureliae caucensis,Greenish Puffleg,8-Nov-11,Colombia,Quindio,El Roble,2195 m,"Allen, A. A.; Miller, L. E.",1304,Male,Skin: Whole
NMNH,256310,Specimen/Lot,Passeriformes,Icteridae,Hypopyrrhus pyrohypogaster,Red-bellied Grackle,8-Nov-11,Colombia,Quindio,El Roble,2195 m,"Allen, A. A.; Miller, L. E.",1329; AMNH 113212,Female,Skin: Whole
NMNH,255967,Specimen/Lot,Apodiformes,Trochilidae,Ocreatus underwoodii ambiguus,Booted Racket-tail; White-booted Racket-tail,8-Nov-11,Colombia,Quindio,El Roble,2195 m,"Allen, A. A.; Miller, L. E.",1303,Female,Skin: Whole
NMNH,255837,Specimen/Lot,Psittaciformes,Psittacidae,Pionus chalcopterus chalcopterus,,8-Nov-11,Colombia,Quindio,El Roble,2195 m,"Allen, A. A.; Miller, L. E.",1327; AMNH 111466,Male,Skin: Whole
NMNH,256105,Specimen/Lot,Passeriformes,Formicariidae,Grallaria ruficapilla ruficapilla,Chestnut-crowned Antpitta,9-Nov-11,Colombia,Quindio,"El Roble, Andes",2195 m,"Allen, A. A.; Miller, L. E.",1333,Male,Skin: Whole
NMNH,256291,Specimen/Lot,Passeriformes,Parulidae,Parula pitiayumi elegans,Tropical Parula; Tropical Parula (Coiba I.),9-Nov-11,Colombia,Quindio,El Roble,2195 m,"Allen, A. A.; Miller, L. E.",638; 1331; 112638,Male,Skin: Whole
NMNH,256392,Specimen/Lot,Passeriformes,Emberizidae,Tangara labradorides labradorides,Metallic-green Tanager,9-Nov-11,Colombia,Quindio,"El Roble, Andes",2195 m,"Allen, A. A.; Miller, L. E.",AMNH112983; 983; 1340,Male,Skin: Whole
NMNH,255862,Specimen/Lot,Piciformes,Ramphastidae,Aulacorhynchus prasinus griseigularis,Emerald Toucanet; Southern Emerald-Toucanet (Gray-throated); White-throated Toucanet,10-Nov-11,Colombia,Quindio,"El Roble, Andes",2195 m,"Allen, A. A.; Miller, L. E.",1349; 111789,Male,Skin: Whole
NMNH,255823,Specimen/Lot,Columbiformes,Columbidae,Geotrygon frenata bourcieri,White-throated Quail-Dove,13-Nov-11,Colombia,Quindio,El Roble,2195 m,"Allen, A. A.; Miller, L. E.",AMNH 111309; 1395,Male,Skin: Whole
NMNH,256250,Specimen/Lot,Passeriformes,Vireonidae,Vireo olivaceus caucae,Red-eyed Vireo; Chivi Vireo,23-Nov-11,Colombia,Cauca,Rio Frio,1067 m,"Allen, A. A.; Miller, L. E.",1416; AMNH 112615 BIS,Male,Skin: Whole
NMNH,255831,Specimen/Lot,Psittaciformes,Psittacidae,Ara severa,Chestnut-fronted Macaw,27-Nov-11,Colombia,Cauca,"Rio Frio, Cauca River",1067 m,"Allen, A. A.; Miller, L. E.",1473; AMNH 111437,Female,Skin: Whole
NMNH,256018,Specimen/Lot,Passeriformes,Tyrannidae,Fluvicola pica pica,Pied Water-Tyrant; Pied Water Tyrant,29-Nov-11,Colombia,Cauca,"Rio Frio, Cauca River",1067 m,"Allen, A. A.; Miller, L. E.",1501; AMNH 112205,Female,Skin: Whole
