Chapman	Clements	Notes
Myrmopagis axillaris melaena	Myrmotherula axillaris	NA
Myrmopagis axillaris albigula	Myrmotherula axillaris	NA
Myrmopagis schisticolor schisticolor	Myrmotherula schisticolor	NA
Myrmopagis schisticolor interior	Myrmotherula schisticolor	NA
Myrmopagis cinereiventris pallida	Myrmotherula menetriesii	NA
Herpsilochmus rufomarginatus frater	Herpsilochmus rufimarginatus	NA
Microrhopias grisea intermedia	Formicivora grisea	NA
Microrhopias boucardi consobrina	Microrhopias quixensis	NA
Drymophila caudata caudata	Drymophila caudata	NA
Terenura callinota	Euchrepomis callinota	NA
Ramphocaenus melanurus trinitatis	Ramphocaenus melanurus	NA
Ramphocaenus rufiventris griseodorsalis	Ramphocaenus melanurus	NA
Microbates cinereiventris cinereiventris	Microbates cinereiventris	NA
Microbates cinereiventris magdalenae	Microbates cinereiventris	NA
Microbates collaris	Microbates collaris	NA
Cercomacra sclateri	Cercomacra cinerascens	NA
Cercomacra tyrannina tyrannina	Cercomacroides tyrannina	NA
Cercomacra nigricans	Cercomacra nigricans	NA
Cercomacra berlepschi	Sipia berlepschi	NA
Pyriglena picea	Pyriglena leuconota	NA
Anoplops bicolor aequatorialis	Gymnopithys bicolor	NA
Anoplops bicolor daguae	Gymnopithys bicolor	NA
Anoplops bicolor bicolor	Gymnopithys bicolor	NA
Myrmeciza melanoceps	Akletos melanoceps	NA
Myrmeciza maculifer maculifer	Poliocrania exsul	NA
Myrmeciza maculifer cassini	Poliocrania exsul	NA
Myrmeciza immaculatus immaculatus	Hafferia immaculata	NA
Myrmeciza immaculatus berlepschi	Hafferia zeledoni	NA
Myrmeciza longipes boucardi	Myrmeciza longipes	NA
Myrmeciza longipes panamensis	Myrmeciza longipes	NA
Myrmeciza laemosticta nigricauda	Sipia nigricauda	NA
Gymnocichla nudiceps sanctaemartae	Gymnocichla nudiceps	NA
Dichrozona cinctus	Dichrozona cincta	NA
Hypocnemis cantator peruviana	Hypocnemis peruviana	NA
Hypocnemis hypoxantha	Hypocnemis hypoxantha	NA
Myrmoborus leucophrys leucophrys	Myrmoborus leucophrys	NA
Myrmoborus myiotherinus elegans	Myrmoborus myotherinus	NA
Hylophylax lepidonata	Willisornis poecilinotus	NA
Hylophylax naevia theresae	Hylophylax naevius	NA
Hylophylax naevioides	Hylophylax naevioides	NA
Phenostictus macleannani macleannani	Phaenostictus mcleannani	NA
Rhopoterpe torquata torquata	Myrmornis torquata	NA
Formicarius colma nigrifrons	Formicarius colma	NA
Formicarius analis connectens	Formicarius analis	NA
Formicarius nigricapillus destructus	Formicarius nigricapillus	NA
Formicarius analis saturatus	Formicarius analis	NA
Formicarius rufipectus carrikeri	Formicarius rufipectus	NA
Chamaeza brevicauda columbiana	Chamaeza nobilis	NA
Chamaeza brevicauda (nobilis?)	Chamaeza nobilis	NA
Chamaeza turdina	Chamaeza turdina	NA
Chamaeza mollissima	Chamaeza mollissima	NA
Pittasoma rosenbergi	Pittasoma rufopileatum	NA
Pittasoma harterti	Pittasoma rufopileatum	NA
Grallaria squamigera	Grallaria squamigera	NA
Grallaria guatimalensis chocoensis	Grallaria guatimalensis	NA
Grallaria alleni	Grallaria alleni	NA
Grallaria ruficeps	Grallaria nuchalis	NA
Grallaria rufocinerea	Grallaria rufocinerea	NA
Grallaria monticola	Grallaria quitensis	NA
Grallaria milleri	Grallaria milleri	NA
Grallaria hypoleuca	Grallaria hypoleuca	NA
Grallaria ruficapilla ruficapilla	Grallaria ruficapilla	NA
Grallaria brevicauda minor	Myrmothera campanisona	NA
Grallaria modesta	Myrmothera campanisona	NA
Oropezus rufula rufula	Grallaria rufula	NA
Hylopezus dives barbacoae	Hylopezus dives	NA
Hylopezus dives fulviventris	Hylopezus dives	NA
Hylopezus perspicillata periopthalmica	Hylopezus perspicillatus	NA
Hylopezus perspicillata perspicillata	Hylopezus perspicillatus	NA
Grallaricula costaricensis	Grallaricula flavirostris	NA
Grallaricula nana	Grallaricula nana	NA
Grallaricula cucullata	Grallaricula cucullata	NA
Furnarius agnatus	Furnarius leucopus	NA
Upucerthia excelsior columbiana	Cinclodes excelsior	NA
Lochmias sororia	Lochmias nematura	NA
Schizoeaca fuliginosa	Asthenes fuliginosa	NA
Leptasthenura andicola	Leptasthenura andicola	NA
Synallaxis azarae elegantior	Synallaxis azarae	NA
Synallazis azarae media	Synallaxis azarae	NA
Synallaxis moesta moesta	Synallaxis moesta	NA
Synallaxis moesta obscura	Synallaxis moesta	NA
Synallaxis albescens albigularis	Synallaxis albescens	NA
Synallaxis subpudica	Synallaxis subpudica	NA
Synallaxis pudica pudica	Synallaxis brachyura	NA
Synallaxis pudica nigrifumosa	Synallaxis brachyura	NA
Synallaxis pudica caucae	Synallaxis brachyura	NA
Synallaxis gujanensis columbianus	Synallaxis gujanensis	NA
Synallaxis cinnamomea fuscifrons	Synallaxis cinnamomea	NA
Synallaxis unirufa	Synallaxis unirufa	NA
Synallaxis candaei candaei	Synallaxis candei	NA
Synallaxis gularis gularis	Hellmayrea gularis	NA
Synallaxis rutilans caquetensis	Synallaxis rutilans	NA
Siptornis antisiensis	Cranioleuca curtata	NA
Siptornis erythrops griseigularis	Cranioleuca erythrops	NA
Siptornis striaticollis	Siptornis striaticollis	NA
Siptornis flammulata multostriata	Asthenes flammulata	NA
Siptornis flammulata quindiana	Asthenes flammulata	NA
Pseudocolaptes boissonneauti boissonneauti	Pseudocolaptes boissonneautii	NA
Hyloctistes subulatus subulatus	Automolus subulatus	NA
Hyloctistes subulatus assimilis	Automolus subulatus	NA
Automolus holostictus	Thripadectes holostictus	NA
Automolus ignobilis	Thripadectes ignobilis	NA
Automolus melanorhynchus	Thripadectes melanorhynchus	NA
Automolus ochrolaemus turdinus	Automolus ochrolaemus	NA
Automolus dorsalis	Anabazenops dorsalis	NA
Automolus pallidigularis pallidigularis	Automolus ochrolaemus	NA
Automolus infuscatus infuscatus	Automolus infuscatus	NA
Automolus nigricauda saturatus	Clibanornis rubiginosus	NA
Automolus cinnamomeigula	Clibanornis rubiginosus	NA
Philydor rufipileatus consobrinus	Clibanornis rufipectus	NA
Philydor pyrrhodes	Philydor pyrrhodes	NA
Philydor ruficaudatus	Anabacerthia ruficaudata	NA
Philydor montanus striaticollis	Anabacerthia striaticollis	NA
Thripadectes flammulatus	Thripadectes flammulatus	NA
Thripadectes virgaticeps sclateri	Thripadectes virgaticeps	NA
Ancistrops strigilatus	Ancistrops strigilatus	NA
Xenicopsis subalaris subalaris	Syndactyla subalaris	NA
Xenicopsis subalaris mentalis	Syndactyla subalaris	NA
Xenops genibarbis littoralis	Xenops minutus	NA
Xenops rutilus heterurus	Xenops rutilans	NA
Sclerurus brunneus	Sclerurus caudacutus	NA
Sclerurus albigularis albigularis	Sclerurus albigularis	NA
Sclerurus mexicanus obscurior	Sclerurus mexicanus	NA
Margarornis perlata	Margarornis squamiger	NA
Margarornis stellata	Margarornis stellatus	NA
Premnornis guttata	Premnornis guttuliger	NA
Premnoplex brunnescens brunnescens	Premnoplex brunnescens	NA
Glyphorhynchus cuneatus	Glyphorynchus spirurus	NA
Glyphorhynchus cuneatus castelnaudi	Glyphorynchus spirurus	NA
Glyphorhynchus cuneatus pectoralis	Glyphorynchus spirurus	NA
Dendrocincla tyrannina tyrannina	Dendrocincla tyrannina	NA
Dendrocincla lafresnayei lafresnayei	Dendrocincla fuliginosa	NA
Dendrocincla lafresnayei phaeochroa	Dendrocincla fuliginosa	NA
Xiphorhynchus guttata guttatoides	Xiphorhynchus guttatus	NA
Xiphorhynchus aequatorialis aequatorialis	Xiphorhynchus erythropygius	NA
Xiphorhynchus triangularis	Xiphorhynchus triangularis	NA
Xiphorhynchus lachrymosus lachrymosus	Xiphorhynchus lachrymosus	NA
Xiphorhynchus lachrymosus alarum	Xiphorhynchus lachrymosus	NA
Xiphorhynchus nanus nanus	Xiphorhynchus susurrans	NA
Xiphorhynchus insignis	Xiphorhynchus elegans	NA
Dendroplex picus picus	Dendroplex picus	NA
Dendroplex picus picirostris	Dendroplex picus	NA
Xiphocolaptes promeropirhynchus	Xiphocolaptes promeropirhynchus	NA
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	NA
Picolaptes warscewiczi	Lepidocolaptes lacrymiger	NA
Picolaptes albolineatus	Lepidocolaptes souleyetii	NA
Campylorhamphus trochilirostris procurvoides	Campylorhamphus trochilirostris	NA
Campylorhamphus trochilirostris venezuelensis	Campylorhamphus trochilirostris	NA
Campylorhamphus thoracicus	Campylorhamphus trochilirostris	NA
Campylorhamphus pusillus	Campylorhamphus pusillus	NA
Campylorhamphus pucherani	Drymotoxeres pucheranii	NA
Dendrocolaptes validus validus	Dendrocolaptes picumnus	NA
Dendrocolaptes sancti-thomae sancti-thomae	Dendrocolaptes sanctithomae	NA
Dexdrocolaptes sancti-thomae radiolatus	Dendrocolaptes certhia	NA
Orodynastes striaticollis striaticollis	Myiotheretes striaticollis	NA
Ochthodiaeta fumigata	Myiotheretes fumigatus	NA
Ochthoeca oenanthoides fumicolor	Ochthoeca oenanthoides	NA
Ochthoeca oenanthoides brunneifrons	Ochthoeca oenanthoides	NA
Ochthoeca albidiedema	Ochthoeca frontalis	NA
Ochthoeca frontalis	Ochthoeca frontalis	NA
Ochthoeca lessoni	Ochthoeca rufipectoralis	NA
Ochthoeca cinnamomeiventris	Ochthoeca cinnamomeiventris	NA
Ochthoeca gratiosa gratiosa	Ochthoeca diadema	NA
Mecocerculus leucophrys setophagoides	Mecocerculus leucophrys	NA
Mecocerculus stictopterus	Mecocerculus stictopterus	NA
Mecocerculus poecilocercus	Mecocerculus poecilocercus	NA
Ochthornis littoralis	Ochthornis littoralis	NA
Fluvicola pica	Fluvicola pica	NA
Arundinicola leucocephala	Arundinicola leucocephala	NA
Copurus colonus fuscicapillus	Colonia colonus	NA
Copurus leuconotus	Colonia colonus	NA
Machetornis rixosus flavigularis	Machetornis rixosa	NA
Muscisaxicola alpina columbiana	Muscisaxicola alpinus	NA
Platytriccus flavigularis	Platyrinchus flavigularis	NA
Platytriccus albogularis	Platyrinchus mystaceus	NA
Placostomus coronatus	Platyrinchus coronatus	NA
Craspedoprion aequinoctialis	Rhynchocyclus olivaceus	NA
Craspedoprion pacificus	Rhynchocyclus pacificus	NA
Craspedoprion fulvipectus	Rhynchocyclus fulvipectus	NA
Rhynchocyclus sulphurescens asemus	Tolmomyias sulphurescens	NA
Rhynchocyclus sulphurescens assimilis	Tolmomyias assimilis	NA
Rhynchocyclus sulphurescens exortivus	Tolmomyias sulphurescens	NA
Rhynchocyclus marginatus marginatus	Tolmomyias sulphurescens	NA
Rhynchocyclus viridiceps	Tolmomyias flaviventris	NA
Rhynchocyclus flaviventris aurulentus	Tolmomyias flaviventris	NA
Rhynchocyclus klagesi	Tolmomyias poliocephalus	NA
Todirostrum cinereum cinereum	Todirostrum cinereum	NA
Todirostrum sclateri	Todirostrum cinereum	NA
Todirostrum nigriceps	Todirostrum nigriceps	NA
Todirostrum schistaceiceps superciliare	Poecilotriccus sylvia	NA
Todirostrum latirostre	Poecilotriccus latirostris	NA
Pescilotriccus ruficeps ruficeps	Poecilotriccus ruficeps	NA
Pcecilotriccus ruficeps rufigene	Poecilotriccus ruficeps	NA
Euscarthmus striaticollis zosterops	Hemitriccus zosterops	NA
Euscarthmus granadensis	Hemitriccus granadensis	NA
Euscarthmus septentrionalis	Hemitriccus margaritaceiventer	NA
Pseudotriccus pelzelni pelzelni	Pseudotriccus pelzelni	NA
Pseudotriccus annectens	Pseudotriccus pelzelni	NA
Caenotriccus ruficeps ruficeps	Pseudotriccus ruficeps	NA
Lophotriccus spicifer	Lophotriccus vitiosus	NA
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	NA
Lophotriccus squamaecristatus minor	Lophotriccus pileatus	NA
Orchilus atricapillus	Myiornis atricapillus	NA
Atalotriccus pilaris pilaris	Atalotriccus pilaris	NA
Hapalocercus meloryphus	Euscarthmus meloryphus	NA
Hapalocercus acutipennis	Pseudocolopteryx acutipennis	NA
Habrura pectoralis bogotensis	Polystictus pectoralis	NA
Pogonotriccus poecilotis	Phylloscartes poecilotis	NA
Pogonotriccus opthalmicus	Phylloscartes ophthalmicus	NA
Oreotriccus plumbeiceps	Poecilotriccus plumbeiceps	NA
Serpophaga cinerea cana	Serpophaga cinerea	NA
Inezia caudata intermedia	Inezia caudata	NA
Anaeretes parulus aequatorialis	Anairetes parulus	NA
Anaeretes agilis	Uromyias agilis	NA
Mionectes striaticollis poliocephalus	Mionectes striaticollis	NA
Mionectes olivaceus hederaceus	Mionectes olivaceus	NA
Mionectes olivaceus pallidus	Mionectes olivaceus	NA
Pipromorpha oleaginea oleaginea	Mionectes oleagineus	NA
Pipromorpha oleaginea parca	Mionectes oleagineus	NA
Leptopogon superciliaris poliocephalus	Leptopogon superciliaris	NA
Leptopogon amaurocephalus	Leptopogon amaurocephalus	NA
Leptopogon erythrops	Leptopogon rufipectus	NA
Capsiempis flaveola leucophrys	Capsiempis flaveola	NA
Phyllomyias griseiceps griseiceps	Phyllomyias griseiceps	NA
Phyllomyias griseiceps caucae	Phyllomyias griseiceps	NA
Acrochordopus zeledoni	Phyllomyias burmeisteri	NA
Phaeomyias murina incomta	Phaeomyias murina	NA
Camptostoma pusillum pusillum	Camptostoma obsoletum	NA
Camptostoma pusillum napaeuum	Camptostoma obsoletum	NA
Camptostoma caucae	Camptostoma obsoletum	NA
Microtriccus brunneicapillus brunneicapililus	Ornithion brunneicapillus	NA
Tyrannulus elatus reguloides	Tyrannulus elatus	NA
Mecocerculus uropygialis	Phyllomyias uropygialis	NA
Tyranniscus nigricapillus nigricapillus	Phyllomyias nigrocapillus	NA
Tyranniscus cinereiceps	Phyllomyias cinereiceps	NA
Tyranniscus chrysops chrysops	Zimmerius chrysops	NA
Elaenia flavogaster flavogaster	Elaenia flavogaster	NA
Elaenia gigas	Elaenia gigas	NA
Elaenia chiriquensis chiriquensis	Elaenia chiriquensis	NA
Elaenia pudica brachyptera	Elaenia frantzii	NA
Elaenia parvirostris	Elaenia parvirostris	NA
Elaenia pudica pudica	Elaenia frantzii	NA
Myiopagis viridicata accola	Myiopagis viridicata	NA
Myiopagis viridicata pallens	Myiopagis viridicata	NA
Legatus albicollis	Legatus leucophaius	NA
Sublegatus glaber	Sublegatus arenarum	NA
Myiozetetes cayanensis cayanensis	Myiozetetes cayanensis	NA
Myiozetetes similis columbianus	Myiozetetes similis	NA
Myiozetetes granadensis	Myiozetetes granadensis	NA
Myiozetetes similis connivens	Myiozetetes similis	NA
Conopias cinchoneti	Conopias cinchoneti	NA
Pitangus sulphuratus rufipennis	Pitangus sulphuratus	NA
Pitangus sulphuratus	Pitangus sulphuratus	NA
Pitangus sulphuratus caucensis	Pitangus sulphuratus	NA
Pitangus lictor	Pitangus lictor	NA
Sirystes albocinereus	Sirystes albocinereus	NA
Myiodynastes maculatus nobilis	Myiodynastes maculatus	NA
Myiodynastes luteiventris	Myiodynastes luteiventris	NA
Myiodynastes chrysocephalus minor	Myiodynastes chrysocephalus	NA
Megarhynchus pitangua	Megarynchus pitangua	NA
Onychorhynchus coronatus castelnaudi	Onychorhynchus coronatus	NA
Hirundinea sclateri	Hirundinea ferruginea	NA
Cnipodectes minor	Cnipodectes subbrunneus	NA
Myiobius barbatus barbatus	Myiobius barbatus	NA
Myiobius barbatus atricaudus	Myiobius barbatus	NA
Myiobius villosus	Myiobius villosus	NA
Myiobius sulphureipygius aureatus	Myiobius sulphureipygius	NA
Myiobius cinnamomeus pyrrhopterus	Pyrrhomyias cinnamomeus	NA
Myiobius flavicans	Myiophobus flavicans	NA
Myiobius litae	Myiophobus phoenicomitra	NA
Myiobius pulcher pulcher	Nephelomyias pulcher	NA
Myiobius pulcher bellus	Nephelomyias pulcher	NA
Myiobius fasciatus fasciatus	Myiophobus fasciatus	NA
Terenotriccus erythrurus fulvigularis	Terenotriccus erythrurus	NA
Myiotriccus ornatus ornatus	Myiotriccus ornatus	NA
Myiotriccus ornatus stellatus	Myiotriccus ornatus	NA
Myiotriccus phoenicurus	Myiotriccus ornatus	NA
Pyrocephalus pyrocephalus rubinus	Pyrocephalus rubinus	NA
Pyrocephalus rubinus heterurus	Pyrocephalus rubinus	NA
Empidochanes cabanisi	Cnemotriccus fuscatus	NA
Empidochanes poecilurus	Knipolegus poecilurus	NA
Mitrephanes berlepschi eminulus	Mitrephanes phaeocercus	NA
Sayornis nigricans cineracea	Sayornis nigricans	NA
Empidonax virescens	Empidonax virescens	NA
Empidonax trailli alnorum	Empidonax alnorum	NA
Myiochanes ardosiacus ardosiacus	Contopus fumigatus	NA
Myiochanes virens	Contopus virens	NA
Myiochanes richardsoni	Contopus sordidulus	NA
Myiochanes brachytarsus	Contopus cinereus	NA
Myiarchus crinitus (Linn)	Myiarchus crinitus	NA
Myiarchus tyrannulus tyrannulus	Myiarchus tyrannulus	NA
Myiarchus fortirostris	Myiarchus swainsoni	NA
Myiarchus (ferox?) venezuelensis	Myiarchus venezuelensis	NA
Myiarchus (ferox?) panamensis	Myiarchus panamensis	NA
Myiarchus cephalotes	Myiarchus cephalotes	NA
Myiarchus apicalis	Myiarchus apicalis	NA
Myiarchus tuberculifer nigriceps	Myiarchus tuberculifer	NA
Myiarchus tuberculifer tuberculifer	Myiarchus tuberculifer	NA
Tyrannus tyrannus	Tyrannus tyrannus	NA
Tyrannus niveigularis	Tyrannus niveigularis	NA
Tyrannus dominicensis	Tyrannus dominicensis	NA
Tyrannus melancholicus satrapa	Tyrannus melancholicus	NA
Muscivora tyrannus	Tyrannus forficatus	NA
Pipra erythrocephala erythrocephala	Ceratopipra erythrocephala	NA
Pipra erythrocephala berlepschi	Ceratopipra erythrocephala	NA
Pipra mentalis minor	Ceratopipra mentalis	NA
Pipra leucocilla minimus	Dixiphia pipra	NA
Pipra leucocilla coracina	Dixiphia pipra	NA
Pipra isadorei isadorei	Lepidothrix isidorei	NA
Pipra velutina	Lepidothrix coronata	NA
Pipra coronata	Lepidothrix coronata	NA
Cirrhipipra filicauda	Pipra filicauda	NA
Machaeropterus striolatus	Machaeropterus striolatus	NA
Allocopterus deliciosus	Machaeropterus deliciosus	NA
Chloropipo flavicapilla	Chloropipo flavicapilla	NA
Chloropipo holochlora holochlora	Cryptopipo holochlora	NA
Chloropipo holochlora litae	Cryptopipo holochlora	NA
Piprites tschudi	Piprites chloris	NA
Masius chrysopterus	Masius chrysopterus	NA
Masius corunulatus	Masius chrysopterus	NA
Chiroxiphia pareola napensis	Chiroxiphia pareola	NA
Corapipo leucorrhoa	Corapipo leucorrhoa	NA
Corapipo altera altera	Corapipo altera	NA
Manacus manacus abditivus	Manacus manacus	NA
Manacus manacus interior	Manacus manacus	NA
Manacus manacus bangsi	Manacus manacus	NA
Manacus manacus flaveolus	Manacus manacus	NA
Manacus vitellinus vitellinus	Manacus vitellinus	NA
Manacus vitellinus milleri	Manacus vitellinus	NA
Scotothorus turdinus rosenbergi	Schiffornis veraepacis	NA
Scotothorus turdinus stenorhynchus	Schiffornis stenorhyncha	NA
Sapayoa aenigma	Sapayoa aenigma	NA
Tityra cayana	Tityra cayana	NA
Tityra semifasciata semifasciata	Tityra semifasciata	NA
Tityra semifasciata columbiana	Tityra semifasciata	NA
Tityra semifasciata esmeraldae	Tityra semifasciata	NA
Tityra buckleyi	Tityra inquisitor	NA
Platypsaris homochrous homochrous	Pachyramphus homochrous	NA
Platypsaris minor	Pachyramphus minor	NA
Pachyrhamphus versicolor	Pachyramphus versicolor	NA
Pachyrhamphus rufus	Pachyramphus rufus	NA
Pachyrhamphus cinnamomeus	Pachyramphus cinnamomeus	NA
Pachyrhamphus magdalenae	Pachyramphus cinnamomeus	NA
Pachyrhamphus sp	Pachyrhamphus sp	NA
Pachyrhamphus castaneus saturatus	Pachyramphus castaneus	NA
Pachyrhamphus polychropterus niger	Pachyramphus polychopterus	NA
Pachyrhamphus atricapillus	Pachyramphus ?marginatus?	NA
Pachyrhamphus dorsalis	Pachyramphus polychopterus	NA
Lathria fuscocinerea fuscocinerea	Lipaugus fuscocinereus	NA
Lathria cinerea	Lipaugus vociferans	NA
Lathria unirufa castaneotincta	Lipaugus unirufus	NA
Lathria cryptolopha	Snowornis cryptolophus	NA
Lipaugus simplex	Rhytipterna simplex	NA
Lipaugus holerythrus holerythrus	Rhytipterna holerythra	NA
Lipaugus holerythrus rosenbergi	Rhytipterna holerythra	NA
Attila brasiliensis parambae	Attila spadiceus	NA
Attila citreopygus citreopygus	Attila spadiceus	NA
Rupicola peruviana aurea	Rupicola peruvianus	NA
Rupicola peruviana sanguinolenta	Rupicola peruvianus	NA
Euchlornis arcuata	Pipreola arcuata	NA
Stictornis cinctus	Ampelioides tschudii	NA
Euchlornis riefferi riefferi	Pipreola riefferii	NA
Euchlornis riefferi occidentalis	Pipreola riefferii	NA
Euchlornis lubomirski	Pipreola lubomirskii	NA
Euchlornis jucunda	Pipreola jucunda	NA
Cotinga nattereri	Cotinga nattererii	NA
Carpodectes hopkei	Carpodectes hopkei	NA
Heliochera rubrocristata	Ampelion rubrocristatus	NA
Hoeliochera rufaxilla	Ampelion rufaxilla	NA
Querula purpurata	Querula purpurata	NA
Pyroderus scutatus granadensis	Pyroderus scutatus	NA
Pyroderus scutatus occidentalis	Pyroderus scutatus	NA
Cephalopterus ornatus	Cephalopterus ornatus	NA
Cephalopterus penduliger	Cephalopterus penduliger	NA
Riparia riparia	Riparia riparia	NA
Iridoprocne albiventris	Tachycineta albiventer	NA
Hirundo erythrogaster	Hirundo rustica	NA
Progne chalybea chalybea	Progne chalybea	NA
Phaeoprogne tapera immaculata	Progne tapera	NA
Atticora fasciata	Atticora fasciata	NA
Orochelidon murina	Orochelidon murina	NA
Neochelidon tibialis	Atticora tibialis	NA
Pygochelidon cyanoleuca	Pygochelidon cyanoleuca	NA
Stelgidopteryx ruficollis ruficollis	Stelgidopteryx ruficollis	NA
Stelgidopteryx ruficollis aequalis	Stelgidopteryx ruficollis	NA
Stelgidopteryx ruficollis uropygialis	Stelgidopteryx ruficollis	NA
Polioptila livida plumbeiceps	Polioptila plumbea	NA
Polioptila livida daguae	Polioptila plumbea	NA
Polioptila schistaceigula	Polioptila schistaceigula	NA
Cinnicerthia unirufa	Cinnycerthia unirufa	NA
Cinnicerthia unibrunnea	Cinnycerthia unirufa	NA
Cinnicerthia olivascens	Cinnycerthia olivascens	NA
Heleodytes minor bicolor	Campylorhynchus griseus	NA
Heleodytes albobrunneus harterti	Campylorhynchus albobrunneus	NA
Heleodytes turdinus hypostictus	Campylorhynchus turdinus	NA
Heleodytes zonatus brevirostris	Campylorhynchus zonatus	NA
Heleodytes nuchalis nuchalis	Campylorhynchus nuchalis	NA
Odontorchilus branicki	Odontorchilus branickii	NA
Thryophilus leucotis	Cantorchilus leucotis	NA
Thryophilus galbraithi galbraithi	Cantorchilus leucotis	NA
Thryophilus albipectus bogotensis	Cantorchilus leucotis	NA
Thryophilus rufalbus cumanensis	Thryophilus rufalbus	NA
Thryophilus leucopogon	Cantorchilus leucopogon	NA
Thryophilus nigricapillus schotti	Cantorchilus nigricapillus	NA
Thryophilus nigricapillus connectens	Cantorchilus nigricapillus	NA
Pheugopedius spadix	Pheugopedius spadix	NA
Pheugopedius fasciato-ventris fasciato-ventris	Pheugopedius fasciatoventris	NA
Pheugopedius mystacalis mystacalis	Pheugopedius mystacalis	NA
Pheugopedius mystacalis amaurogaster	Pheugopedius mystacalis	NA
Pheugopedius sclateri	Pheugopedius sclateri	NA
Pheugopedius hypospodius	Pheugopedius rutilus	NA
Cistothorus aequatorialis	Cistothorus platensis	NA
Cistothorus apolinari	Cistothorus apolinari	NA
Troglodytes musculus striatulus	Troglodytes aedon	NA
Troglodytes musculus columbae	Troglodytes aedon	NA
Troglodytes musculus neglectus	Troglodytes aedon	NA
Troglodytes solstitialis pallidipectus	Troglodytes solstitialis	NA
Henicorhina leucosticta	Henicorhina leucosticta	NA
Henicorhina prostheleuca eucharis	Henicorhina leucosticta	NA
Henicorhina prostheleuca albilateralis	Henicorhina leucosticta	NA
Henicorhina inornata	Henicorhina leucosticta	NA
Henicorhina leucophrys guttata	Henicorhina leucophrys	NA
Henicorhina leucophrys brunneiceps	Henicorhina leucophrys	NA
Leucolepis salvini	Cyphorhinus arada	NA
Leucolepis phaeocephalus phaeocephalus	Cyphorhinus phaeocephalus	NA
Leucolepis dichrous	Cyphorhinus thoracicus	NA
Microcerculus marginatus marginatus	Microcerculus marginatus	NA
Microcerculus marginatus occidentalis	Microcerculus marginatus	NA
Microcerculus squamulatus antioquensis	Microcerculus marginatus	NA
Cinclus leuconotus	Cinclus leucocephalus	NA
Mimus gilvus tolimensis	Mimus gilvus	NA
Mimus gilvus columbianus	Mimus gilvus	NA
Donacobius atricapillus albovittatus	Donacobius atricapilla	NA
Rhodinocichla rosea rosea	Rhodinocichla rosea	NA
Myiadestes ralloides venezuelensis	Myadestes ralloides	NA
Planesticus serranus	Turdus serranus	NA
Planesticus fuscobrunneus	Turdus serranus	NA
Planesticus leucops	Turdus leucops	NA
Planesticus caucae	Turdus olivater	NA
Planesticus phaeopygus	Turdus albicollis	NA
Planesticus tristis daguae	Turdus assimilis	NA
Planesticus gymnopthalmus	Turdus nudigenis	NA
Planesticus ignobilis ignobilis	Turdus ignobilis	NA
Planesticus ignobilis goodfellowi	Turdus ignobilis	NA
Planesticus ignobilis debilis	Turdus ignobilis	NA
Planesticus obsoletus colombianus	Turdus obsoletus	NA
Planesticus albiventer ephippialis	Turdus leucomelas	NA
Semimerula gigas gigas	Turdus fuscater	NA
Semimerula gigas gigantodes	Turdus fuscater	NA
Hylocichla aliciae aliciae	Catharus minimus	NA
Hylocichle ustulata swainsoni	Catharus ustulatus	NA
Catharus birchalli	Catharus aurantiirostris	NA
Catharus phaeopleurus	Catharus aurantiirostris	NA
Catharus dryas	Catharus dryas	NA
Vireosylva olivacea	Vireo olivaceus	NA
Vireosylva flavoviridis flavoviridis	Vireo flavoviridis	NA
Vireosylva chivi caucae	Vireo chivi	NA
Vireosylva josephae josephae	Vireo leucophrys	NA
Lanivireo flavifrons	Vireo flavifrons	NA
Pachysylvia semibrunnea	Pachysylvia semibrunnea	NA
Pachysylvia flavipes flavipes	Hylophilus flavipes	NA
Pachysylvia minor	Pachysylvia decurtata	NA
Cyclarhis flavipectus canticus	Cyclarhis gujanensis	NA
Cyclarhis flavipectus parvus	Cyclarhis gujanensis	NA
Cyclarhis nigrirostris	Cyclarhis nigrirostris	NA
Mniotilta varia	Mniotilta varia	NA
Protonotaria citrea	Protonotaria citrea	NA
Vermivora chrysoptera	Vermivora chrysoptera	NA
Vermivora peregrina	Leiothlypis peregrina	NA
Compsothlypis pitiayumi elegans	Setophaga pitiayumi	NA
Compsothlypis pitiayumi pacifica	Setophaga pitiayumi	NA
Dendroica aestiva aestiva	Setophaga petechia	NA
Dendroica petechia aequatorialis	Setophaga petechia	NA
Dendroica caerulea	Setophaga cerulea	NA
Dendroica fusca	Setophaga fusca	NA
Dendroica castanea	Setophaga castanea	NA
Dendroica striata	Setophaga striata	NA
Oporornis philadelphia	Geothlypis philadelphia	NA
Seiurus noveboracensis noveboracensis	Parkesia noveboracensis	NA
Seiurus noveboracensis notabilis	Parkesia noveboracensis	NA
Geothlypis semiflava	Geothlypis semiflava	NA
Geothlypis aequinoctialis	Geothlypis aequinoctialis	NA
Wilsonia canadensis	Cardellina canadensis	NA
Setophaga ruticilla	Setophaga ruticilla	NA
Myioborus verticalis verticalis	Myioborus miniatus	NA
Myioborus ornatus	Myioborus ornatus	NA
Myioborus chrysops	Myioborus ornatus	NA
Myiothlypis nigrocristatus	Myiothlypis nigrocristata	NA
