Chapman	Clements	Notes
Dendrocygna bicolor	Dendrocygna bicolor	NA
Dendrocygna discolor	Dendrocygna autumnalis	NA
Nettion andium	Anas andium	NA
Querquedula discors	Spatula discors	NA
Querquedula cyanoptera	Spatula cyanoptera	NA
Marila nationi	Netta erythrophthalma	NA
Marila affinis	Aythya affinis	NA
Nomonyx dominicus	Nomonyx dominicus	NA
Merganetta colombiana	Merganetta armata	NA
Phalacrocorax vigua vigua	Phalacrocorax brasilianus	NA
Catharista urubu	Coragyps atratus	NA
Cathartes aura aura	Cathartes aura	NA
Polyborus cheriway	Caracara cheriway	NA
Ibycter americanus	Ibycter americanus	NA
Milvago chimachima	Milvago chimachima	NA
Circus hudsonius	Circus hudsonius	NA
Circus cinereus	Circus cinereus	NA
Circus buffoni	Circus buffoni	NA
Micrastur guerilla interstes	Micrastur ruficollis	NA
Parabuteo unicinctus harrisi	Parabuteo unicinctus	NA
Accipiter superciliosus	Accipiter superciliosus	NA
Accipiter ventralis	Accipiter striatus	NA
Accipiter bicolor	Accipiter bicolor	NA
Tachytriorchis albicaudatus exiguus	Geranoaetus albicaudatus	NA
Buteo hypospodius	Geranoaetus polyosoma	"B. hypospodius is a synonym of G. albicaudatus. This specimen was taken from the paramo zone of Nevados de Tolima, so is more likely to be G. polyosoma "
Buteo platypterus	Buteo platypterus	NA
Buteo brachyurus	Buteo brachyurus	NA
Asturina nitida	Buteo nitidus	NA
Rupornis magnirostris magnirostris	Rupornis magnirostris	NA
Rupornis magnirostris ruficauda	Rupornis magnirostris	NA
Busarellus nigricollis	Busarellus nigricollis	NA
Urubitinga urubitinga	Buteogallus urubitinga	NA
Urubitinga schistacea	Buteogallus schistaceus	NA
Urubitinga plumbea	Cryptoleucopteryx plumbea	NA
Leucopternis semiplumbea	Leucopternis semiplumbeus	NA
Lophotriorchis isidori	Spizaetus isidori	NA
Spizaetus ornatus	Spizaetus ornatus	NA
Spizaetus tyrannus	Spizaetus tyrannus	NA
Herpetotheres cachinnans cachinnans	Herpetotheres cachinnans	NA
Herpetotheres cachinnans fulvescens	Herpetotheres cachinnans	NA
Elanoides forficatus yetapa	Elanoides forficatus	NA
Rostrhamphus sociabilis	Rostrhamus sociabilis	NA
Leptodon uncinatus	Chondrohierax uncinatus	NA
Leptodon palliatus	Leptodon cayanensis	NA
Harpagus bidentatus	Harpagus bidentatus	NA
Ictinia plumbea	Ictinia plumbea	NA
Falco fusco-caerulescens	Falco femoralis	NA
Falco rufigularis	Falco rufigularis	NA
Cerchneis sparveria caucae	Falco sparverius	NA
Cerchneis sparveria intermedia	Falco sparverius	NA
Cerchneis sparveria	Falco sparverius	NA
Asio flammeus bogotensis	Asio flammeus	NA
Asio stygius	Asio stygius	NA
Otus choliba	Megascops choliba	NA
Otus watsoni	Megascops watsonii	NA
Lophostrix cristatus stricklandi	Lophostrix cristata	NA
Ciccaba albitarsus	Ciccaba albitarsis	NA
Ciccaba albogularis	Megascops albogularis	NA
Ciccaba virgata virgata	Ciccaba virgata	NA
Ciccaba nigrolineata	Ciccaba nigrolineata	NA
Glaucidium brasilianum brasilianum	Glaucidium brasilianum	NA
Glaucidium brasilianum phalaenoides	Glaucidium brasilianum	NA
Glaucidium jardini	Glaucidium jardinii	NA
Tyto perlata	Tyto alba	NA
Ara ararauna	Ara ararauna	NA
Ara macao	Ara macao	NA
Ara chloroptera	Ara chloropterus	NA
Ara militaris militaris	Ara militaris	NA
Ara severa	Ara severus	NA
Aratinga wagleri	Psittacara wagleri	NA
Aratinga aeruginosa aeruginosa	Eupsittula pertinax	NA
Ognorhynchus icterotis	Ognorhynchus icterotis	NA
Pyrrhura calliptera	Pyrrhura calliptera	NA
Pyrrhura melanura pacifica	Pyrrhura melanura	NA
Pyrrhura souancei	Pyrrhura melanura	NA
Psittacula conspicillata conspicillata	Forpus conspicillatus	NA
Psittacula conspicillata caucae	Forpus conspicillatus	NA
Psittacula sclateri	Forpus modestus	NA
Psittacula spengeli	Forpus xanthopterygius	NA
Brotogeris jugularis	Brotogeris jugularis	NA
Brotogeris devillei	Brotogeris cyanoptera	NA
Amazona inornata	Amazona farinosa	NA
Amazona mercenaria	Amazona mercenarius	NA
Amazona amazonica	Amazona amazonica	NA
Amazona ochrocephala ochrocephala	Amazona ochrocephala	NA
Amazona ochrocephala panamensis	Amazona ochrocephala	NA
Amazona salvini	Amazona autumnalis	NA
Pionus menstruus	Pionus menstruus	NA
Pionus seniloides seniloides	Pionus tumultuosus	NA
Pionus chalcopterus	Pionus chalcopterus	NA
Hapalopsittaca amazonina	Hapalopsittaca amazonina	NA
Hapalopsittaca fuertesi	Hapalopsittaca fuertesi	NA
Eucinetus pulchra	Pyrilia pulchra	NA
Pyrilia pyrilia	Pyrilia pyrilia	NA
Pionites melanocephala pallidus	Pionites melanocephalus	NA
Megaceryle torquata torquata	Megaceryle torquata	NA
Chloroceryle amazona	Chloroceryle amazona	NA
Chloroceryle americana americana	Chloroceryle americana	NA
Chloroceryle inda	Chloroceryle inda	NA
Urospatha martii martii	Baryphthengus martii	NA
Urospatha martii semirufa	Baryphthengus martii	NA
Electron platyrhynchus platyrhynchus	Electron platyrhynchum	NA
Electron platyrhynchus pyrrholaemus	Electron platyrhynchum	NA
Electron platyrhynchus minor	Electron platyrhynchum	NA
Momotus subrufescens subrufescens	Momotus subrufescens	NA
Momotus subrufescens reconditus	Momotus subrufescens	NA
Momotus momota ignobilis	Momotus momota	NA
Momotus aequatorialis aequatorialis	Momotus aequatorialis	NA
Hylomanes momotula obscurus	Hylomanes momotula	NA
Nyctibius longicaudatus	Nyctibius aethereus	NA
Chordeiles acutipennis acutipennis	Chordeiles acutipennis	NA
Chordeiles acutipennis texensis	Chordeiles acutipennis	NA
Lurocalis rufiventris	Lurocalis rufiventris	NA
Uropsalis lyra	Uropsalis lyra	NA
Hydropsalis climacocerca	Hydropsalis climacocerca	NA
Nyctidromus albicollis albicollis	Nyctidromus albicollis	NA
Thermochalcis cayennensis cayennensis	Hydropsalis cayennensis	NA
Thermochalcis cayennensis monticola	Hydropsalis cayennensis	NA
Thermochalcis ruficervix	Systellura longirostris	NA
Antrostomus rosenbergi	Nyctiphrynus rosenbergi	NA
Streptoprocne zonaris altissima	Streptoprocne zonaris	NA
Streptoprocne zonaris albicincta	Streptoprocne zonaris	NA
Chaetura spinicauda fumosa	Chaetura spinicaudus	NA
Chaetura cinereiventris sclateri	Chaetura cinereiventris	NA
