Chapman	Clements	Locality.specific	Locality	Count
Odontophorus hyperythrus	Odontophorus hyperythrus	Laguneta	Laguneta	1
Odontophorus hyperythrus	Odontophorus hyperythrus	La Candela	La Candela	1
Odontophorus hyperythrus	Odontophorus hyperythrus	Andalucia (7000 ft)	Andalucia	2
Odontophorus parambae	Odontophorus erythrops	Bagado	Bagado	2
Odontophorus parambae	Odontophorus erythrops	Baudo	Baudo	2
Odontophorus parambae	Odontophorus erythrops	Barbacoas	Barbacoas	1
Odontophorus strophium	Odontophorus strophium	Subia	Subia	1
Rhynchortyx cinctus australis	Rhynchortyx cinctus	Choco	NA	1
Rhynchortyx cinctus australis	Rhynchortyx cinctus	Rio Andagueda	Rio Andagueda	1
Rhynchortyx cinctus australis	Rhynchortyx cinctus	Bagado	Bagado	1
Rhynchortyx cinctus australis	Rhynchortyx cinctus	Baudo	Baudo	2
Rhynchortyx cinctus australis	Rhynchortyx cinctus	Barbacoas	Barbacoas	4
Columba speciosa	Patagioenas speciosa	Bagado	Bagado	2
Columba speciosa	Patagioenas speciosa	Noanama	Noanama	1
Columba speciosa	Patagioenas speciosa	Novita	Novita	1
Columba speciosa	Patagioenas speciosa	Honda (W of)	Honda (W of)	1
Columba speciosa	Patagioenas speciosa	Buena Vista	Buena Vista	1
Columba speciosa	Patagioenas speciosa	Villavicencio	Villavicencio	2
Columba rufina	Patagioenas cayennensis	San Antonio	San Antonio	5
Columba rufina	Patagioenas cayennensis	Cali	Cali	3
Columba rufina	Patagioenas cayennensis	Miraflores (below)	Miraflores	1
Columba rufina	Patagioenas cayennensis	Rio Frio	Rio Frio	1
Columba rufina	Patagioenas cayennensis	Banco	Banco	1
Columba rufina	Patagioenas cayennensis	Villavicencio	Villavicencio	1
Columba goodsoni	Patagioenas goodsoni	Buenaventura	Buenaventura	1
Columba goodsoni	Patagioenas goodsoni	Barbacoas	Barbacoas	1
Columba albilinea albilinea	Patagioenas fasciata	Paramillo	Paramillo	2
Columba albilinea albilinea	Patagioenas fasciata	San Antonio	San Antonio	2
Columba albilinea albilinea	Patagioenas fasciata	La Florida	La Florida	2
Columba albilinea albilinea	Patagioenas fasciata	Cerro Munchique	Cerro Munchique	2
Columba albilinea albilinea	Patagioenas fasciata	Ricaurte	Ricaurte	6
Columba albilinea albilinea	Patagioenas fasciata	Almaguer	Almaguer	1
Columba albilinea albilinea	Patagioenas fasciata	Valle de las Papas	Valle de las Papas	1
Columba albilinea albilinea	Patagioenas fasciata	La Sierra	La Sierra	1
Columba albilinea albilinea	Patagioenas fasciata	Miraflores	Miraflores	1
Columba albilinea albilinea	Patagioenas fasciata	Salento	Salento	1
Columba albilinea albilinea	Patagioenas fasciata	Laguneta	Laguneta	2
Columba albilinea albilinea	Patagioenas fasciata	Santa Elena	Santa Elena	4
Columba albilinea albilinea	Patagioenas fasciata	Barro Blanco	Barro Blanco	3
Columba albilinea albilinea	Patagioenas fasciata	Rio Toche	Rio Toche	1
Columba albilinea albilinea	Patagioenas fasciata	La Candela	La Candela	3
Columba albilinea albilinea	Patagioenas fasciata	San Agustin	San Agustin	3
Columba plumbea propinqua	Patagioenas plumbea	Buena Vista	Buena Vista	2
Columba subvinacea bogotensis	Patagioenas subvinacea	La Frijolera	La Frijolera	3
Columba subvinacea bogotensis	Patagioenas subvinacea	Salento	Salento	4
Columba subvinacea bogotensis	Patagioenas subvinacea	La Candela	La Candela	3
Columba subvinacea bogotensis	Patagioenas subvinacea	La Morelia	La Morelia	1
Columba subvinacea berlepschi	Patagioenas subvinacea	Buenaventura	Buenaventura	1
Columba subvinacea berlepschi	Patagioenas subvinacea	San Antonio	San Antonio	2
Columba subvinacea berlepschi	Patagioenas subvinacea	Novita Trail (2500 ft)	Novita Trail	1
Zenaida auriculata	Zenaida auriculata	Cali	Cali	4
Zenaida auriculata	Zenaida auriculata	La Manuelita	La Manuelita	1
Zenaida ruficauda ruficauda	Zenaida auriculata	Bogota (savanna)	Bogota	9
Zenajda ruficauda robinsoni	Zenaida auriculata	Honda	Honda	2
Zenajda ruficauda robinsoni	Zenaida auriculata	Chicoral	Chicoral	2
Zenaida ruficauda antioquiae	Zenaida auriculata	Barro Blanco	Barro Blanco	2
Chaemepelia passerina albivitta	Columbina passerina	La Playa	La Playa	6
Chaemepelia passerina parvula	Columbina passerina	Honda	Honda	4
Chaemepelia passerina parvula	Columbina passerina	Chicoral	Chicoral	4
Chaemepelia passerina parvula	Columbina passerina	Quetame	Quetame	1
Chaemepelia passerina nana	Columbina passerina	Caldas	Caldas	2
Chaemepelia passerina nana	Columbina passerina	La Manuelita	La Manuelita	1
Chaemepelia minuta elaeodes	Columbina minuta	Dabeiba	Dabeiba	1
Chaemepelia rufipennis rufipennis	Columbina talpacoti	Calamar	Calamar	2
Chaemepelia rufipennis rufipennis	Columbina talpacoti	Malena	Malena	1
Chaemepelia rufipennis rufipennis	Columbina talpacoti	Chicoral	Chicoral	1
Chaemepelia rufipennis rufipennis	Columbina talpacoti	El Alto de la Paz	El Alto de la Paz	1
Chaemepelia rufipennis caucae	Columbina talpacoti	Cali	Cali	5
Chaemepelia rufipennis caucae	Columbina talpacoti	La Manuelita	La Manuelita	2
Chaemepelia rufipennis caucae	Columbina talpacoti	Miraflores (below)	Miraflores	3
Chaemepelia rufipennis caucae	Columbina talpacoti	Rio Frio	Rio Frio	1
Claravis pretiosa livida	Claravis pretiosa	Dabeiba	Dabeiba	1
Claravis pretiosa livida	Claravis pretiosa	Noanama	Noanama	1
Claravis pretiosa livida	Claravis pretiosa	Los Cisneros	Cisneros	2
Claravis pretiosa livida	Claravis pretiosa	Ricaurte	Ricaurte	1
Claravis pretiosa livida	Claravis pretiosa	Puerto Valdivia	Puerto Valdivia	3
Claravis pretiosa livida	Claravis pretiosa	Enconosa (near Bogota)	Iconozo	1
Claravis pretiosa livida	Claravis pretiosa	Villavicencio	Villavicencio	4
Claravis pretiosa livida	Claravis pretiosa	Florencia	Florencia	1
Leptotila verreauxi verreauxi	Leptotila verreauxi	La Candela	La Candela	2
Leptotila verreauxi verreauxi	Leptotila verreauxi	Andalucia (3000 ft)	Andalucia	2
Leptotila verreauxi verreauxi	Leptotila verreauxi	El Carmen	El Carmen	1
Leptotila verreauxi verreauxi	Leptotila verreauxi	El Alto de la Paz	El Alto de la Paz	1
Leptotila verreauxi verreauxi	Leptotila verreauxi	Chicoral	Chicoral	2
Leptotila verreauxi verreauxi	Leptotila verreauxi	Honda	Honda	3
Leptotila verreauxi verreauxi	Leptotila verreauxi	Remolino	Remolino	2
Leptotila verreauxi verreauxi	Leptotila verreauxi	Algodonal	Algodonal	1
Leptotila verreauxi verreauxi	Leptotila verreauxi	Calamar	Calamar	3
Leptotila verreauxi verreauxi	Leptotila verreauxi	La Playa	La Playa	2
Leptotila verreauxi verreauxi	Leptotila verreauxi	Rio Sinu	Rio Sinu	1
Leptotila verreauxi verreauxi	Leptotila verreauxi	Puerto Valdivia	Puerto Valdivia	1
Leptotila verreauxi verreauxi	Leptotila verreauxi	Peque	Peque	1
Leptotila verreauxi occidentalis	Leptotila verreauxi	Caldas	Caldas	1
Leptotila verreauxi occidentalis	Leptotila verreauxi	San Antonio	San Antonio	4
Leptotila verreauxi occidentalis	Leptotila verreauxi	Gallera	Gallera	1
Leptotila verreauxi occidentalis	Leptotila verreauxi	Cerro Munchique	Cerro Munchique	5
Leptotila verreauxi occidentalis	Leptotila verreauxi	Miraflores	Miraflores	6
Leptotila verreauxi occidentalis	Leptotila verreauxi	Salento	Salento	2
Leptotila rufaxilla dubusi	Leptotila rufaxilla	La Manuelita	La Manuelita	9
Leptotila rufaxilla dubusi	Leptotila rufaxilla	Florencia	Florencia	1
Leptotila rufaxilla pallidipectus	Leptotila rufaxilla	Buena Vista	Buena Vista	1
Leptotila rufaxilla pallidipectus	Leptotila rufaxilla	Villavicencio	Villavicencio	2
Leptotila plumbeiceps	Leptotila plumbeiceps	Guengue	Guengue	1
Leptotila plumbeiceps	Leptotila plumbeiceps	Rio Frio	Rio Frio	1
Leptotila plumbeiceps	Leptotila plumbeiceps	Las Lomitas	Lomitas	2
Leptotila plumbeiceps	Leptotila plumbeiceps	Caldas	Caldas	1
Leptotila pallida	Leptotila pallida	Novita	Novita	1
Leptotila pallida	Leptotila pallida	San Jose	San Jose	3
Leptotila pallida	Leptotila pallida	Barbacoas	Barbacoas	6
Leptotila cassini	Leptotila cassinii	Salaqui	Salaqui	1
Leptotila cassini	Leptotila cassinii	Opon	Opon	1
Leptotila cassini	Leptotila cassinii	Puerto Berrio	Puerto Berrio	2
Osculatia purpurata	Geotrygon purpurata	La Vieja	La Vieja	3
Osculatia purpurata	Geotrygon purpurata	Novita Trail (8000 ft)	Novita Trail	1
Osculatia purpurata	Geotrygon purpurata	Buenavista	Buenavista	1
Oreopeleia montana	Geotrygon montana	Las Lomitas	Lomitas	4
Oreopeleia montana	Geotrygon montana	San Antonio	San Antonio	4
Oreopeleia montana	Geotrygon montana	Puerto Valdivia	Puerto Valdivia	1
Oreopeleia montana	Geotrygon montana	La Candela	La Candela	1
Oreopeleia montana	Geotrygon montana	Andalucia (7000 ft)	Andalucia	1
Oreopeleia montana	Geotrygon montana	Florencia	Florencia	1
Oreopeleia veraguensis	Leptotrygon veraguensis	Puerto Valdivia	Puerto Valdivia	3
Oreopeleia veraguensis	Leptotrygon veraguensis	Baudo	Baudo	6
Oreopeleia veraguensis	Leptotrygon veraguensis	Rio Andagueda	Rio Andagueda	1
Oreopeleia veraguensis	Leptotrygon veraguensis	San Jose	San Jose	1
Oreopeleia veraguensis	Leptotrygon veraguensis	Barbacoas	Barbacoas	5
Oreopeleia bourcieri	Zentrygon frenata	Salencio	Alban	1
Oreopeleia bourcieri	Zentrygon frenata	San Antonio	San Antonio	4
Oreopeleia bourcieri	Zentrygon frenata	La Florida	La Florida	1
