Chapman	Clements	Locality.specific	Locality	Count
Chloronerpes rubiginosus gularis	Colaptes rubiginosus	Barro Blanco	Barro Blanco	2
Chloronerpes rubiginosus gularis	Colaptes rubiginosus	Honda (W of, 5000 ft)	Honda (W of)	1
Chloronerpes rubiginosus gularis	Colaptes rubiginosus	La Candela	La Candela	1
Chloronerpes rubiginosus buenavistae	Colaptes rubiginosus	Buena Vista	Buena Vista	5
Chrysoptilus punctigula guttatus	Colaptes punctigula	La Morelia	La Morelia	1
Chrysoptilus punctigula punctipectus	Colaptes punctigula	Buena Vista	Buena Vista	1
Chrysoptilus punctigula punctipectus	Colaptes punctigula	Villavicencio	Villavicencio	2
Chrysoptilus punctigula punctipectus	Colaptes punctigula	Barrigon	Barrigon	1
Chrysoptilus punctigula ujhelyii	Colaptes punctigula	Lower Atrato	Rio Atrato	1
Chrysoptilus punctigula ujhelyii	Colaptes punctigula	La Playa	La Playa	1
Chrysoptilus punctigula ujhelyii	Colaptes punctigula	Calamar	Calamar	1
Chrysoptilus punctigula striatigularis	Colaptes punctigula	Noanama	Noanama	1
Chrysoptilus punctigula striatigularis	Colaptes punctigula	Cali	Cali	2
Chrysoptilus punctigula striatigularis	Colaptes punctigula	Rio Frio	Rio Frio	1
Chrysoptilus punctigula striatigularis	Colaptes punctigula	Honda	Honda (W of)	1
Chrysoptilus punctigula striatigularis	Colaptes punctigula	Puerto Berrio	Puerto Berrio	2
Melanerpes flavigula	Melanerpes formicivorus	Paramillo (11000 ft)	Paramillo	1
Melanerpes flavigula	Melanerpes formicivorus	Las Lomitas	Lomitas	2
Melanerpes flavigula	Melanerpes formicivorus	San Antonio	San Antonio	6
Melanerpes flavigula	Melanerpes formicivorus	Cerro Munchique	Cerro Munchique	4
Melanerpes flavigula	Melanerpes formicivorus	Gallera	Gallera	1
Melanerpes flavigula	Melanerpes formicivorus	Miraflores	Miraflores	1
Melanerpes flavigula	Melanerpes formicivorus	Salento	Salento	1
Melanerpes flavigula	Melanerpes formicivorus	Laguneta	Laguneta	4
Melanerpes flavigula	Melanerpes formicivorus	Santa Elena	Santa Elena	1
Melanerpes flavigula	Melanerpes formicivorus	San Agustin	San Agustin	2
Melanerpes flavigula	Melanerpes formicivorus	La Candela	La Candela	1
Melanerpes flavigula	Melanerpes formicivorus	Palo Hueco, Cundinamarca	Palo Hueco	14
Melanerpes cruentatus	Melanerpes cruentatus	Florencia	Florencia	6
Melanerpes cruentatus	Melanerpes cruentatus	La Morelia	La Morelia	6
Melanerpes cruentatus	Melanerpes cruentatus	Buena Vista	Buena Vista	7
Melanerpes cruentatus	Melanerpes cruentatus	Villavicencio	Villavicencio	5
Melanerpes pucherani pucherani	Melanerpes pucherani	Alto Bonito	Alto Bonito	2
Melanerpes pucherani pucherani	Melanerpes pucherani	Quibdo	Quibdo	1
Melanerpes pucherani pucherani	Melanerpes pucherani	Baudo	Baudo	1
Melanerpes pucherani pucherani	Melanerpes pucherani	Noanama	Noanama	2
Melanerpes pucherani pucherani	Melanerpes pucherani	San Jose	San Jose	2
Melanerpes pucherani pucherani	Melanerpes pucherani	Los Cisneros	Cisneros	2
Melanerpes pucherani pucherani	Melanerpes pucherani	Barbacoas	Barbacoas	6
Melanerpes pucherani pucherani	Melanerpes pucherani	Puerto Valdivia	Puerto Valdivia	3
Melanerpes rubricapillus rubricapillus	Melanerpes rubricapillus	Rio Sinu	Rio Sinu	3
Melanerpes rubricapillus rubricapillus	Melanerpes rubricapillus	Algodonal	Algodonal	2
Melanerpes rubricapillus rubricapillus	Melanerpes rubricapillus	Magdalena River	Rio Magdelena	2
Melanerpes rubricapillus rubricapillus	Melanerpes rubricapillus	Honda	Honda (W of)	9
Melanerpes rubricapillus rubricapillus	Melanerpes rubricapillus	Chicoral	Chicoral	1
Veniliornis oleaginus fumigatus	Dryobates fumigatus	La Candela	La Candela	2
Veniliornis oleaginus fumigatus	Dryobates fumigatus	San Agustin (near)	San Agustin	1
Veniliornis oleaginus fumigatus	Dryobates fumigatus	Fusagasuga	Fusagasuga	5
Veniliornis oleaginus fumigatus	Dryobates fumigatus	Palo Hueco (near Pacho)	Palo Hueco	1
Veniliornis oleaginus fumigatus	Dryobates fumigatus	Buena Vista	Buena Vista	1
Veniliornis oleaginus aureus	Dryobates fumigatus	Salencio	Alban	1
Veniliornis oleaginus aureus	Dryobates fumigatus	Las Lomitas	Lomitas	2
Veniliornis oleaginus aureus	Dryobates fumigatus	San Antonio	San Antonio	3
Veniliornis oleaginus aureus	Dryobates fumigatus	Gallera	Gallera	1
Veniliornis oleaginus aureus	Dryobates fumigatus	Popayan	Popayan	2
Veniliornis oleaginus aureus	Dryobates fumigatus	La Sierra	La Sierra	1
Veniliornis oleaginus aureus	Dryobates fumigatus	Miraflores	Miraflores	1
Veniliornis oleaginus aureus	Dryobates fumigatus	Santa Elena	Santa Elena	1
Veniliornis nigriceps equifasciatus	Dryobates nigriceps	Santa Isabel	Paramo Santa Isabel	2
Veniliornis nigriceps equifasciatus	Dryobates nigriceps	Almaguer	Almaguer	1
Veniliornis dignus	Dryobates dignus	San Antonio	San Antonio	1
Veniliornis dignus	Dryobates dignus	Cerro Munchique	Cerro Munchique	2
Veniliornis dignus	Dryobates dignus	Salento	Salento	1
Veniliornis dignus	Dryobates dignus	Fusagasuga	Fusagasuga	1
Veniliornis fidelis	Dryobates passerinus	Buena Vista	Buena Vista	1
Veniliornis fidelis	Dryobates passerinus	Villavicencio	Villavicencio	2
Veniliornis ruficeps haematostigma	Dryobates affinis	La Morelia	La Morelia	2
Veniliornis kirki cecilii	Dryobates kirkii	Juntas de Tamana	Juntas de Tamana	1
Veniliornis kirki cecilii	Dryobates kirkii	Los Cisneros	Cisneros	1
Veniliornis kirki cecilii	Dryobates kirkii	Barbacoas	Barbacoas	7
Veniliornis kirki cecilii	Dryobates kirkii	Puerto Valdivia	Puerto Valdivia	1
Veniliornis kirki cecilii	Dryobates kirkii	Rio Frio	Rio Frio	2
Veniliornis kirki cecilii	Dryobates kirkii	Chicoral	Chicoral	3
Veniliornis kirki cecilii	Dryobates kirkii	Honda	Honda	2
Veniliornis kirki cecilii	Dryobates kirkii	Malena	Malena	1
Veniliornis kirki cecilii	Dryobates kirkii	Boca de Chimi	Bocas de Chimi	1
Celeus loricatus loricatus	Celeus loricatus	Puerto Valdivia	Puerto Valdivia	1
Celeus loricatus loricatus	Celeus loricatus	Alto Bonito	Alto Bonito	1
Celeus loricatus loricatus	Celeus loricatus	Baudo	Baudo	1
Celeus loricatus loricatus	Celeus loricatus	Novita	Novita	1
Celeus loricatus loricatus	Celeus loricatus	Barbacoas	Barbacoas	4
Celeus loricatus mentalis	Celeus loricatus	Salaqui	Salaqui	1
Campephilus rubricollis	Campephilus rubricollis	La Morelia	La Morelia	2
Campephilus melanoleucus	Campephilus melanoleucos	Florencia	Florencia	1
Campephilus melanoleucus	Campephilus melanoleucos	Villavicencio	Villavicencio	1
Campephilus malherbii	Campephilus melanoleucos	Alto Bonito	Alto Bonito	1
Campephilus malherbii	Campephilus melanoleucos	Dabeiba	Dabeiba	1
Campephilus malherbii	Campephilus melanoleucos	Peque	Peque	2
Campephilus malherbii	Campephilus melanoleucos	Novita	Novita	1
Campephilus malherbii	Campephilus melanoleucos	Noanama	Noanama	1
Campephilus malherbii	Campephilus melanoleucos	Puerto Valdivia	Puerto Valdivia	2
Campephilus malherbii	Campephilus melanoleucos	Las Lomitas	Lomitas	3
Campephilus malherbii	Campephilus melanoleucos	San Antonio	San Antonio	4
Campephilus malherbii	Campephilus melanoleucos	Andes W of Popayan (10340 ft)	Coast Range	1
Campephilus malherbii	Campephilus melanoleucos	Miraflores	Miraflores	3
Campephilus malherbii	Campephilus melanoleucos	Salento	Salento	1
Campephilus malherbii	Campephilus melanoleucos	Turbaco	Turbaco	2
Campephilus malherbii	Campephilus melanoleucos	La Palma	La Palma	1
Campephilus malherbii	Campephilus melanoleucos	La Candela	La Candela	1
Campephilus malherbii	Campephilus melanoleucos	Puerto Berrio	Puerto Berrio	1
Campephilus pollens	Campephilus pollens	Cerro Munchique	Cerro Munchique	1
Campephilus pollens	Campephilus pollens	La Florida	La Florida	4
Campephilus pollens	Campephilus pollens	Cocal	Cocal	4
Campephilus pollens	Campephilus pollens	Almaguer	Almaguer	2
Campephilus pollens	Campephilus pollens	Laguneta	Laguneta	3
Campephilus pollens	Campephilus pollens	Santa Isabel	Paramo Santa Isabel	3
Campephilus pollens	Campephilus pollens	El Roble	Los Robles	1
Cniparchus haematogaster splendens	Campephilus haematogaster	Alto Bonito	Alto Bonito	2
Cniparchus haematogaster splendens	Campephilus haematogaster	Barbacoas	Barbacoas	1
Cniparchus haematogaster splendens	Campephilus haematogaster	Puerto Valdivia	Puerto Valdivia	1
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	Alto Bonito	Alto Bonito	1
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	Noanama	Noanama	1
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	Cali	Cali	3
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	La Manuelita	La Manuelita	2
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	Miraflores	Miraflores	1
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	Guengue	Guengue	1
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	Puerto Berrio	Puerto Berrio	1
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	Honda	Honda (W of)	2
Picumnus cinnamomeus	Picumnus cinnamomeus	La Playa	La Playa	1
Picumnus cinnamomeus	Picumnus cinnamomeus	Varrud	Varrud	1
Picumnus squamulatus squamulatus	Picumnus squamulatus	Buena Vista	Buena Vista	7
Picumnus squamulatus squamulatus	Picumnus squamulatus	Villavicencio	Villavicencio	6
Picumnus squamulatus squamulatus	Picumnus squamulatus	Quetame	Quetame	1
Picumnus olivaceus olivaceus	Picumnus olivaceus	La Frijolera	La Frijolera	1
Picumnus olivaceus olivaceus	Picumnus olivaceus	El Eden	El Eden	1
Picumnus olivaceus olivaceus	Picumnus olivaceus	Rio Toche	Rio Toche	2
Picumnus olivaceus olivaceus	Picumnus olivaceus	La Candela	La Candela	1
Picumnus olivaceus olivaceus	Picumnus olivaceus	San Agustin	San Agustin	3
Picumnus olivaceus olivaceus	Picumnus olivaceus	La Palma	La Palma	1
Picumnus olivaceus olivaceus	Picumnus olivaceus	Chicoral	Chicoral	2
Picumnus olivaceus olivaceus	Picumnus olivaceus	Honda	Honda	2
Picumnus olivaceus olivaceus	Picumnus olivaceus	20 miles w of Honda	Honda (W of)	4
Picumnus olivaceus olivaceus	Picumnus olivaceus	Puerto Berrio	Puerto Berrio	1
Picumnus olivaceus olivaceus	Picumnus olivaceus	Malena	Malena	1
Picumnus olivaceus harterti	Picumnus olivaceus	Barbacoas	Barbacoas	1
Picumnus granadensis granadensis	Picumnus granadensis	San Antonio	San Antonio	1
Picumnus granadensis granadensis	Picumnus granadensis	Rio Frio	Rio Frio	2
Picumnus granadensis granadensis	Picumnus granadensis	Los Cisneros	Cisneros	2
Picumnus granadensis granadensis	Picumnus granadensis	Gallera	Gallera	1
Picumnus granadensis antioquensis	Picumnus granadensis	Peque	Peque	2
Picumnus granadensis antioquensis	Picumnus granadensis	Medellin	Medellin	1
Scytalopus niger	Scytalopus sp.	Andes W of Popayan	Coast Range	8
Scytalopus niger	Scytalopus sp.	Cerro Munchique	Cerro Munchique	9
Scytalopus niger	Scytalopus sp.	Cocal	Cocal	3
Scytalopus niger	Scytalopus sp.	Almaguer	Almaguer	4
Scytalopus niger	Scytalopus sp.	Valle de las Papas	Valle de las Papas	3
Scytalopus niger	Scytalopus sp.	Laguneta	Laguneta	3
Scytalopus niger	Scytalopus sp.	Santa Isabel	Paramo Santa Isabel	2
Scytalopus niger	Scytalopus sp.	Santa Elena	Santa Elena	1
Scytalopus niger	Scytalopus sp.	Fusagasuga	Fusagasuga	1
Scytalopus niger	Scytalopus sp.	El Roble	Los Robles	2
Scytalopus niger	Scytalopus sp.	El Penon	El Penon	2
Scytalopus canus	Scytalopus canus	Paramillo	Paramillo	10
Scytalopus griseicollis	Scytalopus griseicollis	Bogota	Bogota	6
Scytalopus griseicollis	Scytalopus griseicollis	El Roble (8300 ft)	Los Robles	1
Scytalopus griseicollis	Scytalopus griseicollis	El Penon	El Penon	2
Scytalopus griseicollis	Scytalopus griseicollis	Chipaque	Chipaque	1
Scytalopus griseicollis	Scytalopus griseicollis	Tocaimito	Tocaimito	3
Scytalopus sylvestris	Scytalopus ?spillmanni?	Paramo Santa Isabel	Paramo Santa Isabel	2
Scytalopus micropterus micropterus	Scytalopus micropterus	Alto Bonito	Alto Bonito	2
Scytalopus micropterus micropterus	Scytalopus micropterus	Las Lomitas	Lomitas	1
Scytalopus micropterus micropterus	Scytalopus micropterus	San Antonio	San Antonio	1
Scytalopus micropterus micropterus	Scytalopus micropterus	Pavas	Pavas	1
Scytalopus micropterus micropterus	Scytalopus micropterus	Andes W of Popayan (10340 ft)	Coast Range	1
Scytalopus micropterus micropterus	Scytalopus micropterus	Ricaurte	Ricaurte	1
Scytalopus micropterus micropterus	Scytalopus micropterus	Miraflores	Miraflores	2
Scytalopus micropterus micropterus	Scytalopus micropterus	Salento	Salento	3
Scytalopus micropterus micropterus	Scytalopus micropterus	Laguneta	Laguneta	1
Scytalopus micropterus micropterus	Scytalopus micropterus	El Eden	El Eden	2
Scytalopus micropterus micropterus	Scytalopus micropterus	La Palma	La Palma	3
Scytalopus micropterus micropterus	Scytalopus micropterus	La Candela	La Candela	2
Scytalopus micropterus micropterus	Scytalopus micropterus	Andalucia (3000 ft)	Andalucia	1
Scytalopus micropterus micropterus	Scytalopus micropterus	Bogota	Bogota	2
Scytalopus micropterus micropterus	Scytalopus micropterus	Buena Vista	Buena Vista	1
Scytalopus infasciatus	Scytalopus griseicollis	Paramo de Beltran	NA	1
Scytalopus infasciatus	Scytalopus griseicollis	El Roble	Los Robles	1
Myornis senilis	Myornis senilis	Laguneta	Laguneta	1
Myornis senilis	Myornis senilis	El Penon	El Penon	1
Acropternis orthonyx	Acropternis orthonyx	Laguneta	Laguneta	2
Conopophaga aurita	Conopophaga aurita	La Morelia	La Morelia	2
Conopophaga aurita	Conopophaga aurita	Florencia	Florencia	1
Conopophaga castaneiceps castaneiceps	Conopophaga castaneiceps	La Frijolera	La Frijolera	2
Conopophaga castaneiceps castaneiceps	Conopophaga castaneiceps	La Candela	La Candela	4
Conopophaga castaneiceps castaneiceps	Conopophaga castaneiceps	Andalucia (5000 ft)	Andalucia	4
Conopophaga castaneiceps castaneiceps	Conopophaga castaneiceps	Buena Vista	Buena Vista	4
Conopophaga castaneiceps chocoensis	Conopophaga castaneiceps	Baudo	Baudo	1
Cymbilaimus lineatus lineatus	Cymbilaimus lineatus	Florencia	Florencia	1
Cymbilaimus lineatus lineatus	Cymbilaimus lineatus	La Morelia	La Morelia	1
Cymbilaimus lineatus fasciatus	Cymbilaimus lineatus	Novita	Novita	1
Cymbilaimus lineatus fasciatus	Cymbilaimus lineatus	Noanama	Noanama	1
Cymbilaimus lineatus fasciatus	Cymbilaimus lineatus	Barbacoas	Barbacoas	5
Taraba unduliger	Taraba major	La Morelia	La Morelia	1
Taraba transandeana transandeana	Taraba major	Alto Bonito	Alto Bonito	7
Taraba transandeana transandeana	Taraba major	La Vieja	La Vieja	1
Taraba transandeana transandeana	Taraba major	Baudo	Baudo	1
Taraba transandeana transandeana	Taraba major	San Jose	San Jose	3
Taraba transandeana transandeana	Taraba major	Barbacoas	Barbacoas	6
Taraba transandeana transandeana	Taraba major	Rio Frio	Rio Frio	5
Taraba transandeana transandeana	Taraba major	Palmira	Palmira	1
Taraba transandeana granadensis	Taraba major	Malena	Malena	1
Taraba transandeana granadensis	Taraba major	Honda	Honda	2
Taraba transandeana granadensis	Taraba major	Buena Vista	Buena Vista	2
Taraba transandeana granadensis	Taraba major	Villavicencio	Villavicencio	2
Thamnophilus unicolor	Thamnophilus unicolor	San Antonio	San Antonio	11
Thamnophilus unicolor	Thamnophilus unicolor	Gallera	Gallera	4
Thamnophilus unicolor	Thamnophilus unicolor	Cerro Munchique	Cerro Munchique	2
Thamnophilus unicolor	Thamnophilus unicolor	Cocal	Cocal	2
Thamnophilus unicolor	Thamnophilus unicolor	Ricaurte	Ricaurte	2
Thamnophilus unicolor	Thamnophilus unicolor	Barro Blanco	Barro Blanco	2
Thamnophilus unicolor	Thamnophilus unicolor	La Palma	La Palma	3
Thamnophilus unicolor	Thamnophilus unicolor	Fusagasuga	Fusagasuga	5
Thamnophilus unicolor	Thamnophilus unicolor	Aguadita	Aguadita	2
Thamnophilus nigriceps	Thamnophilus nigriceps	Atrato River	Rio Atrato	2
Thamnophilus nigriceps	Thamnophilus nigriceps	Iguamiando	Iguamiando	1
Thamnophilus nigriceps	Thamnophilus nigriceps	Algodonal	Algodonal	1
Thamnophilus nigriceps	Thamnophilus nigriceps	Puerto Berrio	Puerto Berrio	4
Thamnophilus nigriceps	Thamnophilus nigriceps	Malena	Malena	4
Thamnophilus nigriceps	Thamnophilus nigriceps	Honda (W of)	Honda (W of)	1
Thamnophilus punctatus punctatus	Thamnophilus punctatus	Barrigon	Barrigon	2
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Alto Bonito	Alto Bonito	2
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Dabeiba	Dabeiba	6
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Bagado	Bagado	3
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Baudo	Baudo	2
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Novita	Novita	3
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Novita Trail (3000 ft)	Novita Trail	1
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Juntas de Tamana	Juntas de Tamana	1
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Noanama	Noanama	1
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	San Jose	San Jose	1
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Barbacoas	Barbacoas	7
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	La Frijolera	La Frijolera	15
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Malena	Malena	1
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Honda	Honda	4
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	Chicoral	Chicoral	1
Thamnophilus canadensis pulchellus	Sakesphorus canadensis	Turbaco	Turbaco	3
Thamnophilus canadensis pulchellus	Sakesphorus canadensis	La Playa	La Playa	7
Thamnophilus canadensis pulchellus	Sakesphorus canadensis	Calamar	Calamar	3
Thamnophilus canadensis pulchellus	Sakesphorus canadensis	Algodonal	Algodonal	2
Thamnophilus doliatus doliatus	Thamnophilus doliatus	Villavicencio	Villavicencio	7
Thamnophilus radiatus albicans	Thamnophilus doliatus	Chicoral	Chicoral	3
Thamnophilus radiatus albicans	Thamnophilus doliatus	Honda	Honda (W of)	7
Thamnophilus radiatus albicans	Thamnophilus doliatus	Puerto Berrio	Puerto Berrio	3
Thamnophilus radiatus albicans	Thamnophilus doliatus	Malena	Malena	4
Thamnophilus radiatus albicans	Thamnophilus doliatus	Nare	Nare	1
Thamnophilus tenuipunctatus	Thamnophilus tenuepunctatus	Villavicencio	Villavicencio	5
Thamnophilus multistriatus	Thamnophilus multistriatus	Los Cisneros	Cisneros	2
Thamnophilus multistriatus	Thamnophilus multistriatus	Caldas	Caldas	4
Thamnophilus multistriatus	Thamnophilus multistriatus	La Frijolera	La Frijolera	1
Thamnophilus multistriatus	Thamnophilus multistriatus	Las Lomitas	Lomitas	2
Thamnophilus multistriatus	Thamnophilus multistriatus	San Antonio	San Antonio	4
Thamnophilus multistriatus	Thamnophilus multistriatus	Cali	Cali	4
Thamnophilus multistriatus	Thamnophilus multistriatus	Salencio	Alban	2
Thamnophilus multistriatus	Thamnophilus multistriatus	Miraflores	Miraflores	3
Thamnophilus multistriatus	Thamnophilus multistriatus	Salento	Salento	1
Thamnophilus multistriatus	Thamnophilus multistriatus	La Candela	La Candela	2
Thamnophilus multistriatus	Thamnophilus multistriatus	San Agustin (near)	San Agustin	3
Thamnophilus multistriatus	Thamnophilus multistriatus	Andalucia (3000 ft)	Andalucia	2
Thamnophilus multistriatus	Thamnophilus multistriatus	Fusagasuga	Fusagasuga	1
Thamnistes aequatorialis	Thamnistes anabatinus	La Morelia	La Morelia	1
Thamnistes anabatinus intermedius	Thamnistes anabatinus	Alto Bonito	Alto Bonito	1
Thamnistes anabatinus intermedius	Thamnistes anabatinus	Barbacoas	Barbacoas	1
Clytoctantes alixii	Clytoctantes alixii	Puerto Valdivia	Puerto Valdivia	2
Dysithamnus semicinereus semicinereus	Dysithamnus mentalis	Buena Vista	Buena Vista	12
Dysithamnus semicinereus semicinereus	Dysithamnus mentalis	La Candela	La Candela	5
Dysithamnus semicinereus semicinereus	Dysithamnus mentalis	San Agustin (near)	San Agustin	1
Dysithamnus semicinereus semicinereus	Dysithamnus mentalis	Andalucia (5000 ft)	Andalucia	1
Dysithamnus semicinereus extremus	Dysithamnus mentalis	Salencio	Alban	3
Dysithamnus semicinereus extremus	Dysithamnus mentalis	Las Lomitas	Lomitas	7
Dysithamnus semicinereus extremus	Dysithamnus mentalis	San Antonio	San Antonio	7
Dysithamnus semicinereus extremus	Dysithamnus mentalis	Rio Frio	Rio Frio	5
Dysithamnus semicinereus extremus	Dysithamnus mentalis	Miraflores	Miraflores	7
Dysithamnus semicinereus extremus	Dysithamnus mentalis	Salento	Salento	2
Dysithamnus mentalis	Dysithamnus mentalis	La Frijolera	La Frijolera	2
Dysithamnus mentalis	Dysithamnus mentalis	El Consuelo	El Consuelo	2
Dysithamnus puncticeps flemmingi	Dysithamnus puncticeps	Barbacoas	Barbacoas	6
Dysithamnus puncticeps puncticeps	Dysithamnus puncticeps	Baudo	Baudo	1
Dysithamnus puncticeps puncticeps	Dysithamnus puncticeps	La Vieja	La Vieja	1
Dysithamnus puncticeps puncticeps	Dysithamnus puncticeps	Novita	Novita	1
Dysithamnus puncticeps puncticeps	Dysithamnus puncticeps	Alto Bonito	Alto Bonito	6
Dysithamnus puncticeps puncticeps	Dysithamnus puncticeps	Puerto Valdivia	Puerto Valdivia	1
Dysithamnus leucostictus	Dysithamnus leucostictus	Buena Vista	Buena Vista	2
Dysithamnus capitalis capitalis	Thamnophilus schistaceus	La Morelia	La Morelia	2
Dysithamnus capitalis capitalis	Thamnophilus schistaceus	Florencia	Florencia	1
Dysithamnus ardesiacus ardesiacus	Thamnomanes ardesiacus	La Morelia	La Morelia	4
Dysithamnus ardesiacus ardesiacus	Thamnomanes ardesiacus	Florencia	Florencia	3
Thamnomanes glaucus	Thamnomanes caesius	La Morelia	La Morelia	5
Thamnomanes glaucus	Thamnomanes caesius	Florencia	Florencia	1
Myrmotherula pygmaea	Myrmotherula brachyura	San Jose	San Jose	1
Myrmotherula pygmaea	Myrmotherula brachyura	Florencia	Florencia	1
Myrmotherula pygmaea	Myrmotherula brachyura	La Morelia	La Morelia	1
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Alto Bonito	Alto Bonito	4
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Dabeiba	Dabeiba	7
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Quibdo	Quibdo	2
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Novita	Novita	2
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Novita Trail (2000 ft)	Novita Trail	1
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Juntas de Tamana	Juntas de Tamana	1
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Noanama	Noanama	3
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Buenaventura	Buenaventura	6
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Los Cisneros	Cisneros	5
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Tumaco	Tumaco	4
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Barbacoas	Barbacoas	2
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Puerto Valdivia	Puerto Valdivia	3
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	Malena	Malena	1
Myrmopagis fulviventris	Epinecrophylla fulviventris	Alto Bonito	Alto Bonito	3
Myrmopagis fulviventris	Epinecrophylla fulviventris	Juntas de Tamana	Juntas de Tamana	4
Myrmopagis fulviventris	Epinecrophylla fulviventris	Barbacoas	Barbacoas	3
Myrmopagis fulviventris	Epinecrophylla fulviventris	Puerto Valdivia	Puerto Valdivia	4
Myrmopagis fulviventris	Epinecrophylla fulviventris	La Frijolera	La Frijolera	1
Myrmopagis fulviventris	Epinecrophylla fulviventris	Miraflores	Miraflores	1
Myrmopagis fulviventris	Epinecrophylla fulviventris	Salencio	Alban	1
Myrmopagis haemnatonota	Epinecrophylla haematonota	La Morelia	La Morelia	1
Myrmopagis ornata ornata	Epinecrophylla ornata	Buena Vista	Buena Vista	4
Myrmopagis axillaris melaena	Myrmotherula axillaris	Florencia	Florencia	6
Myrmopagis axillaris melaena	Myrmotherula axillaris	La Morelia	La Morelia	2
Myrmopagis axillaris albigula	Myrmotherula axillaris	Alto Bonito	Alto Bonito	3
Myrmopagis axillaris albigula	Myrmotherula axillaris	Dabeiba	Dabeiba	1
Myrmopagis axillaris albigula	Myrmotherula axillaris	Baudo	Baudo	1
Myrmopagis axillaris albigula	Myrmotherula axillaris	Juntas de Tamana	Juntas de Tamana	1
Myrmopagis axillaris albigula	Myrmotherula axillaris	Novita	Novita	1
Myrmopagis axillaris albigula	Myrmotherula axillaris	San Jose	San Jose	2
Myrmopagis axillaris albigula	Myrmotherula axillaris	Barbacoas	Barbacoas	2
Myrmopagis axillaris albigula	Myrmotherula axillaris	Puerto Valdivia	Puerto Valdivia	1
Myrmopagis schisticolor schisticolor	Myrmotherula schisticolor	Alto Bonito	Alto Bonito	1
Myrmopagis schisticolor schisticolor	Myrmotherula schisticolor	La Frijolera	La Frijolera	3
Myrmopagis schisticolor schisticolor	Myrmotherula schisticolor	Las Lomitas	Lomitas	2
Myrmopagis schisticolor schisticolor	Myrmotherula schisticolor	San Antonio	San Antonio	3
Myrmopagis schisticolor schisticolor	Myrmotherula schisticolor	Ricaurte	Ricaurte	1
Myrmopagis schisticolor schisticolor	Myrmotherula schisticolor	Miraflores	Miraflores	3
Myrmopagis schisticolor interior	Myrmotherula schisticolor	La Palma	La Palma	2
Myrmopagis schisticolor interior	Myrmotherula schisticolor	La Candela	La Candela	4
Myrmopagis schisticolor interior	Myrmotherula schisticolor	Aguadita	Aguadita	1
Myrmopagis schisticolor interior	Myrmotherula schisticolor	Buena Vista	Buena Vista	12
Myrmopagis schisticolor interior	Myrmotherula schisticolor	La Morelia	La Morelia	1
Myrmopagis cinereiventris pallida	Myrmotherula menetriesii	La Morelia	La Morelia	1
Herpsilochmus rufomarginatus frater	Herpsilochmus rufimarginatus	Buena Vista	Buena Vista	1
Microrhopias grisea intermedia	Formicivora grisea	La Playa	La Playa	5
Microrhopias grisea intermedia	Formicivora grisea	Calamar	Calamar	2
Microrhopias grisea intermedia	Formicivora grisea	Honda	Honda	12
Microrhopias grisea intermedia	Formicivora grisea	Chicoral	Chicoral	8
Microrhopias boucardi consobrina	Microrhopias quixensis	Alto Bonito	Alto Bonito	2
Microrhopias boucardi consobrina	Microrhopias quixensis	Novita	Novita	2
Microrhopias boucardi consobrina	Microrhopias quixensis	San Jose	San Jose	3
Microrhopias boucardi consobrina	Microrhopias quixensis	Puerto Valdivia	Puerto Valdivia	2
