Name	Locality	Count
Leptotila verreauxi	Algodonal	1
Leptotila verreauxi	Calamar	3
Leptotila verreauxi	La Playa	2
Leptotila verreauxi	Rio Sinu	1
Leptotila verreauxi	Puerto Valdivia	1
Leptotila verreauxi	Peque	1
Leptotila verreauxi	Caldas	1
Leptotila verreauxi	San Antonio	4
Leptotila verreauxi	Gallera	1
Leptotila verreauxi	Cerro Munchique	5
Leptotila verreauxi	Miraflores	6
Leptotila verreauxi	Salento	2
Leptotila rufaxilla	La Manuelita	9
Leptotila rufaxilla	Florencia	1
Leptotila rufaxilla	Buena Vista	1
Leptotila rufaxilla	Villavicencio	2
Leptotila plumbeiceps	Guengue	1
Leptotila plumbeiceps	Rio Frio	1
Leptotila plumbeiceps	Lomitas	2
Leptotila plumbeiceps	Caldas	1
Leptotila pallida	Novita	1
Leptotila pallida	San Jose	3
Leptotila pallida	Barbacoas	6
Leptotila cassinii	Salaqui	1
Leptotila cassinii	Opon	1
Leptotila cassinii	Puerto Berrio	2
Geotrygon purpurata	La Vieja	3
Geotrygon purpurata	Novita Trail	1
Geotrygon purpurata	Buenavista	1
Geotrygon montana	Lomitas	4
Geotrygon montana	San Antonio	4
Geotrygon montana	Puerto Valdivia	1
Geotrygon montana	La Candela	1
Geotrygon montana	Andalucia	1
Geotrygon montana	Florencia	1
Leptotrygon veraguensis	Puerto Valdivia	3
Leptotrygon veraguensis	Baudo	6
Leptotrygon veraguensis	Rio Andagueda	1
Leptotrygon veraguensis	San Jose	1
Leptotrygon veraguensis	Barbacoas	5
Zentrygon frenata	Alban	1
Zentrygon frenata	San Antonio	4
Zentrygon frenata	La Florida	1
Zentrygon frenata	Cocal	1
Zentrygon frenata	Cerro Munchique	1
Zentrygon frenata	Gallera	1
Zentrygon frenata	Almaguer	1
Zentrygon frenata	Miraflores	1
Zentrygon frenata	Los Robles	1
Zentrygon frenata	Laguneta	1
Zentrygon frenata	La Candela	4
Zentrygon linearis	Puerto Valdivia	1
Zentrygon linearis	Andalucia	3
Zentrygon linearis	Fusagasuga	1
Zentrygon linearis	Buena Vista	3
Opisthocomus hoazin	Florencia	6
Opisthocomus hoazin	Villavicencio	3
Opisthocomus hoazin	Barrigon	1
Rallus semiplumbeus	Bogota	4
Pardirallus nigricans	La Manuelita	2
Pardirallus nigricans	Rio Frio	2
Aramides cajaneus	Rio Atrato	3
Aramides cajaneus	Salaqui	1
Aramides cajaneus	Rio Frio	1
Aramides cajaneus	Honda	2
Aramides cajaneus	Buena Vista	1
Aramides cajaneus	Florencia	2
Amaurolimnas concolor	Barbacoas	1
Anurolimnas castaneiceps	La Morelia	1
Anurolimnas fasciatus	La Morelia	2
Porzana carolina	Bogota	1
Hapalocrex flaviventer	Cali	2
Laterallus albigularis	La Morelia	1
Laterallus albigularis	San Antonio	1
Laterallus albigularis	Barbacoas	3
Mustelirallus colombianus	Barbacoas	3
Gallinula chloropus	Cali	8
Porphyriops melanops	Bogota	5
Porphyriops melanops	Anolaima	4
Porphyrio martinica	Rio Atrato	2
Porphyrio martinica	Rio Sinu	1
Porphyrio martinica	Turbaco	1
Porphyrio martinica	Florencia	1
Fulica americana	La Hererra	12
Fulica americana	La Holanda	1
Heliornis fulica	Barbacoas	1
Tachybaptus dominicus	Cali	1
Tachybaptus dominicus	Popayan	1
Podilymbus podiceps	Cali	2
Podilymbus podiceps	La Hererra	1
Phaetusa simplex	La Playa	1
Vanellus chilensis	Rio Atrato	2
Vanellus chilensis	Caldas	1
Vanellus chilensis	Lomitas	2
Vanellus chilensis	San Antonio	4
Vanellus chilensis	Cali	3
Vanellus chilensis	La Manuelita	2
Vanellus chilensis	Los Robles	1
Vanellus chilensis	Salento	3
Vanellus chilensis	Puerto Berrio	1
Vanellus chilensis	Barrigon	3
Pluvialis dominica	Buenavista	1
Pluvialis dominica	Cali	1
Charadrius semipalmatus	Tumaco	1
Charadrius collaris	Cali	5
Charadrius collaris	La Morelia	2
Himantopus mexicanus	Cali	2
Tringa melanoleuca	Cali	1
Tringa flavipes	Quibdo	2
Tringa flavipes	Barbacoas	1
Tringa flavipes	La Manuelita	1
Tringa solitaria	Quibdo	1
Tringa solitaria	Novita	1
Tringa solitaria	Buenavista	1
Tringa solitaria	San Antonio	1
Tringa solitaria	Cali	1
Tringa solitaria	La Manuelita	2
Tringa solitaria	San Agustin	1
Tringa solitaria	Puerto Berrio	1
Tringa solitaria	Barro Blanco	1
Actitis macularius	Dabeiba	1
Actitis macularius	Novita	1
Actitis macularius	San Jose	1
Actitis macularius	Barbacoas	5
Actitis macularius	Caldas	1
Actitis macularius	Cali	1
Actitis macularius	Salento	1
Actitis macularius	Honda	1
Calidris minutilla	Quibdo	3
Calidris minutilla	Juntas de Tamana	1
Calidris minutilla	Novita	1
Calidris minutilla	Cali	2
Calidris minutilla	Palmira	1
Calidris minutilla	Rio Frio	1
Calidris melanotos	Quibdo	3
Gallinago delicata	Novita	1
Gallinago delicata	Puerto Berrio	2
Gallinago paraguaiae	Villavicencio	3
Gallinago nobilis	Paramo Santa Isabel	2
Gallinago nobilis	Valle de las Papas	3
Gallinago nobilis	Chipaque	1
Gallinago jamesoni	Paramo Santa Isabel	11
Jacana jacana	La Morelia	1
Jacana jacana	Cali	10
Jacana jacana	Rio Frio	1
Jacana jacana	Puerto Berrio	2
Jacana jacana	Calamar	2
Jacana jacana	Barranquilla	2
Jacana jacana	La Playa	8
Jacana jacana	Santa Marta	2
Jacana jacana	Pacho	1
Burhinus bistriatus	Barranquilla	1
Eurypyga helias	Salaqui	1
Psophia crepitans	La Morelia	1
Theristicus caudatus	La Manuelita	1
Theristicus caudatus	Barrigon	1
Mesembrinibis cayennensis	Rio Atrato	1
Mesembrinibis cayennensis	Malena	1
Mesembrinibis cayennensis	Villavicencio	2
Phimosus infuscatus	Barranquilla	1
Platalea ajaja	Cali	1
Jabiru mycteria	Rio San Jorge	6
Ardea cocoi	Malena	1
Ardea cocoi	Villavicencio	1
Ardea alba	La Morelia	1
Egretta caerulea	Noanama	1
Egretta caerulea	Malena	1
Egretta tricolor	Rio Sinu	1
Agamia agami	Salaqui	1
Agamia agami	Rio Atrato	2
Nycticorax nycticorax	Cali	2
Nycticorax nycticorax	Rio Frio	1
Nycticorax nycticorax	La Morelia	1
Nycticorax nycticorax	La Holanda	2
Cochlearius cochlearius	La Holanda	1
Pilherodius pileatus	Rio Sinu	1
Butorides striata	Rio Sinu	1
Butorides striata	Rio Atrato	1
Butorides striata	Quibdo	1
Butorides striata	Barbacoas	2
Butorides striata	Tumaco	1
Butorides striata	Cali	5
Butorides striata	La Palma	1
Butorides striata	Chicoral	1
Butorides striata	Honda	1
Butorides striata	La Holanda	1
Butorides striata	Villavicencio	1
Butorides striata	La Morelia	1
Tigrisoma lineatum	Salaqui	1
Tigrisoma lineatum	Rio Atrato	1
Tigrisoma lineatum	Malena	1
Tigrisoma lineatum	Puerto Berrio	1
Tigrisoma fasciatum	Salento	1
Tigrisoma fasciatum	Juntas de Tamana	1
Ixobrychus exilis	Rio Frio	1
Ixobrychus exilis	Bogota	3
Anhima cornuta	Cali	1
Cairina moschata	Rio Frio	2
Dendrocygna bicolor	Cali	2
Dendrocygna bicolor	La Hererra	1
Dendrocygna autumnalis	Cali	2
Anas andium	Paramo Santa Isabel	1
Spatula discors	Cali	1
Spatula discors	Puerto Valdivia	1
Spatula cyanoptera	Cali	16
Spatula cyanoptera	Palmira	1
Netta erythrophthalma	Cali	14
Aythya affinis	Cali	1
Nomonyx dominicus	Cali	9
Merganetta armata	Salento	2
Merganetta armata	Rio Toche	1
Merganetta armata	El Eden	1
Phalacrocorax brasilianus	Cali	2
Coragyps atratus	Santa Elena	2
Cathartes aura	Santa Elena	1
Cathartes aura	Puerto Valdivia	1
Caracara cheriway	La Manuelita	1
Caracara cheriway	Bogota	1
Ibycter americanus	Salaqui	1
Ibycter americanus	Puerto Valdivia	1
Ibycter americanus	La Morelia	3
Milvago chimachima	San Antonio	1
Milvago chimachima	Cali	1
Milvago chimachima	La Manuelita	1
Milvago chimachima	La Palma	1
Milvago chimachima	Chicoral	1
Milvago chimachima	Honda	1
Milvago chimachima	Calamar	1
Milvago chimachima	Barrigon	1
Circus hudsonius	Rio Atrato	1
Circus cinereus	Anolaima	1
Circus buffoni	Rio Frio	2
Micrastur ruficollis	Dabeiba	2
Micrastur ruficollis	La Vieja	1
Micrastur ruficollis	Novita	1
Micrastur ruficollis	San Jose	1
Micrastur ruficollis	Lomitas	1
Micrastur ruficollis	San Antonio	1
Micrastur ruficollis	Alban	1
Micrastur ruficollis	Salento	1
Parabuteo unicinctus	La Manuelita	1
Accipiter superciliosus	Barbacoas	1
Accipiter superciliosus	Puerto Valdivia	1
Accipiter striatus	San Antonio	1
Accipiter striatus	Barro Blanco	1
Accipiter striatus	Andalucia	1
Accipiter striatus	Fomeque	1
Accipiter bicolor	Popayan	1
Accipiter bicolor	Purificacion	1
Accipiter bicolor	Florencia	1
