dynamicproperties	catalognumber	recordnumber	recordedby	sex	lifestage	reproductivecondition	preparations	occurrenceremarks	fieldnumber	eventdate	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	eventremarks	country	countrycode	stateprovince	locality	decimallatitude	decimallongitude	georeferenceddate	scientificname	class	order	family	genus	specificepithet	infraspecificepithet	underivedlifestage	underivedsex
	22845		Louis Agassiz Fuertes	male			study skin			1911-04-28	118	118	1911	4	28	1911-04-28	Chapman Expedition no.1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	3.567862	-76.434072	2017-09-18	Tangara xanthocephala	Aves	Passeriformes	Thraupidae	Tangara	xanthocephala			male
	23028		Louis Agassiz Fuertes	male			study skin			1911-04-18	108	108	1911	4	18	1911-04-18	Chapman expedition no. 1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	3.567862	-76.434072	2017-09-18	Chlorospingus ophthalmicus	Aves	Passeriformes	Thraupidae	Chlorospingus	ophthalmicus			male
	23039		Louis Agassiz Fuertes	female			study skin			1911-04-24	114	114	1911	4	24	1911-04-24	Chapman expedition no. 1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	3.567862	-76.434072	2017-09-18	Chlorospingus canigularis	Aves	Passeriformes	Thraupidae	Chlorospingus	canigularis			female
	23044		Louis Agassiz Fuertes	male			study skin			1911-04-28	118	118	1911	4	28	1911-04-28	Expedition no. 1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	3.567862	-76.434072	2017-09-18	Hemispingus frontalis	Aves	Passeriformes	Thraupidae	Hemispingus	frontalis			male
	6230		Louis Agassiz Fuertes	male			study skin			1911-05-23	143	143	1911	5	23	1911-05-23		Colombia	CO	Tolima	Chicoral, Magdalena Valley	4.213436	-74.981064	2017-11-15	Melanerpes subelegans	Aves	Piciformes	Picidae	Melanerpes	subelegans			male
	7007	LAF 2590	Louis Agassiz Fuertes	female			study skin			1911-05-23	143	143	1911	5	23	1911-05-23	Expedition date on specimen tag does not match dates in gazeteer; Site no. 69	Colombia	CO	Tolima	Chicoral, Magdalena Valley	4.213436	-74.981064	2017-11-15	Thamnophilus doliatus albicans	Aves	Passeriformes	Thamnophilidae	Thamnophilus	doliatus	albicans		female
	7135	LAF 2589	Louis Agassiz Fuertes	female			study skin			1911-05-23	143	143	1911	5	23	1911-05-23	Expedition date on specimen tag does not match dates in gazeteer; Site no. 69	Colombia	CO	Tolima	Chicoral, Magdalena Valley	4.213436	-74.981064	2017-11-15	Myrmeciza longipes boucardi	Aves	Passeriformes	Thamnophilidae	Myrmeciza	longipes	boucardi		female
	22851		Louis Agassiz Fuertes	male			study skin			1911-04-24	114	114	1911	4	24	1911-04-24	Expedition no.1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	3.567862	-76.434072	2017-09-18	Tangara labradorides	Aves	Passeriformes	Thraupidae	Tangara	labradorides			male
	879	LAF 2650	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-06-04	155	155	1911	6	4	1911-06-04	'Baranquilla'	Colombia	CO	Atlántico	Barranquilla, N Magdalena River	NA	NA		Rostrhamus sociabilis sociabilis	Aves	Accipitriformes	Accipitridae	Rostrhamus	sociabilis	sociabilis		male
	1072	LAF 2382	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-15	105	105	1911	4	15	1911-04-15	'La Mannelita'	Colombia	CO	Valle del Cauca	Palmira, La Manuelita; Valle	NA	NA		Milvago chimachima cordatus	Aves	Falconiformes	Falconidae	Milvago	chimachima	cordatus		male
	1093	LAF 2523	Louis Agassiz Fuertes	female	immature		study skin	From the collection of Louis Agassiz Fuertes.		1911-05-08	128	128	1911	5	8	1911-05-08		Colombia	CO	Valle del Cauca	Cauca Valley, Cali, elevation 3500 feet; Valle	NA	NA		Falco femoralis fusco-caerulescens	Aves	Falconiformes	Falconidae	Falco	femoralis	fusco-caerulescens	immature	female
	1658	LAF 2380	Louis Agassiz Fuertes	male			study skin			1911-04-15	105	105	1911	4	15	1911-04-15		Colombia	CO	Valle del Cauca	Palmira, La Manuelita, elevation 3500 feet; Valle	NA	NA		Ortygonax nigricans nigricans	Aves	Gruiformes	Rallidae	Pardirallus	nigricans	nigricans		male
	1771	LAF 2858	Louis Agassiz Fuertes	male			study skin			1911-04-12	102	102	1911	4	12	1911-04-12		Colombia	CO	Valle del Cauca	Palmira, La Manuelita, elevation 3500 feet; Valle	NA	NA		Vanellus chilensis cayennensis	Aves	Charadriiformes	Charadriidae	Vanellus	chilensis	cayennensis		male
	3035	LAF 2326	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-04	94	94	1911	4	4	1911-04-04		Colombia	CO	Nariño	San Antonio; Norino	NA	NA		Columba fasciata albilinea	Aves	Columbiformes	Columbidae	Columba	fasciata	albilinea		male
	3099	LAF 2540	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-05-11	131	131	1911	5	11	1911-05-11		Colombia	CO	Valle del Cauca	Cauca Valley, Cali; Valle	NA	NA		Columbina talpacoti caucae	Aves	Columbiformes	Columbidae	Columbina	talpacoti	caucae		male
	3176	LAF 2420	Louis Agassiz Fuertes	female			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-20	110	110	1911	4	20	1911-04-20		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Aratinga wagleri wagleri	Aves	Psittaciformes	Psittacidae	Aratinga	wagleri	wagleri		female
	3179	LAF 2517	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-05-05	125	125	1911	5	5	1911-05-05		Colombia	CO	Valle del Cauca	Palmira, Guengue; Valle	NA	NA		Pionus menstruus	Aves	Psittaciformes	Psittacidae	Pionus	menstruus			male
	3185	LAF 2406	Louis Agassiz Fuertes	female			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-19	109	109	1911	4	19	1911-04-19		Colombia	CO	Valle del Cauca	Portrerillo, Palmira; Valle	NA	NA		Pionus chalcopterus	Aves	Psittaciformes	Psittacidae	Pionus	chalcopterus			female
	3214	LAF 2484	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-27	117	117	1911	4	27	1911-04-27		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Forpus conspicillatus caucae	Aves	Psittaciformes	Psittacidae	Forpus	conspicillatus	caucae		male
	3215	LAF 2485	Louis Agassiz Fuertes	female			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-27	117	117	1911	4	27	1911-04-27		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Forpus conspicillatus caucae	Aves	Psittaciformes	Psittacidae	Forpus	conspicillatus	caucae		female
	3343	LAF 2352	Louis Agassiz Fuertes				study skin	From the collection of Louis Agassiz Fuertes.		1911-04-12	102	102	1911	4	12	1911-04-12		Colombia	CO	Valle del Cauca	Cauca Valley, Palmira; Valle	NA	NA		Tapera naevia naevia	Aves	Cuculiformes	Cuculidae	Tapera	naevia	naevia		
	4519	LAF 2434	Louis Agassiz Fuertes	male			study skin	The number 156 is also recorded on the original label.		1911-04-21	111	111	1911	4	21	1911-04-21	[Elevation 5100 feet]	Colombia	CO	Valle del Cauca	Palmira, Miraflores; Valle	NA	NA		Amazilia franciae	Aves	Apodiformes	Trochilidae	Amazilia	franciae			male
	4657	LAF 2582	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.  The number 303 is recorded on the original label.		1911-05-21	141	141	1911	5	21	1911-05-21		Colombia	CO	Tolima	Central Andes, Ibague	NA	NA		Chlorostilbon gibsoni	Aves	Apodiformes	Trochilidae	Chlorostilbon	gibsoni			male
	5122	LAF 2446	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.  Number 168 is recorded on the original label.		1911-04-23	113	113	1911	4	23	1911-04-23		Colombia	CO	Valle del Cauca	Palmira, Miraflores; Valle	NA	NA		Haplophaedia aureliae caucensis	Aves	Apodiformes	Trochilidae	Haplophaedia	aureliae	caucensis		male
	5127	LAF 2559	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-05-18	138	138	1911	5	18	1911-05-18		Colombia	CO		Central Andes, Laguneta [Elevation 9000 feet]	NA	NA		Eriocnemis derbyi longirostris	Aves	Apodiformes	Trochilidae	Eriocnemis	derbyi	longirostris		male
	5147	LAF 2441	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.  No. 163 is recorded on the original label.		1911-04-22	112	112	1911	4	22	1911-04-22		Colombia	CO	Valle del Cauca	Palmira, Miraflores, [elevation 6800 feet]; Valle	NA	NA		Adelomyia melanogenys cervina	Aves	Apodiformes	Trochilidae	Adelomyia	melanogenys	cervina		male
	5471	LAF 2546	Louis Agassiz Fuertes	undetermined	immature		study skin	From the collection of Louis Agassiz Fuertes.		1911-05-11	131	131	1911	5	11	1911-05-11		Colombia	CO	Valle del Cauca	Cauca Valley, Cali,; Valle	NA	NA		Chrysolampis mosquitus	Aves	Apodiformes	Trochilidae	Chrysolampis	mosquitus		immature	unknown
	5479	LAF 2393	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.  Number 115 is recorded on the original label.		1911-04-17	107	107	1911	4	17	1911-04-17	[Elevation 6600 feet]	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Pharomachrus auriceps	Aves	Trogoniformes	Trogonidae	Pharomachrus	auriceps			male
	5722	LAF 2421	Louis Agassiz Fuertes	female			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-20	110	110	1911	4	20	1911-04-20		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Momotus momota aequatorialis	Aves	Coraciiformes	Momotidae	Momotus	momota	aequatorialis		female
	6046		Louis Agassiz Fuertes	male			study skin			1911-05-18	138	138	1911	5	18	1911-05-18		Colombia	CO		near Laguneta, Central Andes, elevation 9000 ft.	NA	NA		Andigena nigrirostris spilorhynchus	Aves	Piciformes	Ramphastidae	Andigena	nigrirostris	spilorhynchus		male
	6169	LAF 2567	Louis Agassiz Fuertes	female			study skin			1911-05-18	138	138	1911	5	18	1911-05-18		Colombia	CO		Volcancito, Central Andes, elevation 10,800 ft.	NA	NA		Piculus rivolii brevirostris	Aves	Piciformes	Picidae	Piculus	rivolii	brevirostris		female
	6816	LAF 2634	Louis Agassiz Fuertes	male	immature		study skin			1911-06-01	152	152	1911	6	1	1911-06-01		Colombia	CO		Marangue, Magdalena River	NA	NA		Xiphorhynchus picirostris picirostris	Aves	Passeriformes	Furnariidae	Xiphorhynchus	picirostris	picirostris	immature	male
	7024		Louis Agassiz Fuertes	male			study skin			1911-05-31	151	151	1911	5	31	1911-05-31	Gamarra not listed as a locality in Chapman Gazeteer	Colombia	CO		Gamarra, Magdalena River	NA	NA		Sakesphorus canadensis pulchellus	Aves	Passeriformes	Thamnophilidae	Sakesphorus	canadensis	pulchellus		male
	7105	LAF 2465	Louis Agassiz Fuertes	male			study skin			1911-04-25	115	115	1911	4	25	1911-04-25	Chapman expedition no. 1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira, elevation 7000 ft.; Valle	NA	NA		Drymophila caudata caudata	Aves	Passeriformes	Thamnophilidae	Drymophila	caudata	caudata		male
	7106	LAF 2466	Louis Agassiz Fuertes	female			study skin			1911-04-25	115	115	1911	4	25	1911-04-25	Chapman expedition no. 1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Drymophila caudata caudata	Aves	Passeriformes	Thamnophilidae	Drymophila	caudata	caudata		female
	7120	LAF 2633	Louis Agassiz Fuertes	male	immature		study skin			1911-06-01	152	152	1911	6	1	1911-06-01		Colombia	CO		Marangue, Magdalena	NA	NA		Cercomacra nigricans	Aves	Passeriformes	Thamnophilidae	Cercomacra	nigricans		immature	male
	8095		Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-26	116	116	1911	4	26	1911-04-26		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Contopus fumigatus ardosiacus	Aves	Passeriformes	Tyrannidae	Contopus	fumigatus	ardosiacus		male
	8295		Louis Agassiz Fuertes	female			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-28	118	118	1911	4	28	1911-04-28		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Mionectes striaticollis columbianus	Aves	Passeriformes	Tyrannidae	Mionectes	striaticollis	columbianus		female
	8346		Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-05-20	140	140	1911	5	20	1911-05-20		Colombia	CO		Pied de San Juan, Central Andes	NA	NA		Serpophaga cinerea cana	Aves	Passeriformes	Tyrannidae	Serpophaga	cinerea	cana		male
	3034	LAF 2321	Louis Agassiz Fuertes	male			study skin	Feet light cadmium yellow; entire bill same; iris crown, yellow line around pupil; lids carmine.; From the collection of Louis Agassiz Fuertes.		1911-04-03	93	93	1911	4	3	1911-04-03		Colombia	CO	Nariño	San Antonio; Norino	NA	NA		Columba fasciata albilinea	Aves	Columbiformes	Columbidae	Columba	fasciata	albilinea		male
	6027		Louis Agassiz Fuertes	female			study skin	Eyespace bright ch(?)e yellow, a little towards yellow-green around eye. Feet turquoise blue, green on shank and orange on soles. Inside of bill vermillion.		1911-04-30	120	120	1911	4	30	1911-04-30		Colombia	CO	Valle del Cauca	Miraflores, Palmira, elevation 6100 ft.; Valle	NA	NA		Ramphastos swainsonii	Aves	Piciformes	Ramphastidae	Ramphastos	swainsonii			female
	10511		Louis Agassiz Fuertes	female			study skin			1911-05-28	148	148	1911	5	28	1911-05-28		Colombia	CO	Tolima	Honda, Magdalena	NA	NA		Cyanocorax affinis affinis	Aves	Passeriformes	Corvidae	Cyanocorax	affinis	affinis		female
	13065	LAF 2601	Louis Agassiz Fuertes	female			study skin			1911-05-27	147	147	1911	5	27	1911-05-27		Colombia	CO	Tolima	Magdalena Valley, Honda	NA	NA		Thryothorus fasciatoventris fasciatoventris	Aves	Passeriformes	Troglodytidae	Thryothorus	fasciatoventris	fasciatoventris		female
	14028		Louis Agassiz Fuertes	male			study skin			1911-05-18	138	138	1911	5	18	1911-05-18		Colombia	CO		Laguneta, Central Andes	NA	NA		Turdus fuscater quindio	Aves	Passeriformes	Turdidae	Turdus	fuscater	quindio		male
	15780		Louis Agassiz Fuertes	male			study skin			1911-04-30	120	120	1911	4	30	1911-04-30		Colombia	CO	Valle del Cauca	Palmira, Miraflores; Valle	NA	NA		Vireo gilvus	Aves	Passeriformes	Vireonidae	Vireo	gilvus			male
	16982		Louis Agassiz Fuertes	male			study skin			1911-04-30	120	120	1911	4	30	1911-04-30	Expedition no. 1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Basileuterus tristriatus	Aves	Passeriformes	Parulidae	Basileuterus	tristriatus			male
	136	LAF 2519	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-05-08	128	128	1911	5	8	1911-05-08		Colombia	CO	Valle del Cauca	Cauca Valley, Cali; Valle	NA	NA		Butorides striatus striatus	Aves	Pelecaniformes	Ardeidae	Butorides	striatus	striatus		male
	17956		Louis Agassiz Fuertes	female			study skin			1911-05-17	137	137	1911	5	17	1911-05-17	Location not listed in Gazeteer, see notes.	Colombia	CO		Finlandia, Central Andes	NA	NA		Hypopyrrhus pyrhoypogaster	Aves	Passeriformes	Icteridae	Hypopyrrhus	pyrhoypogaster			female
	19038		Louis Agassiz Fuertes	male			study skin			1911-04-15	105	105	1911	4	15	1911-04-15	Chapman expedition no. 1; Site no. 52, check locality remarks	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Atlapetes gutturalis	Aves	Passeriformes	Emberizidae	Atlapetes	gutturalis			male
	19056		Louis Agassiz Fuertes	female			study skin			1911-05-18	138	138	1911	5	18	1911-05-18		Colombia	CO	Quindío	Quindio Pass, Central Andes	NA	NA		Atlapetes schistaceus	Aves	Passeriformes	Emberizidae	Atlapetes	schistaceus			female
	20901		Louis Agassiz Fuertes	male			study skin			1911-04-18	108	108	1911	4	18	1911-04-18	Chapman Expedition no.1; Site no.52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Anisognathus flavinuchus	Aves	Passeriformes	Thraupidae	Anisognathus	flavinuchus			male
	20921		Louis Agassiz Fuertes	male			study skin			1911-05-21	141	141	1911	5	21	1911-05-21	Expedition no. 3; Site no. 71	Colombia	CO		El Eden, Central Andes	NA	NA		Chlorornis riefferii	Aves	Passeriformes	Thraupidae	Chlorornis	riefferii			male
	7298	LAF 2461	Louis Agassiz Fuertes	male			study skin			1911-04-25	115	115	1911	4	25	1911-04-25		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Pachyramphus polychopterus dorsalis	Aves	Passeriformes	Cotingidae	Pachyramphus	polychopterus	dorsalis		male
	29157		Louis Agassiz Fuertes	female			study skin			1911-04-26	116	116	1911	4	26	1911-04-26	Expedition no. 1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Basileuterus tristriatus	Aves	Passeriformes	Parulidae	Basileuterus	tristriatus			female
	3028	LAF 2405	Louis Agassiz Fuertes	male			study skin	Eye space red; feet pink.; From the collection of Louis Agassiz Fuertes.		1911-04-19	109	109	1911	4	19	1911-04-19		Colombia	CO	Valle del Cauca	Below Miraflores, Portrerillo	NA	NA		Columba cayennensis	Aves	Columbiformes	Columbidae	Columba	cayennensis			male
{colors:Bill color: leaden blue; Leg color: green }	6909	LAF 2438	Louis Agassiz Fuertes	male			study skin			1911-04-22	112	112	1911	4	22	1911-04-22		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Synallaxis azarae media	Aves	Passeriformes	Furnariidae	Synallaxis	azarae	media		male
	8264		Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-24	114	114	1911	4	24	1911-04-24		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Pyrrhomyias cinnamomea pyrrhoptera	Aves	Passeriformes	Tyrannidae	Pyrrhomyias	cinnamomea	pyrrhoptera		male
	5228	LAF 2397	Louis Agassiz Fuertes	female			study skin	From the collection of Louis Agassiz Fuertes. This specimen was originally identified as species  cocoa.  It was later determined to be emmae by an unknown source.  Both species are grouped under A. kingi by Peters.		1911-04-18	108	108	1911	4	18	1911-04-18		Colombia	CO	Valle del Cauca	Palmira, Miraflores; Valle	NA	NA		Aglaiocercus kingi mocoa	Aves	Apodiformes	Trochilidae	Aglaiocercus	kingi	mocoa		female
	5885		Louis Agassiz Fuertes	male			study skin; unknown			1911-07-01	182	182	1911	7	1	1911-07-01		Colombia	CO		Marangue, Magdalena River	NA	NA		Hypnelus ruficollis ruficollis	Aves	Piciformes	Bucconidae	Hypnelus	ruficollis	ruficollis		male
	3101	LAF 2542	Louis Agassiz Fuertes	female			study skin	From the collection of Louis Agassiz Fuertes.		1911-05-11	131	131	1911	5	11	1911-05-11		Colombia	CO	Valle del Cauca	Cauca Valley, Cali; Valle	NA	NA		Columbina talpacoti caucae	Aves	Columbiformes	Columbidae	Columbina	talpacoti	caucae		female
	3123	LAF 2430	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-21	111	111	1911	4	21	1911-04-21		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Leptotila verreauxi decolor	Aves	Columbiformes	Columbidae	Leptotila	verreauxi	decolor		male
	20953		Louis Agassiz Fuertes	male			study skin			1911-05-18	138	138	1911	5	18	1911-05-18		Colombia	CO		Laguneta, Central Andes	NA	NA		Bangsia montana	Aves	Passeriformes	Thraupidae	Bangsia	montana			male
	5188	LAF 2560	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.  Number 281 is recorded on the original label.		1911-05-18	138	138	1911	5	18	1911-05-18		Colombia	CO		Central Andes, Laguneta	NA	NA		Metallura tyrianthina tyrianthina	Aves	Apodiformes	Trochilidae	Metallura	tyrianthina	tyrianthina		male
	5128	LAF 2311	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.  Number 33 is recorded on the original label.		1911-04-01	91	91	1911	4	1	1911-04-01		Colombia	CO	Nariño	San Antonio [Elevation 6200 feet]	NA	NA		Ocreatus underwoodii underwoodi	Aves	Apodiformes	Trochilidae	Ocreatus	underwoodii	underwoodi		male
	4893	LAF 2410	Louis Agassiz Fuertes	male	immature		study skin	From the collection of Louis Agassiz Fuertes.		1911-04-19	109	109	1911	4	19	1911-04-19		Colombia	CO	Valle del Cauca	Palmira, Portrerillo; Valle	NA	NA		Chrysolampis mosquitus	Aves	Apodiformes	Trochilidae	Chrysolampis	mosquitus		immature	male
	5481	LAF 2401	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.  Number 123 is recorded on the original label.		1911-04-18	108	108	1911	4	18	1911-04-18	[Elevation 6600 feet]	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Pharomachrus auriceps	Aves	Trogoniformes	Trogonidae	Pharomachrus	auriceps			male
	13073	LAF 2282	Louis Agassiz Fuertes	male			study skin	Name on original label: Pheugopedius macrurus saltuensis		1911-03-27	86	86	1911	3	27	1911-03-27		Colombia	CO		El Tigre	NA	NA		Thryothorus genibarbis saltuensis	Aves	Passeriformes	Troglodytidae	Thryothorus	genibarbis	saltuensis		male
	5723	LAF 2476	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-04-26	116	116	1911	4	26	1911-04-26		Colombia	CO	Valle del Cauca	Palmira, Miraflores; Valle	NA	NA		Momotus momota aequatorialis	Aves	Coraciiformes	Momotidae	Momotus	momota	aequatorialis		male
	8279		Louis Agassiz Fuertes	male			study skin			1911-05-04	124	124	1911	5	4	1911-05-04		Colombia	CO		Guengue, Cauca Valley	NA	NA		Platyrinchus mystaceus albogularis	Aves	Passeriformes	Tyrannidae	Platyrinchus	mystaceus	albogularis		male
	25392	2631	Louis Agassiz Fuertes	male			study skin	Name on original label: Heleodytes minor bicolor		1911-06-01	152	152	1911	6	1	1911-06-01		Colombia	CO	Bolívar	Magangue, Magdalena River	NA	NA		Campylorhynchus griseus	Aves	Passeriformes	Troglodytidae	Campylorhynchus	griseus			male
	3616	LAF 2387	Louis Agassiz Fuertes	male			study skin			1911-04-15	105	105	1911	4	15	1911-04-15		Colombia	CO	Valle del Cauca	La Manuelita, Palmira, elevation 3500 feet; Valle	NA	NA		Nyctidromus albicollis albicollis	Aves	Caprimulgiformes	Caprimulgidae	Nyctidromus	albicollis	albicollis		male
	5615	LAF 2528	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-05-08	128	128	1911	5	8	1911-05-08		Colombia	CO	Valle del Cauca	Cauca Valley, Cali [elevation 3500 feet]; Valle	NA	NA		Chloroceryle americana americana	Aves	Coraciiformes	Alcedinidae	Chloroceryle	americana	americana		male
	6391	LAF 2445	Louis Agassiz Fuertes	male			study skin			1911-04-23	113	113	1911	4	23	1911-04-23		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Campephilus malherbii	Aves	Piciformes	Picidae	Campephilus	malherbii			male
	7175	LAF 2470	Louis Agassiz Fuertes	female			study skin			1911-04-26	116	116	1911	4	26	1911-04-26	Chapman Expedition no. 1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Chamaeza ruficauda turdina	Aves	Passeriformes	Formicariidae	Chamaeza	ruficauda	turdina		female
	18133		Louis Agassiz Fuertes	male			study skin			1911-04-18	108	108	1911	4	18	1911-04-18	Chapman Expedition no.1; Site no. 52	Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Saltator atripennis	Aves	Passeriformes	Cardinalidae	Saltator	atripennis			male
	3618	LAF 2632	Louis Agassiz Fuertes	female			study skin			1911-06-01	152	152	1911	6	1	1911-06-01		Colombia	CO		Marangue, Magdalena River	NA	NA		Nyctidromus albicollis gilvus	Aves	Caprimulgiformes	Caprimulgidae	Nyctidromus	albicollis	gilvus		female
	6910	LAF 2457	Louis Agassiz Fuertes	male			study skin			1911-04-24	114	114	1911	4	24	1911-04-24		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Synallaxis azarae media	Aves	Passeriformes	Furnariidae	Synallaxis	azarae	media		male
	14012		Louis Agassiz Fuertes	female			study skin			1911-04-19	109	109	1911	4	19	1911-04-19		Colombia	CO	Valle del Cauca	Portrerillo, Palmira; Valle	NA	NA		Turdus ignobilis goodfellowi	Aves	Passeriformes	Turdidae	Turdus	ignobilis	goodfellowi		female
	1092	LAF 2522	Louis Agassiz Fuertes	male	immature		study skin	From the collection of Louis Agassiz Fuertes.		1911-05-08	128	128	1911	5	8	1911-05-08		Colombia	CO	Valle del Cauca	Cauca Valley, Cali, elevation 3500 feet; Valle	NA	NA		Falco femoralis fusco-caerulescens	Aves	Falconiformes	Falconidae	Falco	femoralis	fusco-caerulescens	immature	male
{colors:Leg color: green }	6061		Louis Agassiz Fuertes	male			study skin	'Space about eye dull sienna orange, tomium aurora yellow, base of lower mandible ?__? deep maroon or mahogany'		1911-04-26	116	116	1911	4	26	1911-04-26		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Aulacorhynchus albivitta griseigularis	Aves	Piciformes	Ramphastidae	Aulacorhynchus	albivitta	griseigularis		male
	6885	LAF 2518	Louis Agassiz Fuertes	undetermined			study skin			1911-05-05	125	125	1911	5	5	1911-05-05	Chapman expedition no.1; Site no. 55	Colombia	CO		Guengue, Cauca Valley	NA	NA		Dendrocincla meruloides lafresnayi	Aves	Passeriformes	Furnariidae	Dendrocincla	meruloides	lafresnayi		unknown
	6060		Louis Agassiz Fuertes	male			study skin			1911-04-26	116	116	1911	4	26	1911-04-26		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Aulacorhynchus albivitta griseigularis	Aves	Piciformes	Ramphastidae	Aulacorhynchus	albivitta	griseigularis		male
	3168	LAF 2573	Louis Agassiz Fuertes	male			study skin	From the collection of Louis Agassiz Fuertes.		1911-05-19	139	139	1911	5	19	1911-05-19		Colombia	CO		Alto de Toche	NA	NA		Ognorhynchus icterotis	Aves	Psittaciformes	Psittacidae	Ognorhynchus	icterotis			male
	13062	LAF 2600	Louis Agassiz Fuertes	female			study skin			1911-05-27	147	147	1911	5	27	1911-05-27		Colombia	CO	Tolima	Magdalena Valley, Honda	NA	NA		Thryothorus fasciatoventris fascio-ventris	Aves	Passeriformes	Troglodytidae	Thryothorus	fasciatoventris	fascio-ventris		female
	8337		Louis Agassiz Fuertes	male			study skin	'Feet bluish flesh color pale'		1911-04-29	119	119	1911	4	29	1911-04-29		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Lophotriccus pileatus squamaecrista	Aves	Passeriformes	Tyrannidae	Lophotriccus	pileatus	squamaecrista		male
	7509		Louis Agassiz Fuertes	male			study skin			1911-05-19	139	139	1911	5	19	1911-05-19		Colombia	CO		Tochecito River, Central Andes	NA	NA		Ochthoeca cinnamomeiventris	Aves	Passeriformes	Tyrannidae	Ochthoeca	cinnamomeiventris			male
	13120	LAF 2471	Louis Agassiz Fuertes	male			study skin			1911-04-26	116	116	1911	4	26	1911-04-26		Colombia	CO	Valle del Cauca	Miraflores, Palmira	NA	NA		Henicorhina leucophrys leucophrys	Aves	Passeriformes	Troglodytidae	Henicorhina	leucophrys	leucophrys		male
