Name.Verb	Subspecies	Name.Clem	Localities
Tiaris bicolor	omissa	Melanospiza bicolor	Honda-1
Tiaris olivacea		Tiaris olivaceus	
Todirostrum sylvia	superciliare	Poecilotriccus sylvia	La Manuelita-1
Vanellus cayennensis		Vanellus chilensis	
Veniliornis dignus		Dryobates dignus	Fusagasuga-1
Veniliornis fidelis		Dryobates passerinus	Villavicencio-2
Veniliornis kirkii	cecilii	Dryobates kirkii	Palmira-1
Veniliornis kirkii		Dryobates kirkii	Palmira-1
Veniliornis oleaginus	aureus	Dryobates fumigatus	_Guengue-1; _Icononzo-1; Fusagasuga-1
Veniliornis oleaginus	fumigatus	Dryobates fumigatus	_Guengue-1; _Icononzo-1; Fusagasuga-1
Veniliornis oleaginus		Dryobates fumigatus	_Guengue-1; _Icononzo-1; Fusagasuga-1
Vermivora peregrina		Leiothlypis peregrina	Buena Vista-1
Xiphorhynchus insignis		Xiphorhynchus elegans	Buena Vista-1
Xiphorhynchus picirostris	picirostris	Dendroplex picus	Marangue-1
Xiphorhynchus picus	picus	Dendroplex picus	Buena Vista-1
Zimmerius uropygialis		Phyllomyias uropygialis	
Netta erythrophthalma		Netta erythrophthalma	Cali-1
Notharchus pectoralis		Notharchus pectoralis	Puerto Berrio-1
Notharchus tectus	subtectus	Notharchus tectus	Puerto Berrio-1
Nycticorax nycticorax		Nycticorax nycticorax	
Nyctidromus albicollis	albicollis	Nyctidromus albicollis	_Guengue-1; La Manuelita-2; Marangue-1; Villavicencio-1
Nyctidromus albicollis	gilvus	Nyctidromus albicollis	_Guengue-1; La Manuelita-2; Marangue-1; Villavicencio-1
Ochthoeca cinnamomeiventris		Ochthoeca cinnamomeiventris	Rio Toche-1
Ochthoeca diadema	gratisosa	Ochthoeca diadema	Fusagasuga-1
Ochthoeca fumicolor	fumicolor	Ochthoeca fumicolor	Chipaque-1
Ocreatus underwoodii	underwoodi	Ocreatus underwoodii	Aguadita-1; Fusagasuga-1; Miraflores-1; San Antonio-2
Ognorhynchus icterotis		Ognorhynchus icterotis	Miraflores-1; Rio Toche-2
Opisthocomus hoazin		Opisthocomus hoazin	Villavicencio-1
Ortalis garrula	garulla	Ortalis garrula	Banco-1
Ortalis motmot	colombiana	Ortalis motmot	La Manuelita-1
Oxypogon guerinii		Oxypogon guerinii	
Pachyramphus cinnamomeus		Pachyramphus cinnamomeus	
Pachyramphus polychopterus	dorsalis	Pachyramphus polychopterus	Miraflores-1
Pachyramphus versicolor	versicolor	Pachyramphus versicolor	San Antonio-1
Pardirallus nigricans	nigricans	Pardirallus nigricans	La Manuelita-2
Phaeomyias murina	incomta	Phaeomyias murina	Aguachica-1
Phaethornis anthophilus		Phaethornis anthophilus	
Phaethornis guy	emiliae	Phaethornis guy	_Icononzo-2; Buena Vista-1; Miraflores-1
Phaethornis hispidus	oseryi	Phaethornis hispidus	
Pharomachrus antisianus		Pharomachrus antisianus	San Antonio-2
Pharomachrus auriceps		Pharomachrus auriceps	Miraflores-3
Pheucticus aureoventris	uropygialis	Pheucticus aureoventris	Chipaque-2
Phimosus infuscatus	berlepschi	Phimosus infuscatus	Barranquilla-1
Zimmerius nigrocapillus	nigrocapillus	Phyllomyias nigrocapillus	
Phyllomyias plumbeiceps		Phyllomyias plumbeiceps	Miraflores-1; San Antonio-1
Piaya cayana	nigricrissa	Piaya cayana	Palmira-1
Piaya cayana		Piaya cayana	Palmira-1
Picumnus cinnamomeus	cinnamomeus	Picumnus cinnamomeus	Calamar-2
Picumnus granadensis	granadensis	Picumnus granadensis	Palmira-1; San Antonio-1
Picumnus granadensis		Picumnus granadensis	Palmira-1; San Antonio-1
Picumnus olivaceus	olicaceus	Picumnus olivaceus	Honda-1
Picumnus squamulatus	squamulatus	Picumnus squamulatus	Buena Vista-1
Pionus chalcopterus		Pionus chalcopterus	Miraflores-2
Pionus menstruus		Pionus menstruus	Chicoral-1; Guengue-1; Villavicencio-1
Pipra filicauda		Pipra filicauda	
Pipraeidea melanonota		Pipraeidea melanonota	Fusagasuga-1
Pipreola riefferii	occidentalis	Pipreola riefferii	Los Robles-1; San Antonio-2
Pipreola riefferii	riefferii	Pipreola riefferii	Los Robles-1; San Antonio-2
Piranga flava		Piranga flava	
Piranga leucoptera		Piranga leucoptera	Fusagasuga-1
Piranga rubra	rubra	Piranga rubra	Honda-1
Piranga rubiceps		Piranga rubriceps	
Pitangus sulphuratus	rufipennis	Pitangus sulphuratus	Calamar-1
Pitangus sulphuratus		Pitangus sulphuratus	Calamar-1
Pithys albifrons	peruviana	Pithys albifrons	
Platyrinchus mystaceus	albogularis	Platyrinchus mystaceus	_Guengue-1
Podilymbus podiceps	antarcticus	Podilymbus podiceps	Cali-1
Poecilotriccus ruficeps	melanomystax	Poecilotriccus ruficeps	Miraflores-1
Polioptila plumbea	anteocularis	Polioptila plumbea	
Premnoplex brunnescens	brunnescens	Premnoplex brunnescens	Buena Vista-1; San Antonio-1
Protonotaria citrea		Protonotaria citrea	Algodonal-1
Psarocolius angustifrons		Psarocolius angustifrons	Aguadita-1; San Antonio-2
Psarocolius decumanus		Psarocolius decumanus	La Manuelita-2
Pseudocolaptes boissonneautii	boissonneautii	Pseudocolaptes boissonneautii	El Penon-1
Pteroglossus pluricinctus		Pteroglossus pluricinctus	La Morelia-1; Villavicencio-1
Pteroglossus torquatus	nuchalis	Pteroglossus torquatus	Puerto Berrio-1
Pteroglossus torquatus	sanguineus	Pteroglossus torquatus	Puerto Berrio-1
Pterophanes cyanopterus	temmincki	Pterophanes cyanopterus	Choachi-1
Pyrocephalus rubinus	obscurus	Pyrocephalus rubinus	Cali-1
Pyroderus scutatus	occidentalis	Pyroderus scutatus	San Antonio-1
Pyrrhura calliptera		Pyrrhura calliptera	Fusagasuga-2; Los Robles-1
Querula purpurata		Querula purpurata	San Jose-1
Ramphastos ambiguus	ambiguus	Ramphastos ambiguus	Buena Vista-1
Ramphastos ambiguus		Ramphastos ambiguus	Buena Vista-1
Ramphocelus carbo		Ramphocelus carbo	Buena Vista-2; Monteredondo-1; Villavicencio-1
Ramphocelus dimidiatus		Ramphocelus dimidiatus	Algodonal-1; Andalucia-1; Miraflores-1; Palmira-2
Ramphocelus flammigerus		Ramphocelus flammigerus	La Manuelita-1; San Antonio-2
Ramphomicron microrhynchum		Ramphomicron microrhynchum	Choachi-1
Rhodinocichla rosea		Rhodinocichla rosea	Anolaima-1
Rhytipterna holerythra	rosenbergi	Rhytipterna holerythra	
Rostrhamus sociabilis	sociabilis	Rostrhamus sociabilis	Barranquilla-3
Rupicola peruviana		Rupicola peruvianus	San Agustin-1
Sakesphorus canadensis	pulchellus	Sakesphorus canadensis	Calamar-2; Gamarra-1
Saltator albicollis		Saltator albicollis	Gamarra-1; La Manuelita-1; Miraflores-1
Saltator atripennis		Saltator atripennis	Aguadita-1; Miraflores-1; San Antonio-1
Saltator maximus		Saltator maximus	Puerto Berrio-1; Villavicencio-1
Sarcoramphus papa		Sarcoramphus papa	
Sayornis nigricans	latirostris	Sayornis nigricans	
Sayornis nigricans		Sayornis nigricans	
Schistes geoffroyi	albigularis	Schistes geoffroyi	Fusagasuga-1
Sclerurus albigularis	albigularis	Sclerurus albigularis	Buena Vista-2
Scytalopus latrans		Scytalopus latrans	Fusagasuga-1; Miraflores-1
Semnornis ramphastinus		Semnornis ramphastinus	
Serpophaga cinerea	cana	Serpophaga cinerea	-1; Quetame-1
Sicalis flaveola		Sicalis flaveola	Calamar-2; Gamarra-1
Sicalis luteola		Sicalis luteola	Bogota-1
Sipia berlepschi		Sipia berlepschi	
Siptornis striaticollis		Siptornis striaticollis	Anolaima-1
Spiza americana		Spiza americana	
Sporophila intermedia		Sporophila intermedia	Miraflores-1
Sporophila luctuosa		Sporophila luctuosa	
Sporophila minuta		Sporophila minuta	Cali-1
Sporophila nigricollis		Sporophila nigricollis	Cali-1
Stelgidopteryx ruficollis		Stelgidopteryx ruficollis	Algodonal-1; La Manuelita-1
Tangara cyanicollis		Stilpnia cyanicollis	Buena Vista-1; El Consuelo-1; Miraflores-1
Streptoprocne rutila	brunnitorques	Streptoprocne rutila	Monteredondo-2; San Antonio-1
Streptoprocne zonaris	albicincta	Streptoprocne zonaris	Buena Vista-1; Honda-1; Monteredondo-1; San Antonio-2
Streptoprocne zonaris		Streptoprocne zonaris	Buena Vista-1; Honda-1; Monteredondo-1; San Antonio-2
Sturnella magna	meridionalis	Sturnella magna	-1; Bogota-3
Synallaxis albescens	albigularis	Synallaxis albescens	Calamar-1; Cali-1; La Manuelita-1; Villavicencio-1
Synallaxis albescens		Synallaxis albescens	Calamar-1; Cali-1; La Manuelita-1; Villavicencio-1
Synallaxis azarae	media	Synallaxis azarae	Chipaque-1; Miraflores-3
Synallaxis azarae	elegantior	Synallaxis azarae	Chipaque-1; Miraflores-3
Synallaxis azarae		Synallaxis azarae	Chipaque-1; Miraflores-3
Synallaxis brachyura	caucae	Synallaxis brachyura	La Manuelita-1
Synallaxis brachyura		Synallaxis brachyura	La Manuelita-1
Synallaxis candei	candei	Synallaxis candei	Calamar-2
Synallaxis gujanensis	columbianus	Synallaxis gujanensis	Buena Vista-2
Synallaxis moesta	moesta	Synallaxis moesta	Villavicencio-1
Synallaxis unirufa	unirufa	Synallaxis unirufa	Fusagasuga-1; Los Robles-1
Syndactyla subalaris	mentalis	Syndactyla subalaris	Aguadita-1
Tachycineta albiventer		Tachycineta albiventer	Gamarra-1
Tachyphonus luctuosus		Tachyphonus luctuosus	_Guengue-2; Opon-1
Tachyphonus rufus		Tachyphonus rufus	-1; Fusagasuga-2; Palmira-2
Tangara arthus		Tangara arthus	Fusagasuga-1; San Antonio-1
Tangara chilensis		Tangara chilensis	
Tangara gyrola		Tangara gyrola	Miraflores-2
Tangara icterocephala		Tangara icterocephala	
Tangara inornata		Tangara inornata	
Tangara labradorides		Tangara labradorides	Fusagasuga-1; Miraflores-2
Tangara nigroviridis		Tangara nigroviridis	Fusagasuga-2
Tangara parzudakii		Tangara parzudakii	Fusagasuga-1
Tangara vassorii		Tangara vassorii	Fusagasuga-1
Tangara xanthocephala		Tangara xanthocephala	Miraflores-1
Tapera naevia	naevia	Tapera naevia	Palmira-1
Taraba major	granadensis	Taraba major	Villavicencio-1
Tersina viridis		Tersina viridis	Villavicencio-2
Thalurania colombica	colombica	Thalurania colombica	_Icononzo-1
Thalurania furcata		Thalurania furcata	
Thamnophilus doliatus	albicans	Thamnophilus doliatus	Chicoral-1; Honda-1; Villavicencio-2
Thamnophilus doliatus	fraterculus	Thamnophilus doliatus	Chicoral-1; Honda-1; Villavicencio-2
Thamnophilus multistriatus		Thamnophilus multistriatus	Miraflores-2; San Antonio-1
Thamnophilus nigriceps	nigriceps	Thamnophilus nigriceps	Algodonal-2; Puerto Berrio-1
Thamnophilus nigriceps	magdalena	Thamnophilus nigriceps	Algodonal-2; Puerto Berrio-1
Thamnophilus punctatus	atrinucha	Thamnophilus punctatus	Honda-1
Thamnophilus unicolor	grandior	Thamnophilus unicolor	Fusagasuga-4
Theristicus caudatus		Theristicus caudatus	
Thraupis cyanocephala		Thraupis cyanocephala	Anolaima-1
Thraupis episcopus		Thraupis episcopus	Monteredondo-1; Palmira-1
Thraupis palmarum		Thraupis palmarum	_Icononzo-1; Buena Vista-1; Fusagasuga-1
Threnetes ruckeri		Threnetes ruckeri	
Thripadectes virgaticeps	sclateri	Thripadectes virgaticeps	Miraflores-1
Tinamus tao		Tinamus tao	San Antonio-1
Tityra semifasciata	semifasciata	Tityra semifasciata	Buena Vista-1
Todirostrum cinereum	cinereum	Todirostrum cinereum	Cali-1; Fusagasuga-2
Todirostrum cinereum		Todirostrum cinereum	Cali-1; Fusagasuga-2
Tolmomyias sulphurescens	asemus	Tolmomyias sulphurescens	La Manuelita-1
Troglodytes aedon	striatulus	Troglodytes aedon	Chipaque-1; Tocaimito-1
Troglodytes aedon	columbae	Troglodytes aedon	Chipaque-1; Tocaimito-1
Troglodytes aedon		Troglodytes aedon	Chipaque-1; Tocaimito-1
Troglodytes solstitialis	solitarius	Troglodytes solstitialis	El Penon-1
Trogon collaris	collaris	Trogon collaris	Miraflores-1; San Antonio-1
Trogon violaceus	columbianus	Trogon violaceus	Puerto Nino-1
Trogon viridis	strigilatus	Trogon viridis	Buena Vista-1
Turdus albicollis	phaeopygus	Turdus albicollis	-1
Turdus fuscater	quindio	Turdus fuscater	-1; Chipaque-1; Filandia-1; Laguneta-2
Turdus fuscater	gigas	Turdus fuscater	-1; Chipaque-1; Filandia-1; Laguneta-2
Turdus ignobilis	goodfellowi	Turdus ignobilis	Fusagasuga-1; La Manuelita-1; Miraflores-1; Monteredondo-1
Turdus ignobilis	debilis	Turdus ignobilis	Fusagasuga-1; La Manuelita-1; Miraflores-1; Monteredondo-1
Turdus ignobilis	ignobilis	Turdus ignobilis	Fusagasuga-1; La Manuelita-1; Miraflores-1; Monteredondo-1
Turdus ignobilis		Turdus ignobilis	Fusagasuga-1; La Manuelita-1; Miraflores-1; Monteredondo-1
Turdus leucomelas		Turdus leucomelas	-1
Turdus nudigenis	nudigenis	Turdus nudigenis	Villavicencio-1
Turdus olivater	sanctaemartae	Turdus olivater	-1
Tyrannus melancholicus	melancholicus	Tyrannus melancholicus	Quetame-1
Tyrannus melancholicus		Tyrannus melancholicus	Quetame-1
Tyrannus tyrannus	monachus	Tyrannus tyrannus	Cali-2
Vanellus chilensis	cayennensis	Vanellus chilensis	La Manuelita-2; San Antonio-1
Vanellus chilensis		Vanellus chilensis	La Manuelita-2; San Antonio-1
Vireo altiloquus	altiloquus	Vireo altiloquus	_Icononzo-1
Vireo gilvus		Vireo gilvus	Fusagasuga-1; Miraflores-1
Vireo olivaceus		Vireo olivaceus	
Volatinia jacarina		Volatinia jacarina	Cali-2; Palmira-1
Willisornis poecilinotus	lepidonotus/duidae	Willisornis poecilinotus	Villavicencio-1
Xenops minutus	littoralis	Xenops minutus	_Icononzo-1
Xenops rutilans	heterurus	Xenops rutilans	Aguadita-1
Xiphocolaptes promeropirhynchus	promeropirhynchus	Xiphocolaptes promeropirhynchus	Aguadita-1; El Penon-1; Fusagasuga-1
Xiphorhynchus guttatus	nanus	Xiphorhynchus guttatus	Honda-1; La Manuelita-1; Opon-1
Xiphorhynchus triangularis	triangularis	Xiphorhynchus triangularis	Aguadita-1; Fusagasuga-1
Zenaida auriculata	rubripes	Zenaida auriculata	Chicoral-1
Zenaida auriculata		Zenaida auriculata	Chicoral-1
Zimmerius chrysops	chrysops	Zimmerius chrysops	Aguadita-1; Buena Vista-1
Zimmerius chrysops		Zimmerius chrysops	Aguadita-1; Buena Vista-1
Zonotrichia capensis	peruviensis	Zonotrichia capensis	Chipaque-1; Fusagasuga-2; Palmira-1
Zonotrichia capensis		Zonotrichia capensis	Chipaque-1; Fusagasuga-2; Palmira-1
