Name.Verb	Subspecies	Name.Clem	Localities
Chrysuronia oenone	oenone	Chrysuronia oenone	
Cinclodes fuscus	oreobates	Cinclodes fuscus	-1
Cinclus leucocephalus	leuconotus	Cinclus leucocephalus	-1; Aguadita-1
Cinnycerthia unirufa	unirufa	Cinnycerthia unirufa	El Penon-2; Fomeque-1
Cinnycerthia unirufa	unibrunnea	Cinnycerthia unirufa	El Penon-2; Fomeque-1
Claravis pretiosa		Claravis pretiosa	Villavicencio-1
Cnemoscopus rubrirostris		Cnemoscopus rubrirostris	
Cnemotriccus fuscatus	cabanisi	Cnemotriccus fuscatus	Cartagena-1
Coccyzus melacoryphus		Coccyzus melacoryphus	Palmira-2
Coeligena bonapartei		Coeligena bonapartei	-2; Anolaima-1; El Penon-1
Coeligena coeligena	columbiana	Coeligena coeligena	El Eden-1; Los Robles-1
Coeligena helianthea		Coeligena helianthea	_Icononzo-1; Fomeque-3
Coeligena prunellei		Coeligena prunellei	Choachi-1
Coeligena torquata		Coeligena torquata	Fusagasuga-1; Los Robles-1
Colaptes punctigula	guttatus	Colaptes punctigula	_Icononzo-1
Colibri coruscans		Colibri coruscans	Monteredondo-1
Colibri delphinae		Colibri delphinae	Miraflores-1; Rio Caqueta-1
Colibri thalassinus		Colibri thalassinus	Buena Vista-1
Colinus cristatus	leucotis	Colinus cristatus	Calamar-1; Honda-4
Colinus cristatus	decoratus	Colinus cristatus	Calamar-1; Honda-4
Colonia colonus	fuscicapilla	Colonia colonus	Villavicencio-2
Colonia colonus		Colonia colonus	Villavicencio-2
Columbina passerina	parvula	Columbina passerina	Honda-2
Columbina talpacoti	caucae	Columbina talpacoti	Cali-3
Columbina talpacoti		Columbina talpacoti	Cali-3
Conirostrum albifrons		Conirostrum albifrons	Fusagasuga-1
Conirostrum rufum		Conirostrum rufum	Chipaque-2; Tocaimito-1
Conirostrum sitticolor		Conirostrum sitticolor	Anolaima-1
Contopus fumigatus	ardosiacus	Contopus fumigatus	Fusagasuga-3; Miraflores-1
Corapipo leucorrhoa	leucorrhoa	Corapipo leucorrhoa	Honda-1
Cranioleuca antisiensis		Cranioleuca antisiensis	Aguadita-1
Crotophaga ani		Crotophaga ani	Miraflores-1
Crotophaga major		Crotophaga major	Calamar-1; Puerto Berrio-2
Cyanerpes caeruleus		Cyanerpes caeruleus	
Cyanerpes cyaneus		Cyanerpes cyaneus	
Cyanocorax affinis	affinis	Cyanocorax affinis	Honda-2
Cyanocorax violaceus		Cyanocorax violaceus	Villavicencio-2
Cyanocorax yncas		Cyanocorax yncas	Fusagasuga-1; Miraflores-1; Monteredondo-2; Quetame-1
Cyanocorax yncas	galeata	Cyanocorax yncas	Fusagasuga-1; Miraflores-1; Monteredondo-2; Quetame-1
Cyanocorax yncas	cyanodorsalis	Cyanocorax yncas	Fusagasuga-1; Miraflores-1; Monteredondo-2; Quetame-1
Cyanolyca armillata		Cyanolyca armillata	
Cyclarhis gujanensis		Cyclarhis gujanensis	Honda-1; Villavicencio-1
Cyclarhis nigrirostris	nigrirostris	Cyclarhis nigrirostris	Miraflores-1
Dendrocolaptes picumnus	validus	Dendrocolaptes picumnus	Miraflores-1
Diglossa albilatera		Diglossa albilatera	Fusagasuga-2
Diglossa caerulescens		Diglossa caerulescens	Fusagasuga-1
Diglossa humeralis		Diglossa humeralis	Alto del Roble-1
