Institution	CatalogNumberPrefix	CatalogNumber	CatalogNumberSuffix	CollectorName	CollectorNumber	Order	Family	Genus.Verb	Species.Verb	Subspecies.Verb	Genus.Clem	Species.Clem	Sex.Verbatim	Sex	Age	Country	ProvinceStateTerritory	PreciseLocation.Verbatim	Locality	Elevation.Verbatim	LatitudeDecimal	LongitudeDecimal	Date.From	Date.To	Date.Verbatim	Year	Month	Day	Date	ExpeditionName	ReproductiveNotes	SoftPartColorNotes	Preparation.Description	Remarks	CollectionName	InventoryStatus	InventoryDateRecorded	DeaccessionDate	DeaccessionMethod	DeaccessionNotes	AccessionNumber
CUMV		8379					Tyrannidae	Zimmerius	nigrocapillus	nigrocapillus				undetermined		Colombia		Choachi			4.528593	-73.922986	1	1	1860-01-01	1860	1	1					study skin	"Date may be December, 1916."	From the collection of Frank S Wright.						
CUMV		5750		Henry K. Coale			Galbulidae	Galbula	ruficauda	ruficauda				male		Colombia	Cundinamarca	Fusugasuga			4.34	-74.36	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		8338			456		Tyrannidae	Lophotriccus	pileatus	squamaecrista						Colombia	Cundinamarca	Fusugasuga			4.34	-74.36	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		16974					Parulidae	Basileuterus	coronatus					undetermined		Colombia		Choachi			4.528593	-73.922986	1	1	1860-01-01	1860	1	1					study skin	Date='11-JAN-1909'	From the collection of Frank S Wright.						
CUMV		22837					Thraupidae	Tangara	arthus							Colombia	Cundinamarca	Fusugasuga			4.34	-74.36	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		4624					Trochilidae	Chrysuronia	oenone	longirostris				female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Louis Agassiz Fuertes.  Previously from the collection of H.K. Coale, No. 17077."						
CUMV		5032					Trochilidae	Coeligena	coeligena	columbiana				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  Number 168 is recorded on the original label.						
CUMV		5198					Trochilidae	Metallura	tyrianthina	tyrianthina				female	immature	Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		[In size approaching M.t. quitensis but Chapman says quitensis is restricted to Quito region - GMS.]; From the collection of Frank S. Wright.						
CUMV		5209					Trochilidae	Oxypogon	guerinii					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 27044."						
CUMV		5482					Trogonidae	Pharomachrus	auriceps					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  Numbers 289 and 2887 are recorded on the original label.						
CUMV		5925					Ramphastidae	Eubucco	richardsoni	granadensis				female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright. Missing one leg.						
CUMV		15889					Thraupidae	Dacnis	angelica					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	138	138	5/18/03	1903	5	18					study skin		From the collection of Frank S Wright.						
CUMV		16953					Parulidae	Myioborus	ornatus					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		18611					Emberizidae	Sporophila	intermedia					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		19058					Emberizidae	Atlapetes	schistaceus							Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S Wright. Possible insect damage noted 14-Apr-2010, tray vacuumed, entire contents of case frozen"						
CUMV		5082					Trochilidae	Boissonneaua	flavescens					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 27641."						
CUMV		5160					Trochilidae	Heliangelus	amethysticollis	clarisse				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 25894.  Number 1333 is recorded on the original label."						
CUMV		4478					Trochilidae	Campylopterus	falcatus					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	170	170	6/19/05	1905	6	19					study skin		"Note on original label:  'Shafts not as flat as 17058'.; From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 10011."						
CUMV		5199					Trochilidae	Metallura	tyrianthina	tyrianthina				male	immature	Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  Number 15/5 is recorded on an earlier label.						
CUMV		4419					Trochilidae	Doryfera	johannae					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.						
CUMV		6048					Ramphastidae	Andigena	nigrirostris	occidentalis				undetermined		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		22861					Thraupidae	Tangara	cyanicollis					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		20897					Thraupidae	Anisognathus	igniventris					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		5195					Trochilidae	Metallura	tyrianthina	tyrianthina				female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"Previously from the collection of H.K. Coale, No. 27046; Brodkorb No. 4091."						
CUMV		23042					Thraupidae	Cnemoscopus	rubrirostris					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		15852					Thraupidae	Cyanerpes	caeruleus					female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		18121					Cardinalidae	Saltator	maximus					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		7179					Thamnophilidae	Pithys	albifrons	peruviana				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright. From the collection of Henry K Coale #15910 and Pierce Brodkorb #3659						
CUMV		13658					Thraupidae	Rhodinocichla	rosea					female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		16954					Parulidae	Myioborus	ornatus					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	127	127	5/7/02	1902	5	7					study skin		From the collection of Frank S Wright.						
CUMV		5162		H. Whitely			Trochilidae	Heliangelus	amethysticollis	clarisse				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  Number 2546 is recorded on the original label.						
CUMV		4732					Trochilidae	Chalybura	buffonii					female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.						
CUMV		5254					Trochilidae	Lesbia	victoriae	victoriae				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.						
CUMV		7290					Cotingidae	Pachyramphus	versicolor	versicolor				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		7383					Pipridae	Pipra	isidorei	isidorei				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		13984					Polioptilidae	Polioptila	plumbea	anteocularis				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin								
CUMV		15782					Vireonidae	Vireo	gilvus					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		18060					Icteridae	Cacicus	leucoramphus					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		19063					Emberizidae	Atlapetes	semirufus					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		4455					Trochilidae	Eutoxeres	aquila					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.						
CUMV		4525					Trochilidae	Lepidopyga	goudoti					male	immature	Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.						
CUMV		19059					Emberizidae	Atlapetes	schistaceus							Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		5283					Trochilidae	Heliomaster	longirostris	longirostris				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  Numbers 15/14 and 1811 are recorded on the original label.						
CUMV		15851					Thraupidae	Cyanerpes	caeruleus					in question		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		22874					Thraupidae	Tangara	ruficervix					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		20717					Cardinalidae	Piranga	rubiceps					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin								
CUMV		4552					Trochilidae	Amazilia	viridigaster					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  No. 184 is recorded on the original label.						
CUMV		5084					Trochilidae	Boissonneaua	flavescens					female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of H.K. Coale, No. 27039."						
CUMV		22849					Thraupidae	Tangara	labradorides					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		18220					Thraupidae	Catamblyrhynchus	diadema					undetermined		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		5120					Trochilidae	Haplophaedia	aureliae	aureliae				female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, 27053."						
CUMV		5192					Trochilidae	Metallura	tyrianthina	tyrianthina				male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of H.K. Coale, No. 16425; Brodkorb No. 3875."						
CUMV		18161					Thraupidae	Chlorophonia	pyrrhophrys					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		16976					Parulidae	Basileuterus	luteoviridis							Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		5083					Trochilidae	Boissonneaua	flavescens					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		"From the collection of H.K. Coale, No. 23941."						
CUMV		20850					Fringillidae	Euphonia	concinna					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S Wright.						
CUMV		34203					Thraupidae	Catamblyrhynchus	diadema					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the Rivola collection.						
CUMV		4656					Trochilidae	Chlorostilbon	gibsoni					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	1	1	1860-01-01	1860	1	1					study skin		From the collection of Louis Agassiz Fuertes.						
CUMV		19060					Emberizidae	Atlapetes	schistaceus					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	NA	NA	1886	1886	NA	NA					study skin		From the collection of Frank S Wright.						
CUMV		22882					Thraupidae	Tangara	inornata							Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	NA	NA	1866	1866	NA	NA					study skin		From the collection of Frank S Wright.						
CUMV		22863					Thraupidae	Tangara	nigrocincta							Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	NA	NA	1875	1875	NA	NA					study skin		From the collection of Frank S Wright.						
CUMV		7510					Tyrannidae	Ochthoeca	cinnamomeiventris					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	NA	NA	1903	1903	NA	NA					study skin		From the collection of Frank S Wright.						
CUMV		20954					Thraupidae	Bangsia	montana					undetermined		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	NA	NA	1885	1885	NA	NA					study skin		From the collection of Frank S Wright.						
CUMV		8334					Tyrannidae	Mecocerculus	leucophrys	setophagoides				female		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	NA	NA	1903	1903	NA	NA					study skin		From the collection of Frank S Wright.						
CUMV		22886					Thraupidae	Tangara	gyrola					male		Colombia	Cundinamarca	Bogota; istrito Capital de			4.609866	-74.08205	NA	NA	1890	1890	NA	NA					study skin		From the collection of Frank S Wright.						
CUMV		A-0001108			Z1108		Hylidae	Acris	crepitans							Colombia		"Bogota, Villacencio"			NA	NA	1	1	0/0/0	1860	1	1					whole organism (unknown) - 1	"recieved from T. Barbour, Cambridge Museum of Natural History"	collected with CU 11846						
CUMV		A-0011846			Z11846		Hylidae	Acris	crepitans							Colombia		"Bogota, Villacencio"			NA	NA	1	1	0/0/0	1860	1	1					whole organism (unknown) - 1	"received from T. Barbour, Cambridge Museum of Natural History"	collected with CU 1108						
CUMV		R-0011278			KKA 97 or R11278		Emydidae	Trachemys	scripta							Colombia		Baranquilla			NA	NA	1	1	0---2014-01-01	1860	1	1					whole organism (isopropanol) - 1								
CUMV		A-0001095			Z1095		Dendrobatidae	Colostethus	subpunctatus							Colombia		Choachi			NA	NA	1	1	0/0/0	1860	1	1					whole organism (isopropanol) - 2		Originally catalouged as Phyllobates subpunctatus.						
CUMV		5455		H. Whitely			Trochilidae	Lophornis	delattrei					male		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  The number 139/1 is recorded on the original label.						
CUMV		7564		Mervyn G. Palmer			Tyrannidae	Sayornis	nigricans	latirostris				male		Colombia		"Jimenez, West Colombia, elevation 1600 ft."			NA	NA	218	218	8/6/07	1907	8	6				{colors:Bill color: black; Leg color: black }	study skin		From the collection of Frank S Wright.						
CUMV		7582		Mervyn G. Palmer			Tyrannidae	Pyrocephalus	rubinus	obscurus				male		Colombia		"Atuncela, elevation 3000 ft."			NA	NA	169	169	6/18/07	1907	6	18				{colors:Bill color: dark brown; Leg color: black }	study skin		From the collection of Frank S Wright.						
CUMV		4489					Trochilidae	Florisuga	mellivora					male	immature	Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 16987."						
CUMV		4527					Trochilidae	Amazilia	cyanifrons					male		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Louis Agassiz Fuertes.  Previously from the colleciton of H.K. Coale, No. 16421."						
CUMV		4638					Trochilidae	Damophila	julie	julie				male		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.						
CUMV		4676					Trochilidae	Chlorostilbon	poortmani					male	immature	Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 19704."						
CUMV		4970					Trochilidae	Heliodoxa	rubinoides					male	immature	Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 28932.  The number 470 is recorded on the original label from the Museum Boucard."						
CUMV		4992					Trochilidae	Coeligena	bonapartei					female		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright. Previously from the collection of H.K. Coale, No. 28927."						
CUMV		5040					Trochilidae	Lafresnaya	lafresnayi					female		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		From the collection of Louis Agassiz Fuertes.  Previously from the Carpenter Collection.						
CUMV		5042					Trochilidae	Lafresnaya	lafresnayi					female		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale.						
CUMV		5067					Trochilidae	Aglaeactis	cupripennis					female		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  The number 2799 is recorded on the original label.						
CUMV		5076					Trochilidae	Boissonneaua	flavescens					in question		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		From the collection of Louis Agassiz Fuertes.  Previously from the Carpenter Collection.						
CUMV		5119					Trochilidae	Haplophaedia	aureliae	aureliae				male	immature	Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Louis Agassiz Fuertes.  Previously from the collection of H.K Coale, No. 19070."						
CUMV		5125					Trochilidae	Eriocnemis	alinae					male		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		From the collection of Frank S. Wright.  Number 470 is recorded on the original label from the Museum Boucard.						
CUMV		5161					Trochilidae	Heliangelus	amethysticollis	clarisse				male	immature	Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 19653; Brodkorb No. 4097."						
CUMV		5239					Trochilidae	Aglaiocercus	kingi					male		Colombia					NA	NA	1	1	1860-01-01	1860	1	1					study skin		"From the collection of Frank S. Wright.  Exchanged to Carleton College, 1942."						
